ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014800004946,CLAMATO PET 12z,1087649,1087649,,,,a,601 12A 000,Case,24.00,,,u,_014800004946,Master,11.75,0.00,2018-05-07,2075-12-31
_014800004946,,,,,,,,,,,,,u,_014800004960,,,,,
_029500209331,NEHI ORANGE 2L PP .99,1051075,1051075,,,,a,901 03 000,Case,8.00,,,u,_029500209331,Master,6.40,0.00,2016-03-25,2075-12-31
_029500219330,NEHI GRAPE 2L PP .99,1051076,1051076,,,,a,901 03 000,Case,8.00,,,u,_029500219330,Master,6.40,0.00,2016-03-25,2075-12-31
_029500239338,NEHI STRAWBERRY 2L PP .99,1051070,1051070,,,,a,901 03 000,Case,8.00,,,u,_029500239338,Master,6.40,0.00,2016-03-25,2075-12-31
_029500269328,NEHI PEACH 2L,1051077,1051077,,,,a,901 03 000,Case,8.00,,,u,_029500269328,Master,11.81,0.00,1900-01-01,2075-12-31
_029500269328,,,,,,,,,,,,,u,_029500269335,,,,,
_029500269335,NEHI PEACH 2L PP .99,1079734,1079734,,,,a,901 03 000,Case,8.00,,,u,_029500269335,Master,6.40,0.00,2016-03-25,2075-12-31
_041710112584,CRUSH ORNG 16z LN,162065,162065,,,,a,901 02 000,Case,24.00,,,u,_041710112584,Master,14.25,0.00,1900-01-01,2075-12-31
_041710113413,CRUSH ORNG 24PK 12z CN,166456,166456,,,,a,901 01 000,Case,24.00,,,u,_041710113413,Master,7.19,0.00,1900-01-01,2075-12-31
_041710113413,,,,,,,,,,,,,u,_078000013092,,,,,
_041710142581,CRUSH CHRY 16z LN,162067,162067,,,,a,901 02 000,Case,24.00,,,u,_041710142581,Master,14.25,0.00,1900-01-01,2075-12-31
_041710143502,CRUSH CHRY 12PK 12z CN,182442,182442,,,,a,901 01 000,Case,24.00,,,u,_041710143427,Master,8.40,0.00,2016-04-26,2075-12-31
_041710143502,,,,,,,,,,,,,u,_041710143502,,,,,
_041710143502,,,,,,,,,,,,,u,_078000014228,,,,,
_041710193507,CRUSH ORNG DT 12PK 12z CN,173899,173899,,,,a,901 01 000,Case,24.00,,,u,_041710193422,Master,8.40,0.00,2016-04-26,2075-12-31
_041710193507,,,,,,,,,,,,,u,_041710193507,,,,,
_041710193507,,,,,,,,,,,,,u,_078000013894,,,,,
_041710193507,,,,,,,,,,,,,u,_078000013900,,,,,
_041710394010,CRUSH LIME 12PK 12z CN,184766,184766,,,,a,901 01 000,Case,24.00,,,u,_041710394010,Master,8.40,0.00,2016-04-26,2075-12-31
_041710394010,,,,,,,,,,,,,u,_041710394096,,,,,
_041710394010,,,,,,,,,,,,,u,_078000014327,,,,,
_041710394034,CRUSH LIME 2L,184765,184765,,,,a,901 03 000,Case,8.00,,,u,_041710394034,Master,12.65,0.00,1900-01-01,2075-12-31
_050200000997,SUNNY DELIGHT 2L PP .99,1079484,1079484,,,,a,901 03A 000,Case,8.00,,,u,_050200000997,Master,6.40,0.00,1900-01-01,2075-12-31
_050200563003,SUNNY D FRUIT PUNCH 16z,1056510,1056510,,,,a,601 12A 000,Case,12.00,,,u,_050200563003,Master,10.25,0.00,1900-01-01,2075-12-31
_050200578007,SUNNY D CHERRY LIMEADE 16z,1052595,1052595,,,,a,601 12A 000,Case,12.00,,,u,_050200578007,Master,10.25,0.00,1900-01-01,2075-12-31
_050200585005,SUNNY D GRAPE 16z,1052594,1052594,,,,a,601 12A 000,Case,12.00,,,u,_050200585005,Master,10.25,0.00,1900-01-01,2075-12-31
_050200589003,SUNNY D GREEN APPLE 16z,1078835,1078835,,,,a,601 12A 000,Case,12.00,,,u,_050200589003,Master,10.25,0.00,2016-02-12,2075-12-31
