ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_041000053153,STRAWBERRY SHORTCAKE 6PK,33000524,33000524,,,,a,601 08 700,Case,8.00,,,u,_041000053153,Master,30.88,0.00,1900-01-01,2075-12-31
_041000054143,GH STRWBRY SHORTCAKE BAR,182650,182650,,,,a,601 08 700,Case,24.00,,,u,_041000054143,Master,26.16,0.00,1900-01-01,2075-12-31
_041483003256,KEMPS ORANGE SHERBET 16z,182709,182709,,,,a,601 08 400,Case,8.00,,,u,_041483003256,Master,16.40,0.00,1900-01-01,2075-12-31
_041483012463,KEMPS SANDWICH 4z,182697,182697,,,,a,601 08 700,Case,24.00,,,u,_041483012463,Master,28.08,0.00,1900-01-01,2075-12-31
_041483025258,KEMPS BEAR TRACK 16z,182699,182699,,,,a,601 08 400,Case,8.00,,,u,_041483025258,Master,16.40,0.00,1900-01-01,2075-12-31
_041483037237,KEMPS VANILLA 56z,185577,185577,,,,a,601 08 215,Case,6.00,,,u,_041483037237,Master,28.20,0.00,1900-01-01,2075-12-31
_041483037244,KEMPS TURTLE TRACKS 56z,185576,185576,,,,a,601 08 215,Case,6.00,,,u,_041483037244,Master,28.20,0.00,1900-01-01,2075-12-31
_041483037299,KEMPS ROCKY ROAD 56z,185575,185575,,,,a,601 08 215,Case,6.00,,,u,_041483037299,Master,28.20,0.00,1900-01-01,2075-12-31
_041483037350,KEMPS MINT CHOCOLATE CHIP 56z,185573,185573,,,,a,601 08 215,Case,6.00,,,u,_041483037350,Master,28.20,0.00,1900-01-01,2075-12-31
_041483037367,KEMPS HOMEMADE VANILLA 56z,185572,185572,,,,a,601 08 200,Case,6.00,,,u,_041483037367,Master,28.20,0.00,1900-01-01,2075-12-31
_041483037497,KEMPS COOKIE DOUGH 56z,185571,185571,,,,a,601 08 215,Case,6.00,,,u,_041483037497,Master,28.20,0.00,1900-01-01,2075-12-31
_041483038142,KEMPS COOKIES & CREAM 132z,1099108,1099108,,,,a,601 08 700,Case,2.00,,,u,_041483038142,Master,15.70,0.00,1900-01-01,2075-12-31
_041483038166,KEMPS MINT CHOCOLATE CHIP 132z,32003530,32003530,,,,a,601 08 700,Case,2.00,,,u,_041483038166,Master,15.70,0.00,1900-01-01,2075-12-31
_041483041401,SWEET ME SWT CRM ESPRSO MOCH,32003531,32003531,,,,a,601 08 400,Case,8.00,,,u,_041483041401,Master,28.16,0.00,1900-01-01,2075-12-31
_041483041418,SWEET ME SLTD CRML BRWNIE,32003532,32003532,,,,a,601 08 400,Case,8.00,,,u,_041483041418,Master,28.16,0.00,1900-01-01,2075-12-31
_041483041456,SWEET ME STRWBRY RU COBBLR,32003533,32003533,,,,a,601 08 400,Case,8.00,,,u,_041483041456,Master,28.16,0.00,1900-01-01,2075-12-31
_041483042149,SWEET ME LEMON BAR,33000434,33000434,,,,a,601 08 400,Case,8.00,,,u,_041483042149,Master,28.16,0.00,1900-01-01,2075-12-31
_041483042170,SWEET ME BORBN BTR PCN,32003534,32003534,,,,a,601 08 400,Case,8.00,,,u,_041483042170,Master,28.16,0.00,1900-01-01,2075-12-31
_041483042187,SWEET ME SEA SLT CHOC,32003535,32003535,,,,a,601 08 400,Case,8.00,,,u,_041483042187,Master,28.16,0.00,1900-01-01,2075-12-31
_041483042194,SWEET ME BROOKIE DGH,32003536,32003536,,,,a,601 08 400,Case,8.00,,,u,_041483042194,Master,28.16,0.00,1900-01-01,2075-12-31
_070547014983,KLONDIKE CHOCO TACO,182653,182653,,,,a,601 08 700,Case,24.00,,,u,_070547014983,Master,28.56,0.00,1900-01-01,2075-12-31
_075856011470,KLONDIKE  VANILLA BAR 5.5z,182764,182764,,,,a,601 08 700,Case,24.00,,,u,_075856011470,Master,26.16,0.00,1900-01-01,2075-12-31
