ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_022100000049,PABST 24z CN,154543,154543,,,,a,401 01J 000,Case,12.00,,,u,_022100000049,Master,14.85,0.00,2018-11-01,2075-12-31
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,
_022100000742,PABST 6PK 16z CN,18781,18781,,,,a,401 01B 000,Case,24.00,,,u,_022100000742,Master,16.60,0.00,2018-11-01,2075-12-31
_022100001701,PABST 12PK 12z CN,13504,13504,,,,a,401 01D 000,Case,24.00,,,u,_022100001701,Master,12.30,0.00,2018-12-02,2075-12-31
_022100112193,PABST 30PK 12z CN,119178,119178,,,,a,401 01I 000,Case,30.00,,,u,_022100112193,Master,13.20,0.00,2018-11-01,2075-12-31
_033544950029,CORONA EXTRA 18PK 12z CN,1065149,1065149,,,,a,401 01F 000,Case,18.00,,,u,_033544950029,Master,19.10,0.00,2018-11-01,2075-12-31
_033544950333,MODELO CHELADA PICANTE 24z CN,1085681,1085681,,,,a,401 01J 000,Case,12.00,,,u,_033544950333,Master,26.90,0.00,2018-09-17,2075-12-31
_033544950418,CORONA PREMIER 6PK 12z LN,1083425,1083425,,,,a,Default,Case,24.00,,,u,_033544950418,Master,26.50,0.00,2018-09-17,2075-12-31
_033544950425,CORONA PREMIER 12PK 12z LN,1085684,1085684,,,,a,401 01D 000,Case,24.00,,,u,_033544950425,Master,26.50,0.00,2018-09-17,2075-12-31
_033544950470,CORONA PREMIER 24z CN,1085682,1085682,,,,a,Default,Case,12.00,,,u,_033544950470,Master,26.90,0.00,2018-09-17,2075-12-31
_033544950517,CORONA FAMILIAR 6PK 12z LN,1083422,1083422,,,,a,401 01B 000,Case,24.00,,,u,_033544850510,Master,26.50,0.00,1900-01-01,2075-12-31
_033544950517,,,,,,,,,,,,,u,_033544950517,,,,,
_033544950531,CORONA FAMILIAR 12PK 12z LN,1084974,1084974,,,,a,Default,Case,24.00,,,u,_033544950531,Master,26.50,0.00,1900-01-01,2075-12-31
_034100000059,MILLER HL 24z CN,89317,89317,,,,a,401 01J 000,Case,12.00,,,u,_034100000059,Master,14.15,0.00,2018-09-03,2075-12-31
_034100000059,,,,,,,,,,,,,u,_034100013462,,,,,
_034100000073,MILLER HL 6PK 16z CN,13482,13482,,,,a,401 01B 000,Case,24.00,,,u,_034100000073,Master,16.00,0.00,1900-01-01,2075-12-31
_034100000073,,,,,,,,,,,,,u,_034100013073,,,,,
_034100000912,MAGNUM 42z LN,13516,13516,,,,a,401 01J 000,Case,12.00,,,u,_034100000912,Master,14.20,0.00,2018-11-01,2075-12-31
_034100000912,,,,,,,,,,,,,u,_034100182403,,,,,
_034100001858,MICKEYS 40z LN,16595,16595,,,,a,401 01J 000,Case,12.00,,,u,_034100001858,Master,17.60,0.00,2018-09-03,2075-12-31
_034100001858,,,,,,,,,,,,,u,_073360449017,,,,,
_034100003234,REDDS WICKED ALE 24z CN,1056698,1056698,,,,a,401 01J 000,Case,12.00,,,u,_034100003234,Master,22.50,0.00,2018-11-01,2075-12-31
_034100003494,REDDS WICKED WATERMELON 24z CN,1064562,1064562,,,,a,401 01J 000,Case,12.00,,,u,_034100003494,Master,23.30,0.00,2018-09-03,2075-12-31
_034100003548,MILLER LT 6PK 12z CN.,14094,14094,,,,a,401 01B 000,Case,24.00,,,u,_034100003340,Master,16.70,0.00,2018-09-03,2075-12-31
_034100003548,,,,,,,,,,,,,u,_034100003548,,,,,
_034100003548,,,,,,,,,,,,,u,_034100573041,,,,,
_034100003555,MILLER LT 24z CN,38387,38387,,,,a,401 01J 000,Case,12.00,,,u,_034100003555,Master,19.20,0.00,2018-09-03,2075-12-31
_034100003555,,,,,,,,,,,,,u,_034100573461,,,,,
_034100003579,MILLER LT 6PK 16z CN,13487,13487,,,,a,401 01B 000,Case,24.00,,,u,_034100003579,Master,18.70,0.00,1900-01-01,2075-12-31
_034100003760,MILLER LT 16z ALUM (LOOSE),183796,183796,,,,a,401 01J 000,Case,24.00,,,u,_034100003760,Master,25.25,0.00,2018-09-03,2075-12-31
_034100003876,REDDS WICKED BLK CHRY 24z CN,1070543,1070543,,,,a,401 01J 000,Case,12.00,,,u,_034100003876,Master,23.30,0.00,2018-09-03,2075-12-31
_034100003937,REDDS WICKED SSL 24z CN,1081294,1081294,,,,a,401 01J 000,Case,12.00,,,u,_034100003937,Master,23.30,0.00,2018-09-03,2075-12-31
_034100005542,MILLER GD 6PK 12z CN.,13471,13471,,,,a,401 01B 000,Case,24.00,,,u,_034100005542,Master,16.70,0.00,2018-09-03,2075-12-31
_034100005542,,,,,,,,,,,,,u,_034100173043,,,,,
_034100005559,MILLER GD 24z CN,58564,58564,,,,a,401 01J 000,Case,12.00,,,u,_034100005559,Master,19.20,0.00,2018-09-03,2075-12-31
_034100005559,,,,,,,,,,,,,u,_034100173463,,,,,
_034100005825,MILLER HL LT 6PK 16z CN,159555,159555,,,,a,401 01B 000,Case,24.00,,,u,_034100005825,Master,16.00,0.00,1900-01-01,2075-12-31
