ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_0018200004735,BUD 16z ALUM (LOOSE),x1-1080268,1080268,,,,a,401 01J 000,Case,20.00,,,u,_018200004735,Master,16.79,0.00,1900-01-01,2075-12-31
_0018200007958,BUD LT 16z ALUM (LOOSE),x1-1080275,1080275,,,,a,401 01J 000,Case,20.00,,,u,_018200007958,Master,16.79,0.00,1900-01-01,2075-12-31
_018200000188,BUD 6PK 16z CN,13442,13442,,,,a,401 01B 000,Case,24.00,,,u,_018200000188,Master,24.62,0.00,2017-09-25,2075-12-31
_018200000188,,,,,,,,,,,,,u,_018200110436,,,,,
_018200000294,NATTY RUSH PLUS BLUE 8z CN,1085494,1085494,,,,a,401 01D 000,Case,24.00,,,u,_018200000294,Master,14.40,0.00,1900-01-01,2075-12-31
_018200000300,NATTY RUSH PLUS WTRMLN 8z CN,1085498,1085498,,,,a,401 01D 000,Case,24.00,,,u,_018200000300,Master,14.40,0.00,1900-01-01,2075-12-31
_018200000430,NATURAL LT 6PK 16z CN,28289,28289,,,,a,401 01B 000,Case,24.00,,,u,_018200000430,Master,17.58,0.00,2016-09-26,2075-12-31
_018200000430,,,,,,,,,,,,,u,_018200150432,,,,,
_018200000638,BUSCH 6PK 16z CN,13458,13458,,,,a,401 01B 000,Case,24.00,,,u,_018200000638,Master,19.18,0.00,2016-09-26,2075-12-31
_018200000638,,,,,,,,,,,,,u,_018200610431,,,,,
_018200000782,NATURAL ICE 6PK 16z CN,42925,42925,,,,a,401 01B 000,Case,24.00,,,u,_018200000782,Master,16.62,0.00,2015-09-18,2075-12-31
_018200000782,,,,,,,,,,,,,u,_018200270437,,,,,
_018200001154,BUD LT 6PK 16z CN,13452,13452,,,,a,401 01B 000,Case,24.00,,,u,_018200001154,Master,24.62,0.00,2017-09-25,2075-12-31
_018200001154,,,,,,,,,,,,,u,_018200530432,,,,,
_018200001260,BUD 40z LN,13443,13443,,,,a,401 01J 000,Case,12.00,,,u,_018200001260,Master,30.66,0.00,2016-09-26,2075-12-31
_018200001260,,,,,,,,,,,,,u,_018200111273,,,,,
_018200001314,KING COBRA 40z LN,16584,16584,,,,a,401 01J 000,Case,12.00,,,u,_018200001314,Master,21.07,0.00,2018-10-01,2075-12-31
_018200001314,,,,,,,,,,,,,u,_018200512223,,,,,
_018200001604,BUD LT 40z LN,13453,13453,,,,a,401 01J 000,Case,12.00,,,u,_018200001604,Master,30.66,0.00,2016-09-26,2075-12-31
_018200001604,,,,,,,,,,,,,u,_018200531279,,,,,
_018200002250,NATURAL LT 25z CN,X1-59070,59070,,,,a,401 01J 000,Case,15.00,,,u,_018200002250,Master,22.73,0.00,2018-07-30,2075-12-31
_018200002250,,,,,,,,,,,,,u,_018200152009,,,,,
_018200002250,,,,,,,,,,,,,u,_018200152351,,,,,
_018200002250,,,,,,,,,,,,,u,_018200152511,,,,,
_018200002250,,,,,,,,,,,,,u,_018200250026,,,,,
