ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_610764264640,BANG MOCHA COFFEE 16Z,36009380,36009380,,,,a,Default,Case,12.00,,,u,_610764264640,Master,28.00,0.00,1900-01-01,2075-12-31
_610764264640,,,,,,,,,,,,,,,MINNESOTA 3.2,28.00,0.00,1900-01-01,2075-12-31
_610764264640,,,,,,,,,,,,,,,do not use MINNESOTA LIQUOR,28.00,0.00,1900-01-01,2075-12-31
_610764264688,BANG COOKIES N CREME 16Z,36014099,36014099,,,,a,Default,Case,12.00,,,u,_610764264688,Master,28.00,0.00,1900-01-01,2075-12-31
_610764264688,,,,,,,,,,,,,,,MINNESOTA 3.2,28.00,0.00,1900-01-01,2075-12-31
_610764264688,,,,,,,,,,,,,,,do not use MINNESOTA LIQUOR,28.00,0.00,1900-01-01,2075-12-31
_610764264701,BANG HAZELNUT COFFEE 16Z,36009379,36009379,,,,a,Default,Case,12.00,,,u,_610764264701,Master,28.00,0.00,1900-01-01,2075-12-31
_610764264701,,,,,,,,,,,,,,,MINNESOTA 3.2,28.00,0.00,1900-01-01,2075-12-31
_610764264701,,,,,,,,,,,,,,,do not use MINNESOTA LIQUOR,28.00,0.00,1900-01-01,2075-12-31
