ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_077741361363,CLOVER TEA DT GAL,1066839,1066839,,,,a,601 14B 000,Each,1.00,,,u,_077741361363,Master,1.89,0.00,2015-03-20,2075-12-31
_077741362117,CLOVER TEA GAL,1066840,1066840,,,,a,601 14 000,Each,1.00,,,u,_077741362117,Master,1.89,0.00,2015-03-20,2075-12-31
_077741364852,CLOVER TEA HG,1066838,1066838,,,,a,601 14 000,Each,1.00,,,u,_077741364852,Master,0.99,0.00,1900-01-01,2075-12-31
_077741364876,CLOVER TEA DT HG,1066837,1066837,,,,a,601 14B 000,Each,1.00,,,u,_077741364876,Master,0.99,0.00,2015-03-20,2075-12-31
_077741364906,CLOVER TEA RASP HG,1066841,1066841,,,,a,601 14 000,Each,1.00,,,u,_077741364906,Master,0.99,0.00,2015-03-20,2075-12-31
_077741364944,CLOVER LEMONADE HG,1066842,1066842,,,,a,601 07 20A,Each,1.00,,,u,_077741364944,Master,0.99,0.00,2015-03-20,2075-12-31
_077741530370,CLOVER TEA ORIGINAL PT,1064357,1064357,,,,a,601 14 000,Each,1.00,,,u,_077741530370,Master,0.45,0.00,1900-01-01,2075-12-31
_077741534330,CLOVER TEA DIET PT,1066703,1066703,,,,a,601 14B 000,Each,1.00,,,u,_077741534330,Master,0.45,0.00,1900-01-01,2075-12-31
_077741542335,CLOVER TEA RASP PT,1066834,1066834,,,,a,601 14 000,Each,1.00,,,u,_077741542335,Master,0.45,0.00,2015-03-20,2075-12-31
_077741544155,CLOVER TEA GREEN HG,1066835,1066835,,,,a,601 14 000,Each,1.00,,,u,_077741544155,Master,0.99,0.00,2015-03-20,2075-12-31
_077741544339,CLOVER TEA GREEN PT,1066832,1066832,,,,a,601 14 000,Each,1.00,,,u,_077741544339,Master,0.45,0.00,1900-01-01,2075-12-31
_077741545152,CLOVER TEA DT GREEN HG,1066836,1066836,,,,a,601 14B 000,Each,1.00,,,u,_077741545152,Master,0.99,0.00,2015-03-20,2075-12-31
_077741545336,CLOVER TEA DT GREEN PT,1066830,1066830,,,,a,601 14B 000,Each,1.00,,,u,_077741545336,Master,0.45,0.00,1900-01-01,2075-12-31
_077741550330,CLOVER LEMONADE PT,1066701,1066701,,,,a,601 07 40A,Each,1.00,,,u,_077741550330,Master,0.45,0.00,1900-01-01,2075-12-31
_77741364920,CLOVER TEA PEACH HG,1066902,1066902,,,,a,601 14 000,Each,1.00,,,u,_077741364920,Master,0.99,0.00,2015-03-23,2075-12-31
_77741540331,CLOVER TEA PEACH PT,1066900,1066900,,,,a,601 14 000,Each,1.00,,,u,_777415403312,Master,0.45,0.00,2015-03-23,2075-12-31
