ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_17147,SINGLE ROSE,17147,17147,,,,a,601 34 007,Each,1.00,,,u,_028030210268,Master,3.30,0.00,2012-10-23,2075-12-31
_17147,,,,,,,,,,,,,u,_033383974750,,,,,
_17147,,,,,,,,,,,,,u,_033383979212,,,,,
_17147,,,,,,,,,,,,,u,_041163002401,,,,,
_17147,,,,,,,,,,,,,u,_094922764119,,,,,
_17147,,,,,,,,,,,,,u,_101210121681,,,,,
_17147,,,,,,,,,,,,,u,_616978127771,,,,,
_17147,,,,,,,,,,,,,u,_616978127795,,,,,
_17147,,,,,,,,,,,,,u,_655504003295,,,,,
_17147,,,,,,,,,,,,,u,_663413010013,,,,,
_17147,,,,,,,,,,,,,u,_679432007019,,,,,
_17147,,,,,,,,,,,,,u,_785385100049,,,,,
_17147,,,,,,,,,,,,,u,_798304035308,,,,,
_17147,,,,,,,,,,,,,u,_829691000010,,,,,
_17147,,,,,,,,,,,,,u,_832972001019,,,,,
_17147,,,,,,,,,,,,,u,_836115000013,,,,,
_17147,,,,,,,,,,,,,u,_836115000068,,,,,
_17147,,,,,,,,,,,,,u,_837654206003,,,,,
_17147,,,,,,,,,,,,,u,_855205001006,,,,,
_17147,,,,,,,,,,,,,u,_973700502092,,,,,
_9176361,SINGLE ROSE - HOLIDAY,176361,176361,,,,a,601 34 007,Each,1.00,,,u,_616978127788,Master,3.98,0.00,1900-01-01,2075-12-31
_9176361,,,,,,,,,,,,,u,_655504003592,,,,,
_9176361,,,,,,,,,,,,,u,_829691111112,,,,,
_9176361,,,,,,,,,,,,,u,_832972001071,,,,,
_9176361,,,,,,,,,,,,,u,_832972001316,,,,,
_9176361,,,,,,,,,,,,,u,_855205001082,,,,,
