ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014054030319,ODWALLA VANILLA PROTEIN 15.2Z,1099844,1099844,,,,a,Default,Case,8.00,,,u,_014054030319,Master,14.80,0.00,1900-01-01,2075-12-31
_025000000225,SIMPLY WATERMELON 11.5Z,1099836,1099836,,,,a,Default,Case,12.00,,,u,_025000000225,Master,13.56,0.00,1900-01-01,2075-12-31
_025000000379,SIMPLY MANGO PINEAPPLE 11.5Z,1099843,1099843,,,,a,Default,Case,12.00,,,u,_025000000379,Master,20.16,0.00,1900-01-01,2075-12-31
_025000000737,SIMPLY SMOOTHIE STRAWBERRY BANANA 11.5Z,1099838,1099838,,,,a,Default,Case,12.00,,,u,_025000000737,Master,20.16,0.00,1900-01-01,2075-12-31
_025000000744,SIMPLY ORCHARD BERRY 11.5Z,1099840,1099840,,,,a,Default,Case,12.00,,,u,_025000000744,Master,20.16,0.00,1900-01-01,2075-12-31
_025000051548,MINUTE MAID PINEAPPLE ORANGE JUICE 12z~ S,1086198,1086198,,,,a,601 12A 000,Case,24.00,,,u,_025000051548,Master,26.88,0.00,1900-01-01,2075-12-31
_025000051548,,,,,,,,,,,,,u,_025000051814,,,,,
_025000052224,MINUTE MAID CRANBERRY APPLE RASPBERRY JUICE 12z,1086194,1086194,,,,a,601 12A 000,Case,24.00,,,u,_025000052224,Master,29.87,0.00,1900-01-01,2075-12-31
_025000053818,MIN MD CONTOUR LMND 2L,113671,113671,,,,a,901 03A 000,Case,8.00,,,u,_025000053818,Master,14.68,0.00,1900-01-01,2075-12-31
_025000058011,MIN MD LMND 20z NR,113668,113668,,,,a,601 12A 000,Case,24.00,,,u,_025000058011,Master,18.96,0.00,1900-01-01,2075-12-31
_025000058028,MIN MD FRT PCH 20z NR,113667,113667,,,,a,601 12A 000,Case,24.00,,,u,_025000058028,Master,18.96,0.00,1900-01-01,2075-12-31
_025000058387,MIN MD LMND 12PK 12z CN,166646,166646,,,,a,901 01A 000,Case,24.00,,,u,_025000058387,Master,9.95,0.00,1900-01-01,2075-12-31
_025000058868,MIN MD PNK LMND 20z NR,123667,123667,,,,a,901 04A 000,Case,24.00,,,u,_025000058868,Master,24.00,0.00,1900-01-01,2075-12-31
_025000061516,MINUTE MAID APPLE JUICE 12z,1086193,1086193,,,,a,601 12 000,Case,24.00,,,u,_025000061516,Master,29.87,0.00,1900-01-01,2075-12-31
_025000061530,MINUTE MAID ORANGE JUICE 12z,1086192,1086192,,,,a,601 12 000,Case,24.00,,,u,_025000061530,Master,29.87,0.00,1900-01-01,2075-12-31
_025000062292,MIN MD TROP BLND,32006598,32006598,,,,a,601 11 000,Case,24.00,,,u,_025000062292,Master,29.87,0.00,1900-01-01,2075-12-31
_025000101649,MINUTE MAID JTG TOMATO BLEND 12z,1097610,1097610,,,,a,Default,Case,24.00,,,u,_025000101649,Master,26.88,0.00,1900-01-01,2075-12-31
_049000000085,COKE CLSC 12.5z NR,192400,192400,,,,a,901 01C 100,Case,24.00,,,u,_049000000085,Master,14.16,0.00,1900-01-01,2075-12-31
_049000000092,COKE ZERO 12.5z NR,192402,192402,,,,a,901 01C 100,Case,24.00,,,u,_049000000092,Master,14.16,0.00,1900-01-01,2075-12-31
_049000000139,COKE DT 12.5z NR,192401,192401,,,,a,901 01C 100,Case,24.00,,,u,_049000000139,Master,14.16,0.00,1900-01-01,2075-12-31
_049000000443,COKE CLSC 20z NR,15954,15954,,,,a,901 04 000,Case,24.00,,,u,_049000000443,Master,28.60,0.00,2019-01-02,2075-12-31
_049000000450,COKE DT 20z NR,15924,15924,,,,a,901 04 000,Case,24.00,,,u,_049000000450,Master,28.60,0.00,2019-01-02,2075-12-31
_049000000467,COKE CF DT 20z NR,15229,15229,,,,a,901 04 000,Case,24.00,,,u,_049000000467,Master,28.60,0.00,2019-01-02,2075-12-31
_049000004632,COKE 12z NR GLS IMPORT,192370,192370,,,,a,901 08 010,Case,24.00,,,u,_049000004632,Master,28.60,0.00,2019-01-02,2075-12-31
_049000005226,COKE CLSC 1L,36956,36956,,,,a,901 05 000,Case,12.00,,,u,_049000005226,Master,17.22,0.00,1900-01-01,2075-12-31
_049000005240,COKE DT CONTOUR 1L,36957,36957,,,,a,901 05 000,Case,12.00,,,u,_049000005240,Master,17.22,0.00,1900-01-01,2075-12-31
_049000006391,COKE CONTOUR CLSC 2L,13979,13979,,,,a,901 03 000,Case,8.00,,,u,_049000006391,Master,14.68,0.00,1900-01-01,2075-12-31
_049000006636,COKE CONTOUR DT 2L,13981,13981,,,,a,901 03 000,Case,8.00,,,u,_049000006636,Master,14.68,0.00,1900-01-01,2075-12-31
_049000007640,SPRITE 20z NR,13962,13962,,,,a,901 04 000,Case,24.00,,,u,_049000007640,Master,36.34,0.00,1900-01-01,2075-12-31
_049000009774,DASANI 20z,84043,84043,,,,a,601 10 000,Case,24.00,,,u,_049000009774,Master,18.51,0.00,1900-01-01,2075-12-31
_049000010633,COKE CLSC DT 24PK 12z CN,166389,166389,,,,a,901 01 000,Case,24.00,,,u,_049000010633,Master,167.52,0.00,1900-01-01,2075-12-31
_049000012781,COKE CLSC 24PK 12z CN,166383,166383,,,,a,901 01 000,Case,24.00,,,u,_049000012781,Master,167.52,0.00,1900-01-01,2075-12-31
_049000014631,COKE CLSC 20PK 12z CN,180880,180880,,,,a,901 01 000,Case,20.00,,,u,_049000014631,Master,129.20,0.00,1900-01-01,2075-12-31
_049000014648,COKE CLSC DT 20PK 12z CN,180884,180884,,,,a,901 01 000,Case,20.00,,,u,_049000014648,Master,126.80,0.00,1900-01-01,2075-12-31
_049000014754,COKE CLSC CF DT 20PK 12z CN,1062012,1062012,,,,a,901 01 000,Case,20.00,,,u,_049000014754,Master,129.20,0.00,1900-01-01,2075-12-31
_049000016796,MELLO YELLO 20z NR,15973,15973,,,,a,901 04 000,Case,24.00,,,u,_049000016796,Master,36.34,0.00,1900-01-01,2075-12-31
_049000018011,COKE CHRY 20z NR,16039,16039,,,,a,901 04 000,Case,24.00,,,u,_049000018011,Master,28.60,0.00,2019-01-02,2075-12-31
_049000019162,FANTA ORNG 20z NR,116922,116922,,,,a,901 04 000,Case,24.00,,,u,_049000019162,Master,36.34,0.00,1900-01-01,2075-12-31
_049000023190,SPRITE 1L,38949,38949,,,,a,901 05 000,Case,12.00,,,u,_049000005790,Master,16.45,0.00,1900-01-01,2075-12-31
_049000023190,,,,,,,,,,,,,u,_049000023190,,,,,
_049000023190,,,,,,,,,,,,,u,_049000023794,,,,,
_049000023190,,,,,,,,,,,,,u,_049000049817,,,,,
_049000026207,FANTA STRAWBERRY 20z NR,116925,116925,,,,a,901 04 000,Case,24.00,,,u,_049000026207,Master,22.60,0.00,1900-01-01,2075-12-31
_049000026566,DASANI 1L,133917,133917,,,,a,601 10 000,Case,12.00,,,u,_049000026566,Master,15.25,0.00,1900-01-01,2075-12-31
_049000028201,FANTA PINAPL 20z NR,116924,116924,,,,a,901 04 000,Case,24.00,,,u,_049000028201,Master,21.00,0.00,1900-01-01,2075-12-31
_049000028706,DASANI BELLYBAND 12z 8pk,183657,183657,,,,a,601 10 000,Case,24.00,,,u,_049000028706,Master,7.98,0.00,1900-01-01,2075-12-31
_049000028904,COKE CLSC 12PK 12z CN,166380,166380,,,,a,901 01 000,Case,24.00,,,u,_049000028904,Master,9.95,0.00,1900-01-01,2075-12-31
_049000028911,COKE CLSC DT 12PK 12z CN,166386,166386,,,,a,901 01 000,Case,24.00,,,u,_049000028911,Master,9.95,0.00,1900-01-01,2075-12-31
_049000028928,SPRITE 12PK 12z CN,166418,166418,,,,a,901 01 000,Case,24.00,,,u,_049000028928,Master,9.95,0.00,1900-01-01,2075-12-31
_049000028935,MELLO YELLO 12PK 12z CN,166399,166399,,,,a,901 01 000,Case,24.00,,,u,_049000028935,Master,9.05,0.00,1900-01-01,2075-12-31
_049000029796,MR PIBB XTRA 20z NR,117265,117265,,,,a,901 04 000,Case,24.00,,,u,_049000029796,Master,36.34,0.00,1900-01-01,2075-12-31
_049000029826,MR PIBB XTRA 2L,121209,121209,,,,a,901 03 000,Case,8.00,,,u,_049000029826,Master,13.00,0.00,1900-01-01,2075-12-31
_049000029826,,,,,,,,,,,,,u,_049000050301,,,,,
_049000030730,FANTA ORNG 12PK 12z CN,166554,166554,,,,a,901 01 000,Case,24.00,,,u,_049000030730,Master,9.95,0.00,1900-01-01,2075-12-31
_049000030747,FANTA GRP 12PK 12z CN,166556,166556,,,,a,901 01 000,Case,24.00,,,u,_049000030747,Master,9.95,0.00,1900-01-01,2075-12-31
_049000030754,FANTA STR 12PK 12z CN,166555,166555,,,,a,901 01 000,Case,24.00,,,u,_049000030754,Master,9.95,0.00,1900-01-01,2075-12-31
_049000031034,COKE CHRY 12PK 12z CN,166438,166438,,,,a,901 01 000,Case,24.00,,,u,_049000031034,Master,9.95,0.00,1900-01-01,2075-12-31
_049000031058,FRESCA 12PK 12z CN,166462,166462,,,,a,901 01 000,Case,24.00,,,u,_049000031058,Master,9.95,0.00,1900-01-01,2075-12-31
