ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014054030319,ODWALLA VANILLA PROTEIN 15.2Z,1099844,1099844,,,,a,601 12 000,Case,8.00,,,u,_014054030319,Master,14.80,0.00,1900-01-01,2075-12-31
_025000000225,SIMPLY WATERMELON 11.5Z,1099836,1099836,,,,a,601 12A 000,Case,12.00,,,u,_025000000225,Master,13.56,0.00,1900-01-01,2075-12-31
_025000000379,SIMPLY MANGO PINEAPPLE 11.5Z,1099843,1099843,,,,a,601 12A 000,Case,12.00,,,u,_025000000379,Master,20.16,0.00,1900-01-01,2075-12-31
_025000000737,SIMPLY SMOOTHIE STRAWBERRY BANANA 11.5Z,1099838,1099838,,,,a,601 12A 000,Case,12.00,,,u,_025000000737,Master,20.16,0.00,1900-01-01,2075-12-31
_025000000744,SIMPLY ORCHARD BERRY 11.5Z,1099840,1099840,,,,a,601 12A 000,Case,12.00,,,u,_025000000744,Master,20.16,0.00,1900-01-01,2075-12-31
_025000018671,MINUTE MAID BERRY BLEND 15.2z,1061848,1061848,,,,a,601 12A 000,Case,24.00,,,u,_025000018671,Master,29.87,0.00,1900-01-01,2075-12-31
_025000018749,MINUTE MAID TROP BLEND 15.2z,1061880,1061880,,,,a,601 12A 000,Case,24.00,,,u,_025000018749,Master,29.87,0.00,1900-01-01,2075-12-31
_025000034763,MINUTE MAID SPARKLING MIXED BERRY 16.9z,1078759,1078759,,,,a,601 11 000,Case,12.00,,,u,_025000034763,Master,9.72,0.00,1900-01-01,2075-12-31
_025000034787,MINUTE MAID SPARKLING TROPICAL CITRUS 16.9z,1078760,1078760,,,,a,601 11 000,Case,12.00,,,u,_025000034787,Master,9.72,0.00,1900-01-01,2075-12-31
_025000034800,MINUTE MAID SPARKLING FIZZY LEMONADE 16.9z,1078756,1078756,,,,a,601 11 000,Case,12.00,,,u,_025000034800,Master,9.72,0.00,1900-01-01,2075-12-31
_025000034824,MINUTE MAID SPARKLING FRUIT PUNCH 16.9z,1078758,1078758,,,,a,601 11 000,Case,12.00,,,u,_025000034824,Master,9.72,0.00,1900-01-01,2075-12-31
_025000048876,MINUTE MAID FRUIT PUNCH 15.2z,1051039,1051039,,,,a,601 12A 000,Case,24.00,,,u,_025000048876,Master,18.96,0.00,1900-01-01,2075-12-31
_025000048906,MINUTE MAID STRAW PASSION 15.2z,1051041,1051041,,,,a,601 12A 000,Case,24.00,,,u,_025000048906,Master,29.87,0.00,1900-01-01,2075-12-31
_025000052002,MINUTE MAID CRANBERRY GRAPE JUICE 12z,1086195,1086195,,,,a,601 12A 000,Case,24.00,,,u,_025000052002,Master,29.87,0.00,1900-01-01,2075-12-31
_025000052224,MINUTE MAID CRANBERRY APPLE RASPBERRY JUICE 12z,1086194,1086194,,,,a,601 12A 000,Case,24.00,,,u,_025000052224,Master,29.87,0.00,1900-01-01,2075-12-31
_025000053047,MIN MD ORNGADE 20z NR,168365,168365,,,,a,601 12A 000,Case,24.00,,,u,_025000053047,Master,29.87,0.00,1900-01-01,2075-12-31
_025000053818,MIN MD CONTOUR LMND 2L,113671,113671,,,,a,901 03A 000,Case,8.00,,,u,_025000053818,Master,14.68,0.00,1900-01-01,2075-12-31
_025000053924,MIN MD CONTOUR FRT PCH 2L,113669,113669,,,,a,901 03A 000,Case,8.00,,,u,_025000053924,Master,14.68,0.00,1900-01-01,2075-12-31
_025000056017,MINUTE MAID APPLE JUICE 15.2z,24396,24396,,,,a,601 12 000,Case,24.00,,,u,_025000056017,Master,29.87,0.00,1900-01-01,2075-12-31
_025000056024,MINUTE MAID CRAN APPL RASP 15.2z,45771,45771,,,,a,601 12A 000,Case,24.00,,,u,_025000056024,Master,29.87,0.00,1900-01-01,2075-12-31
