ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014054030319,ODWALLA VANILLA PROTEIN 15.2Z,1099844,1099844,,,,a,601 12 000,Case,8.00,,,u,_014054030319,Master,14.80,0.00,1900-01-01,2075-12-31
_020735092583,TEA GREEN GINSING/HONEY 16z,1064444,1064444,,,,a,601 14 000,Each,1.00,,,u,_020735092583,Master,12.36,0.00,2014-11-24,2075-12-31
_025000000225,SIMPLY WATERMELON 11.5Z,1099836,1099836,,,,a,601 12A 000,Case,12.00,,,u,_025000000225,Master,13.56,0.00,1900-01-01,2075-12-31
_025000000379,SIMPLY MANGO PINEAPPLE 11.5Z,1099843,1099843,,,,a,601 12A 000,Case,12.00,,,u,_025000000379,Master,20.16,0.00,1900-01-01,2075-12-31
_025000000621,MINUTE MAID DROPS LEMONADE,1056273,1056273,,,,a,601 33 100,Box,6.00,,,u,_025000000621,Master,16.14,0.00,1900-01-01,2075-12-31
_025000000737,SIMPLY SMOOTHIE STRAWBERRY BANANA 11.5Z,1099838,1099838,,,,a,601 12A 000,Case,12.00,,,u,_025000000737,Master,20.16,0.00,1900-01-01,2075-12-31
_025000000744,SIMPLY ORCHARD BERRY 11.5Z,1099840,1099840,,,,a,601 12A 000,Case,12.00,,,u,_025000000744,Master,20.16,0.00,1900-01-01,2075-12-31
_025000002809,MINUTE MAID ENHANCED STRAW KIWI 12z,183323,183323,,,,a,601 12A 000,Case,12.00,,,u,_025000002809,Master,13.44,0.00,2011-06-01,2075-12-31
_025000002823,MINUTE MAID ENHANCED POMEGRANATE 12z,183324,183324,,,,a,601 12A 000,Case,12.00,,,u,_025000002823,Master,13.44,0.00,2011-06-01,2075-12-31
_025000034763,MINUTE MAID SPARKLING MIXED BERRY 16.9z,1078759,1078759,,,,a,601 11 000,Case,12.00,,,u,_025000034763,Master,9.72,0.00,2016-02-08,2075-12-31
_025000034763,,,,,,,,,,,,,u,_025000034770,,,,,
_025000034787,MINUTE MAID SPARKLING TROPICAL CITRUS 16.9z,1078760,1078760,,,,a,601 11 000,Case,12.00,,,u,_025000034787,Master,9.72,0.00,2016-02-08,2075-12-31
_025000034787,,,,,,,,,,,,,u,_025000034794,,,,,
_025000034800,MINUTE MAID SPARKLING FIZZY LEMONADE 16.9z,1078756,1078756,,,,a,601 11 000,Case,12.00,,,u,_025000034800,Master,9.72,0.00,2016-02-08,2075-12-31
_025000034800,,,,,,,,,,,,,u,_025000034817,,,,,
_025000034824,MINUTE MAID SPARKLING FRUIT PUNCH 16.9z,1078758,1078758,,,,a,601 11 000,Case,12.00,,,u,_025000034824,Master,9.72,0.00,2016-02-08,2075-12-31
_025000034824,,,,,,,,,,,,,u,_025000034831,,,,,
_025000048876,MINUTE MAID FRUIT PUNCH 15.2z,1051039,1051039,,,,a,601 12A 000,Case,24.00,,,u,_025000048876,Master,26.88,0.00,2015-01-07,2075-12-31
_025000048906,MINUTE MAID STRAW PASSION 15.2z,1051041,1051041,,,,a,601 12A 000,Case,24.00,,,u,_025000048906,Master,26.88,0.00,2015-01-07,2075-12-31
_025000051548,MINUTE MAID PINEAPPLE ORANGE JUICE 12z~ S,1086198,1086198,,,,a,601 12A 000,Case,24.00,,,u,_025000051548,Master,26.88,0.00,1900-01-01,2075-12-31
_025000051548,,,,,,,,,,,,,u,_025000051814,,,,,
_025000052002,MINUTE MAID CRANBERRY GRAPE JUICE 12z,1086195,1086195,,,,a,601 12A 000,Case,24.00,,,u,_025000052002,Master,26.88,0.00,1900-01-01,2075-12-31
_025000052002,,,,,,,,,,,,,u,_025000052194,,,,,
