ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_7192100001,TOMBSTONE ORIG SSG 12in,28847,28847,,,,a,601 17 002,Each,1.00,,,u,_071921000011,Master,4.53,0.37,1900-01-01,2075-12-31
_7192100001,,,,,,,,,,,,,u,_071921261320,,,,,
_7192100004,TOMBSTONE ORIG DLX 12in,28848,28848,,,,a,601 17 002,Each,1.00,,,u,_071921000042,Master,4.53,0.37,1900-01-01,2075-12-31
_7192100004,,,,,,,,,,,,,u,_071921846480,,,,,
_7192100005,TOMBSTONE ORIG CAND BACN 12in,71983,71983,,,,a,601 17 002,Each,1.00,,,u,_071921000059,Master,4.53,0.37,1900-01-01,2075-12-31
_7192100005,,,,,,,,,,,,,u,_071921590130,,,,,
_7192100006,TOMBSTONE ORIG 2xCHZ 12in,32574,32574,,,,a,601 17 002,Each,1.00,,,u,_071921000066,Master,4.81,0.37,1900-01-01,2075-12-31
_7192100006,,,,,,,,,,,,,u,_071921377601,,,,,
_7192100008,TOMBSTONE ORIG SSG/PEP 12in,34537,34537,,,,a,601 17 002,Each,1.00,,,u,_071921000080,Master,4.81,0.37,1900-01-01,2075-12-31
_7192100008,,,,,,,,,,,,,u,_071921561970,,,,,
_7192100008,,,,,,,,,,,,,u,_719212000806,,,,,
_7192100018,TOMBSTONE PEP/SSG,35713,35713,,,,a,601 17 002,Each,1.00,,,u,_071921000189,Master,2.87,0.37,1900-01-01,2075-12-31
_7192100066,TOMBSTONE ORIG 4 MEAT 12in,35720,35720,,,,a,601 17 002,Each,1.00,,,u,_071921000660,Master,4.81,0.37,1900-01-01,2075-12-31
_7192100066,,,,,,,,,,,,,u,_071921620523,,,,,
_7192100126,TOMBSTONE H&H PEP/SSG 12in,80161,80161,,,,a,601 17 002,Each,1.00,,,u,_071921001261,Master,4.81,0.37,1900-01-01,2075-12-31
_7192100126,,,,,,,,,,,,,u,_071921228125,,,,,
_7192100332,DIGIORNO VAR SSG & PEP 12in,81706,81706,,,,a,601 17 002,Each,1.00,,,u,_071921003326,Master,5.46,0.34,1900-01-01,2075-12-31
_7192100336,DIGIORNO VAR 3 MEAT 12IN,54250,54250,,,,a,601 17 002,Each,1.00,,,u,_071921003364,Master,5.81,0.34,1900-01-01,2075-12-31
_7192100336,,,,,,,,,,,,,u,_071921805609,,,,,
