ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_016571910303,SPARKLING ICE BLK RASBERRY 17z,1052656,1052656,,,,a,601 11 000,Case,12.00,,,u,_016571910303,Master,10.00,0.00,2018-10-12,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17z,1052657,1052657,,,,a,601 11 000,Case,12.00,,,u,_016571910310,Master,10.00,0.00,2018-10-12,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17z,1052644,1052644,,,,a,601 11 000,Case,12.00,,,u,_016571910327,Master,10.00,0.00,2018-10-12,2075-12-31
_016571910372,SPARK PINK GRAPE 12 PL 17oz,35000056,35000056,,,,a,601 11 000,Case,12.00,,,u,_016571910372,Master,10.00,0.00,2018-10-12,2075-12-31
_016571911256,SPARKLING ICE LEMON LIME 17z,1062137,1062137,,,,a,601 11 000,Case,12.00,,,u,_016571911256,Master,10.00,0.00,2018-10-12,2075-12-31
_016571911263,SPARK POM BERRY 12 PL 17oz,35000058,35000058,,,,a,601 11 000,Case,12.00,,,u,_016571911263,Master,10.00,0.00,2018-10-12,2075-12-31
_016571940331,SPARK COCO PINE 12 PL 17oz,32006587,32006587,,,,a,601 11 000,Case,12.00,,,u,_016571940331,Master,10.00,0.00,2018-10-12,2075-12-31
_016571940348,SPARKLING ICE PEACH NECTARINE / MANGO 17z,1063757,1063757,,,,a,601 11 000,Case,12.00,,,u,_016571940348,Master,10.00,0.00,2018-10-12,2075-12-31
_016571940355,SPARKLING ICE LEMONADE 17z,1052659,1052659,,,,a,601 11 000,Case,12.00,,,u,_016571940355,Master,10.00,0.00,2018-10-12,2075-12-31
_016571940379,SPARK CRISP APPLE 12 PL 17oz,35000041,35000041,,,,a,601 11 000,Case,12.00,,,u,_016571940379,Master,10.00,0.00,2018-10-12,2075-12-31
_016571950293,SPARK STRAW LEM 12 PL 17oz,35000063,35000063,,,,a,601 11 000,Case,12.00,,,u,_016571950293,Master,10.00,0.00,2018-10-12,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17z,1064891,1064891,,,,a,601 11 000,Case,12.00,,,u,_016571950842,Master,10.00,0.00,2018-10-12,2075-12-31
_016571950859,SPARK STRAW WATERM 12 PL 17oz,35001176,35001176,,,,a,601 11 000,Case,12.00,,,u,_016571950859,Master,10.00,0.00,2018-10-12,2075-12-31
_016571952105,SPARK BLK CHERRY 12 PL 17oz,35000038,35000038,,,,a,601 11 000,Case,12.00,,,u,_016571952105,Master,10.00,0.00,2018-10-12,2075-12-31
_016571952679,SPARK GRAPE RASP 12 PL 17oz,32006592,32006592,,,,a,601 11 000,Case,12.00,,,u,_016571952679,Master,10.00,0.00,2018-10-12,2075-12-31
_018200001062,BUD LT 6PK 12z CN,13450,13450,,,,a,401 01B 000,Case,24.00,,,u,_018200001062,Master,21.75,0.00,2018-10-12,2075-12-31
_018200006142,BUSCH N/A 12PK 12z CN,32809,32809,,,,a,401 02B 000,Case,24.00,,,u,_018200006142,Master,17.95,0.00,2018-10-12,2075-12-31
