ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_1073200310,COTTON CANDY,119533,119533,,,,a,601 02B 000,Each,1.00,,,,,Master,0.10,0.00,1900-01-01,2075-12-31
_46623,BULK CONEY 12S,46623,46623,,,,a,218 02 001,Each,1.00,,,,,Master,1.29,0.00,1900-01-01,2075-12-31
_5040014101,POWDERED GEM DONUT,52854,52854,,,,a,601 05 000,Each,1.00,,,,,Master,0.76,0.00,1900-01-01,2075-12-31
_5040014372,BOX CHOC GEMS DONUTS,79402,79402,,,,a,601 05 000,Each,1.00,,,,,Master,1.72,0.00,1900-01-01,2075-12-31
_5040014373,SARAH LEE POWDER GEM DONUT 24C,79401,79401,,,,a,601 05 000,Each,1.00,,,,,Master,1.72,0.00,1900-01-01,2075-12-31
_5040020509,COLONIAL OLD FASHION BREAD 20z,18214,18214,,,,a,601 06 000,Each,1.00,,,,,Master,1.56,0.00,1900-01-01,2075-12-31
_5040020544,COLONIAL KING THIN,50713,50713,,,,a,601 06 000,Each,1.00,,,,,Master,1.49,0.00,1900-01-01,2075-12-31
_5040022514,COLONIAL WHEAT BREAD 1LB 4z,51987,51987,,,,a,601 06 000,Each,1.00,,,,,Master,1.49,0.00,1900-01-01,2075-12-31
_5040025100,COLONIAL HAMBURGER BUN 8PK,17415,17415,,,,a,601 06 000,Each,1.00,,,,,Master,1.34,0.00,1900-01-01,2075-12-31
_5040026100,COLONIAL HOTDOG BUN 8CT,17414,17414,,,,a,601 06 000,Each,1.00,,,,,Master,1.34,0.00,1900-01-01,2075-12-31
_5040026210,HOT DOG BUNS (DELI),74126,74126,,,,a,601 06 000,Each,1.00,,,,,Master,1.11,0.00,1900-01-01,2075-12-31
_5040064157,CHOCOLATE GEMS,52849,52849,,,,a,601 05 000,Each,1.00,,,,,Master,0.76,0.00,1900-01-01,2075-12-31
_5040064259,KERNS CHOCOLATE GEMS 11.5z,80134,80134,,,,a,601 05 000,Each,1.00,,,,,Master,1.49,0.00,1900-01-01,2075-12-31
_5040064260,KERNS POWDERED  GEMS 11.5z,161262,161262,,,,a,601 05 000,Each,1.00,,,,,Master,1.93,0.00,1900-01-01,2075-12-31
_5040075634,SUNNY HAMBURGER BUNS 12CT,104703,104703,,,,a,601 06 000,Each,1.00,,,,,Master,1.28,0.00,1900-01-01,2075-12-31
_7082100057,HOLSUM KING,57621,57621,,,,a,601 06 000,Each,1.00,,,,,Master,1.35,0.00,1900-01-01,2075-12-31
_7082102751,BAMBY LARGE BREAD,120425,120425,,,,a,601 06 000,Each,1.00,,,,,Master,0.79,0.00,1900-01-01,2075-12-31
_7185201001,KERNS BREAD 20z,47481,47481,,,,a,601 06 000,Each,1.00,,,,,Master,1.56,0.00,1900-01-01,2075-12-31
_7185216648,KERNS SNO BALL,54619,54619,,,,a,601 05 000,Each,1.00,,,,,Master,0.67,0.00,1900-01-01,2075-12-31
_7185216649,BANANA FLIP,57508,57508,,,,a,601 05 000,Each,1.00,,,,,Master,0.67,0.00,1900-01-01,2075-12-31
_7185216661,CINNAMON ROLL,57333,57333,,,,a,601 05 000,Each,1.00,,,,,Master,1.42,0.00,1900-01-01,2075-12-31
_7185216662,CINNAMON ROLL 6PK,55967,55967,,,,a,601 05 000,Each,1.00,,,,,Master,1.42,0.00,1900-01-01,2075-12-31
_7261000205,HEINERS IRON KIDS BREAD 20z,57531,57531,,,,a,601 06 000,Each,1.00,,,,,Master,1.34,0.00,1900-01-01,2075-12-31
_7261000305,HEINERS SPLIT TOP WHEAT BRD 20,35404,35404,,,,a,601 06 000,Each,1.00,,,,,Master,1.79,0.00,2008-04-22,2075-12-31
_7261000306,HEINERS HONEY WHEAT BREAD 20z,70345,70345,,,,a,601 06 000,Each,1.00,,,,,Master,1.79,0.00,2008-04-22,2075-12-31
_7261000401,HEINERS CLUSTER BBQ SM12P 14z,116808,116808,,,,a,601 06 000,Each,1.00,,,,,Master,1.34,0.00,1900-01-01,2075-12-31
