ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_ABLC-1K,AB CHRST UNIV 1K,20000943,20000943,,,,a,601 22 110,Each,1.00,,,u,_886381403339,Master,4.00,0.00,1900-01-01,2075-12-31
_ABLC-SLVR,AB CHRST UNIV SLVR,20001129,20001129,,,,a,601 22 110,Each,1.00,,,u,_886381403155,Master,5.95,0.00,1900-01-01,2075-12-31
_AIRF-1K,USAF 1K,20001108,20001108,,,,a,601 22 110,Each,1.00,,,u,_768353802282,Master,4.00,0.00,1900-01-01,2075-12-31
_AIRF-KNIT,USAF KNIT,20001501,20001501,,,,a,601 22 110,Each,1.00,,,u,_768353821665,Master,4.00,0.00,1900-01-01,2075-12-31
_AKRON-1K,AKRON 1K,20000944,20000944,,,,a,601 22 110,Each,1.00,,,u,_768353711744,Master,4.00,0.00,1900-01-01,2075-12-31
_AKRON-KNIT,AKRON KNIT,20001328,20001328,,,,a,601 22 110,Each,1.00,,,u,_768353820736,Master,4.00,0.00,1900-01-01,2075-12-31
_AKRON-SLV,AKRON SLVR,20001130,20001130,,,,a,601 22 110,Each,1.00,,,u,_768353745190,Master,5.95,0.00,1900-01-01,2075-12-31
_AL-1K,ALABAMA 1K,20000945,20000945,,,,a,601 22 110,Each,1.00,,,u,_768353711751,Master,4.00,0.00,1900-01-01,2075-12-31
_AL2 - 1K,BLACK MAGIC ALABAMA 1K,1078628,1078628,,,,a,601 22 110,Each,1.00,,,u,_768353158143,Master,4.50,0.00,1900-01-01,2075-12-31
_ALA&M-SLV,ALABAMA A&M SLVR,20001132,20001132,,,,a,601 22 110,Each,1.00,,,u,_768353745206,Master,5.95,0.00,1900-01-01,2075-12-31
_ALBRM-1K,UAB #1 1K,20000946,20000946,,,,a,601 22 110,Each,1.00,,,u,_768353417295,Master,4.00,0.00,1900-01-01,2075-12-31
_ALCOR-1K,ALCORN ST 1K,20000948,20000948,,,,a,601 22 110,Each,1.00,,,u,_768353711775,Master,4.00,0.00,1900-01-01,2075-12-31
_AL-KNIT,ALABAMA KNIT,20001329,20001329,,,,a,601 22 110,Each,1.00,,,u,_768353514826,Master,4.00,0.00,1900-01-01,2075-12-31
_AL-MOAK,ALABAMA MOSSY HAT,20001240,20001240,,,,a,601 22 110,Each,1.00,,,u,_886381088321,Master,5.95,0.00,1900-01-01,2075-12-31
_AL-SLV,ALABAMA SLVR,20001131,20001131,,,,a,601 22 110,Each,1.00,,,u,_768353514734,Master,5.95,0.00,1900-01-01,2075-12-31
_AL-US-MSKT,ALABAMA MOSSY KNIT,20001525,20001525,,,,a,601 22 110,Each,1.00,,,u,_886381128485,Master,5.95,0.00,1900-01-01,2075-12-31
_AN ST-1K,ANGELO ST 1K,20000949,20000949,,,,a,601 22 110,Each,1.00,,,u,_768353692647,Master,4.00,0.00,1900-01-01,2075-12-31
_AN ST-SLVR,ANGELO ST SLVR,20001133,20001133,,,,a,601 22 110,Each,1.00,,,u,_886381403117,Master,5.95,0.00,1900-01-01,2075-12-31
_AP ST-1K,APPLCH ST 1K,20000950,20000950,,,,a,601 22 110,Each,1.00,,,u,_768353711782,Master,4.00,0.00,1900-01-01,2075-12-31
_AP ST-KNIT,APPLCH ST KNIT,20001331,20001331,,,,a,601 22 110,Each,1.00,,,u,_768353634494,Master,4.00,0.00,1900-01-01,2075-12-31
_AP ST-MOAK,APPLCH ST MOSSY HAT,20001241,20001241,,,,a,601 22 110,Each,1.00,,,u,_886381133175,Master,5.95,0.00,1900-01-01,2075-12-31
