ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_079694221046,OLD TRAPPER BF JRKY ORG 3.25z,32004088,32004088,,,,a,601 04C 210,Each,1.00,,,u,_079694221046,Master,3.95,0.00,1900-01-01,2075-12-31
_079694222043,OLD TRAPPER BF JRKY PEPRD 3.25z,32004089,32004089,,,,a,601 04C 210,Each,1.00,,,u,_079694222043,Master,3.95,0.00,1900-01-01,2075-12-31
_079694223040,OLD TRAPPER BF JRKY TERI 3.25z,32004091,32004091,,,,a,601 04C 210,Each,1.00,,,u,_079694223040,Master,3.95,0.00,1900-01-01,2075-12-31
_20061,SA BEEF JERKY ROUNDS OLD FASHIONED,34900022,34900022,,,,a,601 04C 200,Box,80.00,,,u,_079694007015,Master,13.60,0.00,1900-01-01,2075-12-31
_20062,SA BEEF JERKY ROUNDS PEPPERED,x1-34900022,34900022,,,,a,601 04C 200,Box,80.00,,,u,_079694007022,Master,13.60,0.00,1900-01-01,2075-12-31
_20063,SA BEEF JERKY ROUNDS TERIYAKI,x2-34900022,34900022,,,,a,601 04C 200,Box,80.00,,,u,_079694007039,Master,13.60,0.00,1900-01-01,2075-12-31
_20064,SA BEEF JERKY ROUNDS SPICY,x3-34900022,34900022,,,,a,601 04C 200,Box,80.00,,,u,_079694007053,Master,13.60,0.00,1900-01-01,2075-12-31
_20071,SA BEEF JERKY RIBBON OLD FASHIONED,33000465,33000465,,,,a,601 04C 200,Box,20.00,,,u,_079694261233,Master,18.00,0.00,1900-01-01,2075-12-31
_20072,SA BEEF JERKY RIBBON TERIYAKI,x1-33000465,33000465,,,,a,601 04C 200,Box,20.00,,,u,_079694263237,Master,18.00,0.00,1900-01-01,2075-12-31
_20101,SA BEEF JERKY STICK PEPPERONI,34900025,34900025,,,,a,601 04C 200,Box,20.00,,,u,_079694101416,Master,18.00,0.00,1900-01-01,2075-12-31
_20102,SA BEEF JERKY STICK HOT ONE,x1-34900025,34900025,,,,a,601 04C 200,Box,20.00,,,u,_079694102413,Master,18.00,0.00,1900-01-01,2075-12-31
_20103,SA BEEF JERKY STICK TERIYAKI,x2-34900025,34900025,,,,a,601 04C 200,Box,20.00,,,u,_079694103410,Master,18.00,0.00,1900-01-01,2075-12-31
_20104,SA BEEF JERKY STICK BEEF,x3-34900025,34900025,,,,a,601 04C 200,Box,20.00,,,u,_079694104431,Master,18.00,0.00,1900-01-01,2075-12-31
_20201,SA BEEF JERKY SLAB OLD FASHIONED,34900027,34900027,,,,a,601 04C 200,Box,15.00,,,u,_079694251036,Master,32.25,0.00,1900-01-01,2075-12-31
_20202,SA BEEF JERKY SLAB PEPPERED,x1-34900027,34900027,,,,a,601 04C 200,Box,15.00,,,u,_079694252033,Master,32.25,0.00,1900-01-01,2075-12-31
_20203,SA BEEF JERKY SLAB TERIYAKI,x2-34900027,34900027,,,,a,601 04C 200,Box,15.00,,,u,_079694253030,Master,32.25,0.00,1900-01-01,2075-12-31
