ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_030613000531,BROOKLYN SSL 6PK 12z LN,1065747,1065747,,,,a,401 01B 000,Case,24.00,,,u,_030613000531,Master,30.99,0.00,1900-01-01,2075-12-31
_030613000586,BROOKLYN SUMMER ALE 6PK 12z LN,1083580,1083580,,,,a,401 01B 000,Case,24.00,,,u,_030613000586,Master,27.99,0.00,2017-05-01,2075-12-31
_070310009840,DOG BITE HG LAGER 24z CN,1065755,1065755,,,,a,401 01J 000,Case,12.00,,,u,_070310009840,Master,12.50,0.00,1900-01-01,2075-12-31
_083783110104,SIERRA NEVADA HAZY LITTLE THING IPA 6PK 12z CN,1087208,1087208,,,,a,401 01B 000,Case,24.00,,,u,_083783110104,Master,32.19,0.00,1900-01-01,2075-12-31
_083783222050,SIERRA NEVADA PALE ALE 4PK 16z CN,1064192,1064192,,,,a,401 01A 000,Case,24.00,,,u,_083783000030,Master,25.99,0.00,2017-05-08,2075-12-31
_083783222050,,,,,,,,,,,,,u,_083783222050,,,,,
_083783228229,SIERRA NEVADA SSL 6PK 12z LN,186072,186072,,,,a,401 01B 000,Case,24.00,,,u,_000150000035,Master,32.19,0.00,2017-02-13,2075-12-31
_083783228229,,,,,,,,,,,,,u,_083783228229,,,,,
_083783228229,,,,,,,,,,,,,u,_083783228236,,,,,
_083783331004,SIERRA NEVADA TORPEDO IPA 6PK 12z LN,1050806,1050806,,,,a,401 01B 000,Case,24.00,,,u,_083783228236,Master,32.19,0.00,2017-02-13,2075-12-31
_083783331004,,,,,,,,,,,,,u,_083783331004,,,,,
_083783375213,SIERRA NEVADA PALE ALE 6PK 12z LN,56180,56180,,,,a,401 01B 000,Case,24.00,,,u,_083783000054,Master,32.19,0.00,2017-02-13,2075-12-31
_083783375213,,,,,,,,,,,,,u,_083783375213,,,,,
_083783375213,,,,,,,,,,,,,u,_083783375237,,,,,
_083783375336,SIERRA NEVADA SIDECAR 6PK 12z LN,1082919,1082919,,,,a,401 01B 000,Case,24.00,,,u,_083783375336,Master,32.19,0.00,2017-02-13,2075-12-31
_083783381009,SIERRA NEVADA TORPEDO IPA 4PK 16z CN,1064193,1064193,,,,a,401 01A 000,Case,24.00,,,u,_083783110012,Master,25.99,0.00,2017-05-08,2075-12-31
_083783381009,,,,,,,,,,,,,u,_083783222081,,,,,
_083783381009,,,,,,,,,,,,,u,_083783381009,,,,,
_638489000268,DOGFISH HEAD INDIAN BURN 6PK 12z LN,1065800,1065800,,,,a,401 01B 000,Case,24.00,,,u,_638489000268,Master,36.20,0.00,2016-01-27,2075-12-31
_638489000299,DOGFISH HEAD 60 MIN IPA 6PK 12z LN,1064170,1064170,,,,a,401 01B 000,Case,24.00,,,u,_638489000299,Master,36.20,0.00,2016-01-27,2075-12-31
_638489000619,DOGFISH HEAD 90 MIN IPA 4PK 12z LN,1064171,1064171,,,,a,401 01A 000,Case,24.00,,,u,_638489000619,Master,49.80,0.00,2016-01-27,2075-12-31
_649440000654,OMMEGANG WITTE 6PK 12z LN,1080090,1080090,,,,a,401 01B 000,Case,24.00,,,u,_649440000654,Master,33.99,0.00,2016-04-20,2075-12-31
_649440998180,OMMEGANG NIRVANA IPA 6PK 12z LN,1080089,1080089,,,,a,401 01B 000,Case,24.00,,,u,_649440998180,Master,33.99,0.00,1900-01-01,2075-12-31
_681745111024,BLUE POINT HOPTICAL ILLUSION 6PK 12z LN,1066961,1066961,,,,a,401 01B 000,Case,24.00,,,u,_681745111024,Master,32.19,0.00,2017-02-13,2075-12-31
_681745111123,BLUE POINT TOASTED LAGER 6PK 12z LN,1065283,1065283,,,,a,401 01B 000,Case,24.00,,,u,_681745111123,Master,32.19,0.00,2017-02-13,2075-12-31
_681745111178,BLUE POINT WINTER ALE 6PK 12z LN,1077248,1077248,,,,a,401 01B 000,Case,24.00,,,u,_681745111178,Master,32.19,0.00,2017-02-13,2075-12-31
_681745111185,BLUE POINT SSL 6PK 12z LN,1066962,1066962,,,,a,401 01B 000,Case,24.00,,,u,_681745111185,Master,32.19,0.00,2017-02-13,2075-12-31
_681745111307,BLUE POINT BLUEBERRY 6PK 12z LN,1065282,1065282,,,,a,401 01B 000,Case,24.00,,,u,_681745111307,Master,32.19,0.00,2017-02-13,2075-12-31
_723830192454,LAGUNITAS SUMPIN EASY 19.2z CN,1088154,1088154,,,,a,Default,Case,24.00,,,u,_723830192454,Master,34.00,0.00,1900-01-01,2075-12-31
_723830300484,LAGUNITAS 12TH NEVER 19.2z CN,1084910,1084910,,,,a,Default,Case,24.00,,,u,_723830192478,Master,33.99,0.00,1900-01-01,2075-12-31
_740522100160,BELLS SSL ALE 6PK 12z LN,168829,168829,,,,a,401 01B 000,Case,24.00,,,u,_740522100160,Master,34.19,0.00,2016-01-27,2075-12-31
_740522100160,,,,,,,,,,,,,u,_740522100610,,,,,
_740522100832,BELLS BEST TWO HEARTED ALE 6PK 12z LN,1064600,1064600,,,,a,401 01B 000,Case,24.00,,,u,_740522100832,Master,34.19,0.00,2016-01-27,2075-12-31
_740522110633,BELLS SSL 4PK 16z CN,1056686,1056688,,,,a,401 01A 000,Case,24.00,,,u,_740522110633,Master,33.55,0.00,1900-01-01,2075-12-31
_740522110633,,,,,,,,,,,,,u,_740522110640,,,,,
_740522110831,BELLS TWO HEARTED 4PK 16z CN,1056687,1056689,,,,a,401 01A 000,Case,24.00,,,u,_740522110831,Master,37.70,0.00,1900-01-01,2075-12-31
_740522110831,,,,,,,,,,,,,u,_740522110848,,,,,
_795563000092,SMUTTY NOSE IPA 6PK 12z LN,1068406,1068406,,,,a,401 01D 000,Case,24.00,,,u,_795563000092,Master,32.19,0.00,2017-02-13,2075-12-31
_795563120097,SMUTTY NOSE IPA 12PK 12z LN,1068405,1068405,,,,a,401 01D 000,Case,24.00,,,u,_795563120097,Master,30.00,0.00,1900-01-01,2075-12-31
_816014020459,SOUTHERN TIER NU SKOOL 6PK 12Z CN,1085456,1085456,,,,a,401 01B 000,Case,24.00,,,u,_816014020459,Master,29.50,0.00,1900-01-01,2075-12-31
_816014020503,SOUTHERN TIER NU SKOOL 6PK 12Z LN,1085913,1085913,,,,a,Default,Case,24.00,,,u,_816014020503,Master,29.50,0.00,2017-11-08,2075-12-31
_819942000036,OSKAR BLUES DALES PALE ALE 6PK 12z CN,1051950,1051950,,,,a,401 01B 000,Case,24.00,,,u,_819942000036,Master,31.98,0.00,1900-01-01,2075-12-31
_819942000234,OSKAR BLUES PINNER IPA 6PK 12z CN,1070540,1070540,,,,a,401 01B 000,Case,24.00,,,u,_819942000234,Master,31.98,0.00,1900-01-01,2075-12-31
_853759000124,SOUTHERN TIER IPA 6PK 12z LN,1065929,1065929,,,,a,401 01B 000,Case,24.00,,,u,_853759000124,Master,32.19,0.00,2017-02-13,2075-12-31
_853759000278,SOUTHERN TIER 2x IPA 6PK 12z LN,1064330,1064330,,,,a,401 01B 000,Case,24.00,,,u,_853759000278,Master,37.19,0.00,2016-01-27,2075-12-31
