ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_088365000507,DAIRY HALF & HALF QT,1064359,1064359,,,,a,Default,Each,1.00,,,u,_041900020361,Master,2.09,0.00,2019-01-02,2075-12-31
_088365000507,,,,,,,,,,,,,u,_041900079123,,,,,
_088365000507,,,,,,,,,,,,,u,_041900079154,,,,,
_088365000507,,,,,,,,,,,,,u,_043119004118,,,,,
_088365000507,,,,,,,,,,,,,u,_044100103674,,,,,
_088365000507,,,,,,,,,,,,,u,_076545005640,,,,,
_088365000507,,,,,,,,,,,,,u,_088365000507,,,,,
_111,DAIRY SWEET TEA GAL,180166,180166,,,,a,601 14 01,Each,1.00,,,u,_041900045494,Master,1.52,0.00,2018-04-02,2075-12-31
_111,,,,,,,,,,,,,u,_041900080167,,,,,
_111,,,,,,,,,,,,,u,_041900080174,,,,,
_111,,,,,,,,,,,,,u,_070472492047,,,,,
_111,,,,,,,,,,,,,u,_070480009329,,,,,
_111,,,,,,,,,,,,,u,_070554053791,,,,,
_111,,,,,,,,,,,,,u,_070777820187,,,,,
_111,,,,,,,,,,,,,u,_070778000502,,,,,
_111,,,,,,,,,,,,,u,_070778005026,,,,,
_111,,,,,,,,,,,,,u,_070880022638,,,,,
_111,,,,,,,,,,,,,u,_071600735005,,,,,
_111,,,,,,,,,,,,,u,_071604006231,,,,,
_111,,,,,,,,,,,,,u,_072730037021,,,,,
_111,,,,,,,,,,,,,u,_075243101166,,,,,
_111,,,,,,,,,,,,,u,_076545001123,,,,,
_111,,,,,,,,,,,,,u,_076545001871,,,,,
_111,,,,,,,,,,,,,u,_076545018718,,,,,
_111,,,,,,,,,,,,,u,_815473012944,,,,,
_17080,DAIRY EGGS DOZ,180152,180152,,,,a,601 07 740,Each,1.00,,,u,_013372000059,Master,1.99,0.00,2018-06-25,2075-12-31
_17080,,,,,,,,,,,,,u,_015521121110,,,,,
_17080,,,,,,,,,,,,,u,_017674333310,,,,,
_17080,,,,,,,,,,,,,u,_017674333334,,,,,
_17080,,,,,,,,,,,,,u,_022906000038,,,,,
_17080,,,,,,,,,,,,,u,_024800500300,,,,,
_17080,,,,,,,,,,,,,u,_025434020028,,,,,
_17080,,,,,,,,,,,,,u,_026855123435,,,,,
_17080,,,,,,,,,,,,,u,_028621123984,,,,,
_17080,,,,,,,,,,,,,u,_031596000037,,,,,
_17080,,,,,,,,,,,,,u,_033604535227,,,,,
_17080,,,,,,,,,,,,,u,_033604621104,,,,,
_17080,,,,,,,,,,,,,u,_035733002458,,,,,
_17080,,,,,,,,,,,,,u,_035733002472,,,,,
_17080,,,,,,,,,,,,,u,_039222000031,,,,,
_17080,,,,,,,,,,,,,u,_041483000224,,,,,
_17080,,,,,,,,,,,,,u,_041498193140,,,,,
_17080,,,,,,,,,,,,,u,_043119002503,,,,,
_17080,,,,,,,,,,,,,u,_043119002510,,,,,
_17080,,,,,,,,,,,,,u,_044619070320,,,,,
_17080,,,,,,,,,,,,,u,_049022644908,,,,,
_17080,,,,,,,,,,,,,u,_052548538033,,,,,
_17080,,,,,,,,,,,,,u,_052549333330,,,,,
_17080,,,,,,,,,,,,,u,_070777888033,,,,,
_17080,,,,,,,,,,,,,u,_072730100206,,,,,
_17080,,,,,,,,,,,,,u,_075925000046,,,,,
_17080,,,,,,,,,,,,,u,_077236000302,,,,,
_17080,,,,,,,,,,,,,u,_077438555037,,,,,
_17080,,,,,,,,,,,,,u,_079492051753,,,,,
_17080,,,,,,,,,,,,,u,_088365007940,,,,,
_17080,,,,,,,,,,,,,u,_090208201026,,,,,
_17080,,,,,,,,,,,,,u,_090595000127,,,,,
_17080,,,,,,,,,,,,,u,_706613105148,,,,,
_17080,,,,,,,,,,,,,u,_856115003043,,,,,
_25077,MILK WHOLE GAL,180123,180123,,,,a,601 07 000,Each,1.00,,,u,_034500611015,Master,3.28,0.00,2019-01-02,2075-12-31
_25077,,,,,,,,,,,,,u,_034500653152,,,,,
_25077,,,,,,,,,,,,,u,_035733000034,,,,,
_25077,,,,,,,,,,,,,u,_041900020026,,,,,
_25077,,,,,,,,,,,,,u,_041900027636,,,,,
_25077,,,,,,,,,,,,,u,_041900071714,,,,,
_25077,,,,,,,,,,,,,u,_041900076382,,,,,
_25077,,,,,,,,,,,,,u,_043119000202,,,,,
_25077,,,,,,,,,,,,,u,_044100103209,,,,,
_25077,,,,,,,,,,,,,u,_070480001002,,,,,
_25077,,,,,,,,,,,,,u,_070554002799,,,,,
_25077,,,,,,,,,,,,,u,_070777012131,,,,,
_25077,,,,,,,,,,,,,u,_070778020104,,,,,
_25077,,,,,,,,,,,,,u,_070880000568,,,,,
_25077,,,,,,,,,,,,,u,_071600002572,,,,,
_25077,,,,,,,,,,,,,u,_071604000208,,,,,
_25077,,,,,,,,,,,,,u,_072730211100,,,,,
_25077,,,,,,,,,,,,,u,_075196001094,,,,,
_25077,,,,,,,,,,,,,u,_076545001086,,,,,
_25077,,,,,,,,,,,,,u,_079997000119,,,,,
_25077,,,,,,,,,,,,,u,_088365000026,,,,,
_25077,,,,,,,,,,,,,u,_815473010322,,,,,
_25077,,,,,,,,,,,,,u,_815473013224,,,,,
_25078,MILK 2% GAL,180124,180124,,,,a,601 07 000,Each,1.00,,,u,_034500621014,Master,3.05,0.00,2019-01-02,2075-12-31
_25078,,,,,,,,,,,,,u,_034500653169,,,,,
_25078,,,,,,,,,,,,,u,_035733000317,,,,,
_25078,,,,,,,,,,,,,u,_041900020125,,,,,
_25078,,,,,,,,,,,,,u,_041900020149,,,,,
_25078,,,,,,,,,,,,,u,_041900071721,,,,,
_25078,,,,,,,,,,,,,u,_041900076610,,,,,
_25078,,,,,,,,,,,,,u,_043119000103,,,,,
_25078,,,,,,,,,,,,,u,_044100106521,,,,,
_25078,,,,,,,,,,,,,u,_070438002792,,,,,
_25078,,,,,,,,,,,,,u,_070480002108,,,,,
_25078,,,,,,,,,,,,,u,_070554001792,,,,,
_25078,,,,,,,,,,,,,u,_070777015545,,,,,
_25078,,,,,,,,,,,,,u,_070778021101,,,,,
_25078,,,,,,,,,,,,,u,_070880002562,,,,,
_25078,,,,,,,,,,,,,u,_071600009014,,,,,
_25078,,,,,,,,,,,,,u,_071604002691,,,,,
_25078,,,,,,,,,,,,,u,_072730221109,,,,,
_25078,,,,,,,,,,,,,u,_075196001032,,,,,
_25078,,,,,,,,,,,,,u,_076545001093,,,,,
_25078,,,,,,,,,,,,,u,_079997000614,,,,,
_25078,,,,,,,,,,,,,u,_088365000347,,,,,
_25078,,,,,,,,,,,,,u,_815473010339,,,,,
_25079,MILK .5% or1% GAL,180125,180125,,,,a,601 07 000,Each,1.00,,,u,_034500622141,Master,2.94,0.00,2019-01-02,2075-12-31
_25079,,,,,,,,,,,,,u,_034500653176,,,,,
_25079,,,,,,,,,,,,,u,_035733000225,,,,,
_25079,,,,,,,,,,,,,u,_041900025182,,,,,
_25079,,,,,,,,,,,,,u,_041900032289,,,,,
_25079,,,,,,,,,,,,,u,_041900071738,,,,,
_25079,,,,,,,,,,,,,u,_041900076795,,,,,
_25079,,,,,,,,,,,,,u,_041900769482,,,,,
_25079,,,,,,,,,,,,,u,_043119000257,,,,,
_25079,,,,,,,,,,,,,u,_044100106804,,,,,
_25079,,,,,,,,,,,,,u,_070480002009,,,,,
_25079,,,,,,,,,,,,,u,_070554010794,,,,,
_25079,,,,,,,,,,,,,u,_070777025629,,,,,
_25079,,,,,,,,,,,,,u,_070777225319,,,,,
_25079,,,,,,,,,,,,,u,_070778023105,,,,,
_25079,,,,,,,,,,,,,u,_070880000605,,,,,
_25079,,,,,,,,,,,,,u,_071600011642,,,,,
_25079,,,,,,,,,,,,,u,_072730231108,,,,,
_25079,,,,,,,,,,,,,u,_075196000974,,,,,
_25079,,,,,,,,,,,,,u,_076545001079,,,,,
_25079,,,,,,,,,,,,,u,_079997000218,,,,,
_25079,,,,,,,,,,,,,u,_088365000125,,,,,
_25079,,,,,,,,,,,,,u,_815473010346,,,,,
_25080,MILK SKIM GAL,180116,180116,,,,a,601 07 000,Each,1.00,,,u,_034500621922,Master,2.77,0.00,2019-01-02,2075-12-31
_25080,,,,,,,,,,,,,u,_034500653183,,,,,
_25080,,,,,,,,,,,,,u,_035733000409,,,,,
_25080,,,,,,,,,,,,,u,_041900027797,,,,,
_25080,,,,,,,,,,,,,u,_041900036799,,,,,
_25080,,,,,,,,,,,,,u,_041900071745,,,,,
_25080,,,,,,,,,,,,,u,_041900077020,,,,,
_25080,,,,,,,,,,,,,u,_041900078744,,,,,
_25080,,,,,,,,,,,,,u,_043119000158,,,,,
_25080,,,,,,,,,,,,,u,_044100109829,,,,,
_25080,,,,,,,,,,,,,u,_070480003006,,,,,
_25080,,,,,,,,,,,,,u,_070554003796,,,,,
_25080,,,,,,,,,,,,,u,_070777125312,,,,,
_25080,,,,,,,,,,,,,u,_070778019108,,,,,
_25080,,,,,,,,,,,,,u,_070880002753,,,,,
_25080,,,,,,,,,,,,,u,_071600011659,,,,,
_25080,,,,,,,,,,,,,u,_071604002110,,,,,
_25080,,,,,,,,,,,,,u,_072730231177,,,,,
_25080,,,,,,,,,,,,,u,_075196001278,,,,,
_25080,,,,,,,,,,,,,u,_076545001109,,,,,
_25080,,,,,,,,,,,,,u,_088365000170,,,,,
_25080,,,,,,,,,,,,,u,_815473010353,,,,,
_25083,MILK WHOLE HG,180132,180132,,,,a,601 07 210,Each,1.00,,,u,_034500614184,Master,1.68,0.00,2019-01-02,2075-12-31
_25083,,,,,,,,,,,,,u,_034500640619,,,,,
_25083,,,,,,,,,,,,,u,_035733000041,,,,,
_25083,,,,,,,,,,,,,u,_041900027728,,,,,
_25083,,,,,,,,,,,,,u,_041900037628,,,,,
_25083,,,,,,,,,,,,,u,_041900071752,,,,,
_25083,,,,,,,,,,,,,u,_041900076412,,,,,
_25083,,,,,,,,,,,,,u,_043119002923,,,,,
_25083,,,,,,,,,,,,,u,_044100101892,,,,,
_25083,,,,,,,,,,,,,u,_070480001118,,,,,
_25083,,,,,,,,,,,,,u,_070554001525,,,,,
_25083,,,,,,,,,,,,,u,_070777080017,,,,,
_25083,,,,,,,,,,,,,u,_070778022108,,,,,
_25083,,,,,,,,,,,,,u,_070778022153,,,,,
_25083,,,,,,,,,,,,,u,_070880000094,,,,,
_25083,,,,,,,,,,,,,u,_071600001179,,,,,
_25083,,,,,,,,,,,,,u,_072730212022,,,,,
