ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_001560,QUEST PROTEIN BAR CHOCOLATE BROWNE 2.12Z,34800019,34800019,,,,a,Default,Case,12.00,,,u,_888849000418,Master,20.49,0.00,1900-01-01,2075-12-31
_269472,POWER CRUNCH WAFFLE VAN,10190478,10190478,,,,a,601 04 000,Case,12.00,,,u,_644225727382,Master,13.75,0.00,1900-01-01,2075-12-31
_286542,NESTLE PURE LIFE SPORT CAP 700ML,10059914,10059914,,,,a,601 10 000,Case,24.00,,,u,_068274543319,Master,9.04,0.00,1900-01-01,2075-12-31
_360784,PIERRE PEANUT BUTTER JAMWICH WITH GRAPE 2.8,10170540,10170540,,,,a,221 07 100,Case,24.00,,,u,_071421921205,Master,17.76,0.00,1900-01-01,2075-12-31
_360784,,,,,,,,,,,,,u,_075999010026,,,,,
_360826,JAMWICH PB STRAWBERRY,34000037,34000037,,,,a,221 07 100,Case,24.00,,,u,_071421921212,Master,17.76,0.00,1900-01-01,2075-12-31
_415068,ARROWHEAD WATER 1.5L,1124909,1124909,,,,a,601 10 000,Case,12.00,,,u,_071142000159,Master,12.19,0.00,1900-01-01,2075-12-31
_424104,PERKY JERKY TURKEY JRKY ORG 2.2z,1083149,1083149,,,,a,601 04C 210,Each,1.00,,,u,_852709002034,Master,4.01,0.00,2019-07-02,2075-12-31
_434210,THINK THIN LEMON DELIGHT 2.1z,1081478,1081478,,,,a,601 04 100,Case,10.00,,,u,_753656712024,Master,11.88,0.00,1900-01-01,2075-12-31
_453001,ENERGIZER MAX AA 8PK,1053009,1053009,,,,a,601 24 420,Each,1.00,,,u,_039800107978,Master,7.04,0.00,2019-07-06,2075-12-31
_453369,CAT NITRILE DOTTED PALM LG,1089229,1089229,,,,a,601 21 400,Each,1.00,,,u,_072874076719,Master,3.06,0.00,1900-01-01,2075-12-31
_460086,HI CHEW PLUS FRUIT BAG 3.17z,36000979,36000979,,,,a,601 02A 000,Case,12.00,,,u,_857983004989,Master,0.00,0.00,1900-01-01,2075-12-31
_464334,STRAW GIANT PAPER WRPD 10.25IN,37003163,37003163,,,,a,215 02 000,Case,300.00,,,u,_727351009840,Master,10.75,0.00,1900-01-01,2075-12-31
_467020,BIB BRISK STRWMLN 3 GAL,1084178,1084178,,,,a,215 02 001,Each,1.00,,,u,_120001611316,Master,54.20,0.00,1900-01-01,2075-12-31
_468581,SOUR PATCH KIDS HEADS PEG 8z,1117013,1117013,,,,a,601 02B 000,Case,12.00,,,u,_070462005172,Master,16.82,0.00,1900-01-01,2075-12-31
_470268,SWEDISH FISH TAILS PEG 8z,1117023,1117023,,,,a,601 02B 000,Case,8.00,,,u,_070462005226,Master,0.00,0.00,1900-01-01,2075-12-31
_470343,BIB FCB PEPSI FRTWRKS WTRM LMNDE,1124916,1124916,,,,a,215 03 001,Each,1.00,,,u,_120001638900,Master,61.08,0.00,1900-01-01,2075-12-31
_470611,QUEST CHOC SPRNKL DOUGNUT,1122858,1122858,,,,a,601 04 000,Box,12.00,,,u,_888849008650,Master,19.92,0.00,1900-01-01,2075-12-31
_470611,,,,,,,,,,,,,u,_888849008667,,,,,
