ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_016571910303,SPARKLING ICE BLK RASBERRY 17z,1052656,1052656,,,,a,601 11 000,Case,12.00,,,u,_016571910303,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17z,1052657,1052657,,,,a,601 11 000,Case,12.00,,,u,_016571910310,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17z,1052644,1052644,,,,a,601 11 000,Case,12.00,,,u,_016571910327,Master,9.00,0.00,2016-01-13,2075-12-31
_016571940355,SPARKLING ICE LEMONADE 17z,1052659,1052659,,,,a,601 11 000,Case,12.00,,,u,_016571940355,Master,9.00,0.00,2016-01-13,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17z,1064891,1064891,,,,a,601 11 000,Case,12.00,,,u,_016571950842,Master,9.00,0.00,2016-01-13,2075-12-31
_018200000089,BUD 32z LN,16364,16364,,,,a,401 01J 000,Case,12.00,,,u,_018200000089,Master,25.15,0.00,1900-01-01,2075-12-31
_018200000089,,,,,,,,,,,,,u,_018200110320,,,,,
_018200000188,BUD 6PK 16z CN,13442,13442,,,,a,401 01B 000,Case,24.00,,,u,_018200000188,Master,24.21,0.00,1900-01-01,2075-12-31
_018200000188,,,,,,,,,,,,,u,_018200110436,,,,,
_018200000294,NATTY RUSH PLUS BLUE 8z CN,1085494,1085494,,,,a,401 01D 000,Case,24.00,,,u,_018200000294,Master,13.95,0.00,1900-01-01,2075-12-31
_018200000300,NATTY RUSH PLUS WTRMLN 8z CN,1085498,1085498,,,,a,401 01D 000,Case,24.00,,,u,_018200000300,Master,13.95,0.00,2017-09-20,2075-12-31
_018200000645,BUD LT PLATINUM 22z LN,1051285,1051285,,,,a,401 01J 000,Case,15.00,,,u,_018200000645,Master,27.20,0.00,2017-09-25,2075-12-31
_018200000645,,,,,,,,,,,,,u,_018200009075,,,,,
_018200001154,BUD LT 6PK 16z CN,13452,13452,,,,a,401 01B 000,Case,24.00,,,u,_018200001154,Master,24.21,0.00,1900-01-01,2075-12-31
_018200001154,,,,,,,,,,,,,u,_018200530432,,,,,
