ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014974100024,WOODCHUCK RASPBERRY 6PK 12Z LN,32900038,32900038,,,,a,401 01B 000,Case,24.00,,,u,_014974100024,Master,26.92,0.00,1900-01-01,2075-12-31
_014974521270,WOODCHUCK AMBER 6PK 12Z CN,32900037,32900037,,,,a,401 01B 000,Case,24.00,,,u,_014974521270,Master,26.92,0.00,1900-01-01,2075-12-31
_022100001701,PABST 12PK 12Z CN,13504,13504,,,,a,401 01D 000,Case,24.00,,,u,_022100001701,Master,15.00,0.00,1900-01-01,2075-12-31
_034100000042,MILLER HL 6PK 12Z CN,13479,13479,,,,a,401 01B 000,Case,24.00,,,u,_034100000042,Master,15.20,0.00,1900-01-01,2075-12-31
_034100000318,MILLER HL 32Z LN,16798,16798,,,,a,401 01J 000,Case,12.00,,,u,_034100000318,Master,22.00,0.00,1900-01-01,2075-12-31
_034100003555,MILLER LT 24Z CN,38387,38387,,,,a,401 01J 000,Case,12.00,,,u,_034100003555,Master,21.90,0.00,1900-01-01,2075-12-31
_034100016364,MILLER HL 12PK 12z CN,13481,13481,,,,a,401 01D 000,Case,24.00,,,u,_034100016029,Master,15.20,0.00,1900-01-01,2075-12-31
_034100016364,,,,,,,,,,,,,u,_034100016364,,,,,
_034100073442,MILW BEST LT 15PK 12Z CN,1087002,1087002,,,,a,401 01E 000,Case,30.00,,,u,_034100073442,Master,13.20,0.00,1900-01-01,2075-12-31
_034100087166,REDDS APPLE ALE 6PK 12Z LN,1052617,1052617,,,,a,401 01B 000,Case,24.00,,,u,_034100087166,Master,26.20,0.00,1900-01-01,2075-12-31
_034100087302,REDDS PEACH ALE 6PK 12z LN,1054188,1054188,,,,a,401 01B 000,Case,24.00,,,u,_034100087302,Master,26.20,0.00,1900-01-01,2075-12-31
_034100087463,REDDS BLUEBERRY 6PK 12Z LN,1064593,1064593,,,,a,401 01B 000,Case,24.00,,,u,_034100087463,Master,26.20,0.00,1900-01-01,2075-12-31
_034100313449,MILW BEST 15PK 12Z CN,1087009,1087009,,,,a,401 01E 000,Case,30.00,,,u,_034100313449,Master,13.20,0.00,1900-01-01,2075-12-31
_034100516055,LEINENK SSL SHANDY 6PK 12Z LN,1052645,1052645,,,,a,401 01B 000,Case,24.00,,,u,_034100516055,Master,27.00,0.00,1900-01-01,2075-12-31
_034100516093,LEINENK SSL SHANDY 12PK 12Z CN,1052647,1052647,,,,a,401 01D 000,Case,24.00,,,u,_034100516093,Master,24.00,0.00,1900-01-01,2075-12-31
_034100516215,HENRYS HARD GRAPE 6PK 12Z LN,1083017,1083017,,,,a,401 01B 000,Case,24.00,,,u,_034100516215,Master,27.00,0.00,1900-01-01,2075-12-31
_034100575052,MILLER LT 6PK 12Z LN,43591,43591,,,,a,401 01B 000,Case,24.00,,,u,_034100575052,Master,20.80,0.00,1900-01-01,2075-12-31
