ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_022100000049,PABST 24z CN,154543,154543,,,,a,401 01J 000,Case,12.00,,,u,_022100000049,Master,16.60,0.00,2018-10-23,2075-12-31
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,
_022100000742,PABST 6PK 16z CN,18781,18781,,,,a,401 01B 000,Case,24.00,,,u,_022100000742,Master,16.00,0.00,2018-10-23,2075-12-31
_034100000073,MILLER HL 6PK 16z CN,13482,13482,,,,a,401 01B 000,Case,24.00,,,u,_034100000073,Master,12.80,0.00,1900-01-01,2075-12-31
_034100003449,REDDS WCKD 4PK 16z CN,33000679,33000679,,,,a,401 01A 000,Case,24.00,,,u,_034100003449,Master,29.50,0.00,2018-10-23,2075-12-31
_034100005825,MILLER HL LT 6PK 16z CN,159555,159555,,,,a,401 01B 000,Case,24.00,,,u,_034100000073,Master,12.80,0.00,2018-10-23,2075-12-31
_034100005825,,,,,,,,,,,,,u,_034100005825,,,,,
_034100006129,OLD ENGLISH 800 24z CN,87488,87488,,,,a,401 01J 000,Case,12.00,,,u,_034100006129,Master,15.15,0.00,1900-01-01,2075-12-31
_034100008802,ICEHOUSE 24z CN,38006,38006,,,,a,401 01J 000,Case,12.00,,,u,_034100008802,Master,15.15,0.00,2018-10-23,2075-12-31
_034100008802,,,,,,,,,,,,,u,_034100623463,,,,,
_034100087166,REDDS APPLE ALE 6PK 12z LN,1052617,1052617,,,,a,401 01B 000,Case,24.00,,,u,_034100087166,Master,28.00,0.00,2018-10-23,2075-12-31
_034100087302,REDDS PEACH ALE 6PK 12z LN,1054188,1054188,,,,a,401 01B 000,Case,24.00,,,u,_034100087302,Master,28.00,0.00,2018-10-23,2075-12-31
_034100485054,LEINENK HONY WEISS 6PK 12z LN,50464,50464,,,,a,401 01B 000,Case,24.00,,,u,_034100485054,Master,28.00,0.00,2018-10-23,2075-12-31
_034100516055,LEINENK SSL SHANDY 6PK 12z LN,1052645,1052645,,,,a,401 01B 000,Case,24.00,,,u,_034100516055,Master,28.00,0.00,2018-10-23,2075-12-31
_034100516604,HENRYS HARD SPARKLING VARIETY 12PK 12Z CN,1088975,1088975,,,,a,401 01D 000,Case,24.00,,,u,_034100516604,Master,25.50,0.00,2018-10-23,2075-12-31
_034100570231,MILLER LT 9PK 16z ALUM,178825,178825,,,,a,401 01O 000,Case,18.00,,,u,_034100570224,Master,19.40,0.00,2018-10-23,2075-12-31
_034100570231,,,,,,,,,,,,,u,_034100570231,,,,,
_034100573065,MILLER LT 24PK 12z CN (STCS),21333,21333,,,,a,401 01H 000,Case,24.00,,,u,_034100573065,Master,17.75,0.00,2018-10-23,2075-12-31
_034100573409,MILLER LT 18PK 12z CN,39611,39611,,,,a,401 01F 000,Case,18.00,,,u,_034100573409,Master,13.70,0.00,2018-10-23,2075-12-31
_034100575052,MILLER LT 6PK 12z LN,43591,43591,,,,a,401 01B 000,Case,24.00,,,u,_034100575052,Master,21.80,0.00,2018-10-23,2075-12-31
_034100575090,MILLER LT 12PK 12z LN,75051,75051,,,,a,401 01D 000,Case,24.00,,,u,_034100575090,Master,19.40,0.00,2018-10-23,2075-12-31
_034100576363,MILLER LT 12PK 12z CN,13485,13485,,,,a,401 01D 000,Case,24.00,,,u,_034100576028,Master,16.80,0.00,2018-10-23,2075-12-31
_034100576363,,,,,,,,,,,,,u,_034100576363,,,,,
_034100588052,LEINENK HERITAGE SSL 6PK 12z LN,1051048,1051048,,,,a,401 01B 000,Case,24.00,,,u,_034100588052,Master,28.00,0.00,2018-10-23,2075-12-31
_034100786588,LEINENK GRAPEFRUIT SHANDY 6PK 12z LN,1065383,1065383,,,,a,401 01B 000,Case,24.00,,,u,_034100786588,Master,28.00,0.00,2018-10-23,2075-12-31
_034100807412,HAMMS 30PK 12z CN,1051889,1051889,,,,a,401 01I 000,Case,30.00,,,u,_034100807412,Master,12.90,0.00,2018-10-23,2075-12-31
_034100989163,HENRYS HARD ORANGE 6PK 12z LN,1077155,1077155,,,,a,401 01B 000,Case,24.00,,,u,_034100989163,Master,27.00,0.00,2018-10-23,2075-12-31
_034100989309,REDDS APPLE SSL 6PK 12z LN,1077159,1077159,,,,a,401 01B 000,Case,24.00,,,u,_034100989309,Master,28.00,0.00,2018-10-23,2075-12-31
_071990000486,COORS LT 12PK 12z CN,14115,14115,,,,a,401 01D 000,Case,24.00,,,u,_071990000486,Master,16.80,0.00,2018-10-23,2075-12-31
_071990095116,BLUE MOON BEL WHT 6PK 12z LN,50431,50431,,,,a,401 01B 000,Case,24.00,,,u,_071990095116,Master,28.00,0.00,2018-10-23,2075-12-31
_071990095116,,,,,,,,,,,,,u,_087800000737,,,,,
_071990100025,COORS BANQUET 6PK 16z CN,156271,156271,,,,a,401 01B 000,Case,24.00,,,u,_071990100025,Master,19.15,0.00,2018-10-23,2075-12-31
_071990170288,COORS BANQ STUBBY 6PK 12z LN,13463,13463,,,,a,401 01B 000,Case,24.00,,,u,_071990100063,Master,21.80,0.00,2018-10-23,2075-12-31
_071990170288,,,,,,,,,,,,,u,_071990170288,,,,,
_071990281519,KEYSTONE ICE 15PK 12Z CN,1084334,1084334,,,,a,401 01E 000,Case,30.00,,,u,_071990281519,Master,15.20,0.00,2018-10-23,2075-12-31
_071990300050,COORS LT 6PK 12z LN,13465,13465,,,,a,401 01B 000,Case,24.00,,,u,_071990000004,Master,21.80,0.00,2018-10-23,2075-12-31
_071990300050,,,,,,,,,,,,,u,_071990300050,,,,,
_071990300173,COORS LT 18PK 12z CN,42440,42440,,,,a,401 01F 000,Case,18.00,,,u,_071990300173,Master,13.70,0.00,2018-10-23,2075-12-31
_071990300654,COORS LT 24z CN,65153,65153,,,,a,401 01J 000,Case,12.00,,,u,_071990300654,Master,22.85,0.00,2018-10-23,2075-12-31
_071990300692,COORS LT 12PK 12z LN,119734,119734,,,,a,401 01D 000,Case,24.00,,,u,_071990300692,Master,19.40,0.00,2018-10-23,2075-12-31
_071990301040,COORS LT 9PK 16z ALUM,184419,184419,,,,a,401 01O 000,Case,18.00,,,u,_071990301040,Master,19.40,0.00,2018-10-23,2075-12-31
_071990316006,COORS LT 24PK 12z CN,23656,23656,,,,a,401 01H 000,Case,24.00,,,u,_071990316006,Master,17.75,0.00,2018-10-23,2075-12-31
_071990320003,COORS LT 6PK 16z CN,18505,18505,,,,a,401 01B 000,Case,24.00,,,u,_071990320003,Master,19.15,0.00,2018-10-23,2075-12-31
_071990477073,KEYSTONE ICE 6PK 16z CN,165225,165225,,,,a,401 01B 000,Case,24.00,,,u,_071990477073,Master,12.80,0.00,2018-10-23,2075-12-31
_071990477127,KEYSTONE ICE 24z CN,120201,120201,,,,a,401 01J 000,Case,12.00,,,u,_071990477127,Master,15.15,0.00,2018-10-23,2075-12-31
_071990480080,KEYSTONE LT 6PK 16z CN,182243,182243,,,,a,401 01B 000,Case,24.00,,,u,_071990480080,Master,12.80,0.00,2018-10-23,2075-12-31
_071990480165,KEYSTONE LT 18PK 12z CN,155639,155639,,,,a,401 01F 000,Case,18.00,,,u,_071990480165,Master,9.80,0.00,2018-10-23,2075-12-31
_071990480196,KEYSTONE LT 30PK 12z CN,81888,81888,,,,a,401 01I 000,Case,30.00,,,u,_071990480196,Master,14.20,0.00,2018-10-23,2075-12-31
_071990480240,KEYSTONE LT 24z CN,104335,104335,,,,a,401 01J 000,Case,12.00,,,u,_071990480240,Master,15.15,0.00,2018-10-23,2075-12-31
_071990480240,,,,,,,,,,,,,u,_071990480257,,,,,
_071990480455,KEYSTONE LT 15PK 12z CN,1082873,1082873,,,,a,401 01E 000,Case,30.00,,,u,_071990480455,Master,15.20,0.00,2018-10-23,2075-12-31
_072311630115,DOS EQUIS AMB 6PK 12z LN,33604,33604,,,,a,401 01B 000,Case,24.00,,,u,_072311630115,Master,27.00,0.00,2018-10-23,2075-12-31
_072311630122,DOS EQUIS LAGR 6PK 12z LN,58098,58098,,,,a,401 01B 000,Case,24.00,,,u,_072311130127,Master,27.00,0.00,2018-10-23,2075-12-31
_072311630122,,,,,,,,,,,,,u,_072311630122,,,,,
_072890000118,HEINEKEN 6PK 12z LN,15260,15260,,,,a,401 01B 000,Case,24.00,,,u,_072890000019,Master,28.60,0.00,2018-10-23,2075-12-31
_072890000118,,,,,,,,,,,,,u,_072890000118,,,,,
_072890000118,,,,,,,,,,,,,u,_072890000217,,,,,
_072890000163,HEINEKEN 12PK 12z LN,41600,41600,,,,a,401 01D 000,Case,24.00,,,u,_072890000163,Master,26.20,0.00,2018-10-23,2075-12-31
_078250003287,STEEL RESERVE 24z CN,93560,93560,,,,a,401 01J 000,Case,12.00,,,u,_078250003287,Master,13.25,0.00,2018-10-23,2075-12-31
_078250003287,,,,,,,,,,,,,u,_078250003294,,,,,
_078250006059,STEEL RESERVE BLACKBERRY 24z CN,1054328,1054328,,,,a,401 01J 000,Case,12.00,,,u,_078250006059,Master,17.65,0.00,2018-10-23,2075-12-31
_078250006271,STEEL RESERVE BLUE RASPBERRY 24z CN,1085515,1085515,,,,a,401 01J 000,Case,12.00,,,u,_078250006271,Master,17.65,0.00,2018-10-23,2075-12-31
_078250006271,,,,,,,,,,,,,u,_078250006288,,,,,
_080660956053,CORONA EXTRA 6PK 12z LN,14809,14809,,,,a,401 01B 000,Case,24.00,,,u,_080660000015,Master,29.10,0.00,2018-10-23,2075-12-31
_080660956053,,,,,,,,,,,,,u,_080660956053,,,,,
_080660956152,CORONA EXTRA 12PK 12z LN,43252,43252,,,,a,401 01D 000,Case,24.00,,,u,_080660956152,Master,27.10,0.00,2018-10-23,2075-12-31
_087692100126,SAM ADAMS BOSTN LGR 6PK 12z LN,23629,23629,,,,a,401 01B 000,Case,24.00,,,u,_087692100126,Master,28.00,0.00,2018-12-14,2075-12-31
_087692831020,TWISTED TEA 6PK 12z LN,93587,93587,,,,a,401 01B 000,Case,24.00,,,e,_0876928310060,Master,27.00,0.00,2018-12-14,2075-12-31
_087692831020,,,,,,,,,,,,,u,_087692831006,,,,,
_087692831020,,,,,,,,,,,,,u,_087692831020,,,,,
_087692831341,TWISTED TEA 12PK 12z CN,1064594,1064594,,,,a,401 01D 000,Case,24.00,,,u,_087692831341,Master,25.00,0.00,2018-12-14,2075-12-31
_092000020003,NOT YOUR FATHERS ROOTBEER 6PK 12z LN,1065613,1065613,,,,a,401 01B 000,Case,24.00,,,u,_092000020003,Master,33.00,0.00,2018-10-23,2075-12-31
_092000020003,,,,,,,,,,,,,u,_849806000605,,,,,
_613008748296,ARNOLD PALMER SPIKED HALF AND HALF 24z CN,1086033,1086033,,,,a,401 01J 000,Case,12.00,,,u,_613008748296,Master,22.00,0.00,2018-10-23,2075-12-31
_635985010128,MIKES HARDER BLK CHY 16zCN LSE,185511,185511,,,,a,401 01J 000,Case,24.00,,,u,_635985010128,Master,31.60,0.00,2018-10-23,2075-12-31
_635985010128,,,,,,,,,,,,,u,_635985258988,,,,,
_635985067443,MIKES HARD B/CHY LMN 6PK 12zLN,158209,158209,,,,a,401 01B 000,Case,24.00,,,u,_635985067443,Master,27.00,0.00,2018-10-23,2075-12-31
_635985100621,MIKES HARD LMND 6PK 12z LN,93474,93474,,,,a,401 01B 000,Case,24.00,,,u,_635985000013,Master,27.00,0.00,2018-10-23,2075-12-31
_635985100621,,,,,,,,,,,,,u,_635985001126,,,,,
_635985100621,,,,,,,,,,,,,u,_635985100621,,,,,
_635985100621,,,,,,,,,,,,,u,_635985600121,,,,,
_635985258919,MIKES HARDER FRT MANGO 23.5z CN,185301,185301,,,,a,401 01J 000,Case,12.00,,,u,_635985258919,Master,25.00,0.00,2018-10-23,2075-12-31
_726959901204,BLVD WHEAT 6PK 12z LN,33000586,33000586,,,,a,401 01B 000,Case,24.00,,,u,_726959901204,Master,27.00,0.00,2018-10-23,2075-12-31
_754527000226,NB FAT TIRE 6PK 12Z LN,185818,185818,,,,a,401 01B 000,Case,24.00,,,u,_754527000226,Master,27.00,0.00,2018-10-23,2075-12-31
_842885097153,XYIENCE FROSTBERRY 16z,1052640,1052640,,,,a,601 13A 000,Case,24.00,,,u,_842885097153,Master,35.00,0.00,2018-10-23,2075-12-31
_842885098211,XYIENCE CHERRY LIME 16z,1052638,1052638,,,,a,601 13A 000,Case,24.00,,,u,_842885098211,Master,35.00,0.00,2018-10-23,2075-12-31
_842885098631,XYIENCE BLUE POM 16z,1052639,1052639,,,,a,601 13A 000,Case,24.00,,,u,_842885098631,Master,35.00,0.00,2018-10-23,2075-12-31
_842885098716,XYIENCE MANGO 16z,1052641,1052641,,,,a,601 13A 000,Case,24.00,,,u,_842885098716,Master,35.00,0.00,2018-10-23,2075-12-31
