ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_2006,DAKOTA TOM'S SG/EGG/CHS MUFFIN,133313,133313,,,,a,221 01 100,Each,1.00,,,u,_737296602006,Master,1.86,0.00,1900-01-01,2075-12-31
_737296101004,DAKOTA TOM'S CHICKEN SALAD CROIS,34800665,34800665,,,,a,221 01 100,Each,1.00,,,u,_737296101004,Master,2.92,0.00,1900-01-01,2075-12-31
_737296103008,DAKOTA TOM'S HAM & CHEESE CROIS,34800666,34800666,,,,a,221 01 100,Each,1.00,,,u,_737296103008,Master,2.71,0.00,1900-01-01,2075-12-31
_737296209991,DAKOTA TOM'S BBQ BRISKET SUB,34800667,34800667,,,,a,221 01 100,Each,1.00,,,u,_737296209991,Master,2.98,0.00,1900-01-01,2075-12-31
_737296501002,DAKOTA TOM'S HOAGIE,34800668,34800668,,,,a,221 01 100,Each,1.00,,,u,_737296501002,Master,2.49,0.00,1900-01-01,2075-12-31
_737296601559,DAKOTA TOM'S TURKEY & SWISS CROIS,34800669,34800669,,,,a,221 01 100,Each,1.00,,,u,_737296601559,Master,2.71,0.00,1900-01-01,2075-12-31
_737296601771,I/ADAKOTA TOM'S DBL CHEESEBURGER,133616,133616,,,,a,221 01 100,Each,1.00,,,u,_737296601771,Master,2.98,0.00,1900-01-01,2075-12-31
_737296702003,DAKOTA TOM'S CHUCKWAGON,34800670,34800670,,,,a,221 01 100,Each,1.00,,,u,_737296702003,Master,2.49,0.00,1900-01-01,2075-12-31
_737296703338,I/ADAKOTA TOM'S CHICKEN/SWISS,178589,178589,,,,a,221 01 100,Each,1.00,,,u,_737296703338,Master,2.84,0.00,1900-01-01,2075-12-31
_737296704007,DAKOTA TOM'S ROAST BEEF & CHEDDAR,34800671,34800671,,,,a,221 01 100,Each,1.00,,,u,_737296704007,Master,2.77,0.00,1900-01-01,2075-12-31
_737296755559,DAKOTA TOM'S ROAST BEEF PRETZEL,34800672,34800672,,,,a,221 01 100,Each,1.00,,,u,_737296755559,Master,2.84,0.00,1900-01-01,2075-12-31
_737296902007,DAKOTA TOM'S HAM & CHEESE,34800673,34800673,,,,a,221 01 100,Each,1.00,,,u,_737296902007,Master,2.35,0.00,1900-01-01,2075-12-31
_737296903004,DAKOTA TOM'S TRIPLE TREAT,34800674,34800674,,,,a,221 01 100,Each,1.00,,,u,_737296903004,Master,2.84,0.00,1900-01-01,2075-12-31
_737296904438,DAKOTA TOM'S TURKEY CLUB SUB,34800675,34800675,,,,a,221 01 100,Each,1.00,,,u,_737296904438,Master,2.71,0.00,1900-01-01,2075-12-31
_737296904445,DAKOTA TOM'S ITALIAN SUB,34800676,34800676,,,,a,221 01 100,Each,1.00,,,u,_737296904445,Master,2.84,0.00,1900-01-01,2075-12-31
_737296904483,DAKOTA TOM'S SPICY PHILLY SUB,34800677,34800677,,,,a,221 01 100,Each,1.00,,,u,_737296904483,Master,3.13,0.00,1900-01-01,2075-12-31
_737296906661,DAKOTA TOM'S ROAST BEEF SUB,34800678,34800678,,,,a,221 01 100,Each,1.00,,,u,_737296906661,Master,2.84,0.00,1900-01-01,2075-12-31
_737296906876,DAKOTA TOM'S MEATBALL SUB,34800679,34800679,,,,a,221 01 100,Each,1.00,,,u,_737296906876,Master,2.84,0.00,1900-01-01,2075-12-31
