ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_10159228,DD LARGE VINYL GLOVES,10159228,10159228,,,,a,206 03 000,Each,1.00,,,,,Master,23.26,0.00,1900-01-01,2075-12-31
_10169683,DD CO-OP DONUTS TRANSFER SKU,1064524,1064524,,,,a,206 26 001,Each,1.00,,,,,Master,0.31,0.00,2015-04-02,2075-12-31
_10169684,DD CO-OP MUNCHKINS TRANSFER SKU,1064526,1064526,,,,a,206 26 005,Each,1.00,,,,,Master,0.10,0.00,2015-04-02,2075-12-31
_10173736,DD CO-OP FANCIES TRANSFER SKU,1064525,1064525,,,,a,206 26 004,Each,1.00,,,,,Master,0.37,0.00,2015-04-02,2075-12-31
_10176188,DD CO-OP MUFFINS TRANSFER SKU,1064528,1064528,,,,a,206 26 003,Each,1.00,,,,,Master,0.42,0.00,2015-04-02,2075-12-31
_10182789,DD CO-OP MOTHER'S DAY MUG 16z,10182789,10182789,,,,a,206 22 000,Case,12.00,,,,,Master,6.99,0.00,1900-01-01,2075-12-31
_10185030,DD K-CUP PUMPKIN,10185030,10185030,,,,a,206 21 000,Case,10.00,,,,,Master,56.13,0.00,1900-01-01,2075-12-31
_10192717,DD CO-OP COFFEE CAKE TRANSFER SKU,10192717,10192717,,,,a,206 26 003,Each,1.00,,,,,Master,1.47,0.00,2015-04-02,2075-12-31
_10193395,CLEAR ROLL BAGS 7-10 GAL 1000,10193395,10193395,,,,a,206 03 000,Case,1000.00,,,,,Master,17.67,0.00,1900-01-01,2075-12-31
_10194757,DD CO-OP COOKIE TRANSFER SKU,10194757,10194757,,,,a,206 26 006,Each,1.00,,,,,Master,0.71,0.00,2015-04-02,2075-12-31
_10198911,DD CO-OP CROISSANTS TRANSFER SKU,1064529,1064529,,,,a,206 26 006,Each,1.00,,,,,Master,0.71,0.00,2015-04-02,2075-12-31
_104135,DD CO-OP OATMEAL RAISIN COOKIE 144CT,10195552,10195552,,,,a,206 26 006,Case,144.00,,,,,Master,21.74,0.00,2016-01-26,2075-12-31
_104145,DD CO-OP CHOCOLATE CHIP COOKIE 144 CT,10195551,10195551,,,,a,206 26 006,Case,144.00,,,,,Master,24.23,0.00,2016-01-26,2075-12-31
_104155,DD Co-Op TRIP CHOC CHUNK COOKIE 3oz 120,10193023,10193023,,,,a,206 26 006,Case,120.00,,,,,Master,37.44,0.00,1900-01-01,2075-12-31
_104402,DD Co-op DunkGoBar Orgl Blend 45ct FREE,10198308,10198308,,,,a,206 26 006,Case,45.00,,,,,Master,2.23,0.00,1900-01-01,2075-12-31
_1067385,DD CO-OP CHEESECAKE TRANSFER SKU,1067385,1067385,,,,a,206 26 002,Each,1.00,,,,,Master,0.34,0.00,1900-01-01,2075-12-31
_125011,DD Co-op T&S Artisan Whole Wheat Bagel 72cs,10194787,10194787,,,,a,206 26 006,Case,72.00,,,,,Master,19.56,0.00,2018-05-31,2075-12-31
_125605,ARTISAN WHEAT BAGEL,10187365,10187365,,,,a,206 26 006,Case,104.00,,,,,Master,19.69,0.00,2017-07-07,2075-12-31
_125615,ARTISAN BAGEL BLUEBRERRY 104CT,10187366,10187366,,,,a,206 26 006,Case,104.00,,,,,Master,24.69,0.00,2017-07-07,2075-12-31
_125625,ARTISAN BAGEL MUTLIGRAIN 104TC,10187370,10187370,,,,a,206 26 006,Case,104.00,,,,,Master,21.45,0.00,2018-08-01,2075-12-31
_125630,ARTISAN BAGEL ONION,10187372,10187372,,,,a,206 26 006,Case,104.00,,,,,Master,18.10,0.00,2017-07-07,2075-12-31
_125640,DD CO-OP ARTISAN PLN BAGELS 104/CT,1068495,1068495,,,,a,206 26 006,Case,104.00,,,,,Master,17.26,0.00,2018-08-01,2075-12-31
