ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_11093,DAIRY EGG NOG QT,x001-180148,180148,,,,a,601 07 310,Each,1.00,,,u,_034500634878,Master,2.26,0.00,1900-01-01,2075-12-31
_18260,DAIRY BUTTER 1LB,180153,180153,,,,a,601 07 760,Each,1.00,,,u,_043119009519,Master,4.45,0.00,2018-11-28,2075-12-31
_18260,,,,,,,,,,,,,u,_079176000107,,,,,
_23119,DAIRY YOGURT STRAWBERRY,180163,180163,,,,a,601 07 750,Case,12.00,,,u,_070470003009,Master,9.36,0.00,1900-01-01,2075-12-31
_3306,DAIRY EGG NOG QT,180148,180148,,,,a,601 07 310,Case,16.00,,,u,_034500634878,Master,36.16,0.00,1900-01-01,2075-12-31
_3707,DAIRY EGGS DOZ,180152,180152,,,,a,601 07 740,Case,15.00,,,u,_013372000059,Master,21.90,0.00,2018-11-28,2075-12-31
_3707,,,,,,,,,,,,,u,_015521121110,,,,,
_3707,,,,,,,,,,,,,u,_017674333310,,,,,
_3707,,,,,,,,,,,,,u,_017674333334,,,,,
_3707,,,,,,,,,,,,,u,_022906000038,,,,,
_3707,,,,,,,,,,,,,u,_024800500300,,,,,
_3707,,,,,,,,,,,,,u,_025434020028,,,,,
_3707,,,,,,,,,,,,,u,_026855123435,,,,,
_3707,,,,,,,,,,,,,u,_028621123984,,,,,
_3707,,,,,,,,,,,,,u,_031596000037,,,,,
_3707,,,,,,,,,,,,,u,_033604535227,,,,,
_3707,,,,,,,,,,,,,u,_033604621104,,,,,
_3707,,,,,,,,,,,,,u,_035733002458,,,,,
_3707,,,,,,,,,,,,,u,_035733002472,,,,,
_3707,,,,,,,,,,,,,u,_039222000031,,,,,
_3707,,,,,,,,,,,,,u,_041483000224,,,,,
_3707,,,,,,,,,,,,,u,_041498193140,,,,,
_3707,,,,,,,,,,,,,u,_043119002503,,,,,
_3707,,,,,,,,,,,,,u,_043119002510,,,,,
_3707,,,,,,,,,,,,,u,_044619070320,,,,,
_3707,,,,,,,,,,,,,u,_049022644908,,,,,
_3707,,,,,,,,,,,,,u,_052548538033,,,,,
_3707,,,,,,,,,,,,,u,_052549333330,,,,,
_3707,,,,,,,,,,,,,u,_070777888033,,,,,
_3707,,,,,,,,,,,,,u,_072730100206,,,,,
_3707,,,,,,,,,,,,,u,_075925000046,,,,,
_3707,,,,,,,,,,,,,u,_077236000302,,,,,
_3707,,,,,,,,,,,,,u,_077438555037,,,,,
_3707,,,,,,,,,,,,,u,_079492051753,,,,,
_3707,,,,,,,,,,,,,u,_088365007940,,,,,
_3707,,,,,,,,,,,,,u,_090208201026,,,,,
_3707,,,,,,,,,,,,,u,_090595000127,,,,,
_3707,,,,,,,,,,,,,u,_706613105148,,,,,
_3707,,,,,,,,,,,,,u,_856115003043,,,,,
_45846,MILK CHOC 1% QT,1064362,1064362,,,,a,601 07 310,Each,1.00,,,u,_041900072865,Master,1.39,0.00,2018-11-28,2075-12-31
_45846,,,,,,,,,,,,,u,_041900073237,,,,,
_45846,,,,,,,,,,,,,u,_043119003586,,,,,
_45846,,,,,,,,,,,,,u,_044100102431,,,,,
_45846,,,,,,,,,,,,,u,_075196001148,,,,,
_46099,MILK 1% CHOCOLATE HG,1064416,1064416,,,,a,601 07 210,Each,1.00,,,u,_041900072957,Master,1.69,0.00,2018-11-28,2075-12-31
_46099,,,,,,,,,,,,,u,_044100102424,,,,,
_46099,,,,,,,,,,,,,u,_075196001384,,,,,
_47421,MILK 1% CHOCOLATE GAL,1064342,1064342,,,,a,601 07 000,Case,4.00,,,u,_041900072841,Master,12.08,0.00,2018-11-28,2075-12-31
_47994,DAIRY FRUIT PUNCH DRK GAL,180167,180167,,,,a,601 07 10A,Case,4.00,,,u,_041900073626,Master,7.24,0.00,1900-01-01,2075-12-31
_47995,DAIRY ORANGE DRK GAL,180169,180169,,,,a,601 07 10A,Case,4.00,,,u,_041900073633,Master,7.24,0.00,1900-01-01,2075-12-31
_47999,DAIRY LEMONADE GAL,x001-180168,180168,,,,a,601 07 20A,Case,4.00,,,u,_041900073671,Master,7.24,0.00,1900-01-01,2075-12-31
_49951,MILK CHOC SS,180144,180144,,,,a,601 07 410,Each,1.00,,,u,_034500657068,Master,0.63,0.00,2018-11-28,2075-12-31
_49951,,,,,,,,,,,,,u,_035733001154,,,,,
_49951,,,,,,,,,,,,,u,_041900023461,,,,,
_49951,,,,,,,,,,,,,u,_041900074357,,,,,
_49951,,,,,,,,,,,,,u,_041900075057,,,,,
_49951,,,,,,,,,,,,,u,_041900075170,,,,,
_49951,,,,,,,,,,,,,u,_043119003463,,,,,
_49951,,,,,,,,,,,,,u,_070777555041,,,,,
_49951,,,,,,,,,,,,,u,_070778007150,,,,,
_49951,,,,,,,,,,,,,u,_070880008052,,,,,
_49951,,,,,,,,,,,,,u,_071600002602,,,,,
_49951,,,,,,,,,,,,,u,_072730264069,,,,,
_49951,,,,,,,,,,,,,u,_075196001223,,,,,
_49951,,,,,,,,,,,,,u,_075243105126,,,,,
_49951,,,,,,,,,,,,,u,_088365005267,,,,,
_49951,,,,,,,,,,,,,u,_815473010513,,,,,
_49953,MILK CHOC LF SS,180145,180145,,,,a,601 07 410,Each,1.00,,,u,_034500657228,Master,0.64,0.00,2018-11-28,2075-12-31
_49953,,,,,,,,,,,,,u,_035733001185,,,,,
_49953,,,,,,,,,,,,,u,_041900040680,,,,,
_49953,,,,,,,,,,,,,u,_041900072872,,,,,
_49953,,,,,,,,,,,,,u,_041900072988,,,,,
_49953,,,,,,,,,,,,,u,_041900074371,,,,,
_49953,,,,,,,,,,,,,u,_043119003470,,,,,
_49953,,,,,,,,,,,,,u,_070777555089,,,,,
_49953,,,,,,,,,,,,,u,_070778007556,,,,,
_49953,,,,,,,,,,,,,u,_070880009158,,,,,
_49953,,,,,,,,,,,,,u,_071600003777,,,,,
_49953,,,,,,,,,,,,,u,_072730264168,,,,,
_49953,,,,,,,,,,,,,u,_075243105133,,,,,
_49953,,,,,,,,,,,,,u,_815473010520,,,,,
_50217,MILK SUPER MOO 2% GL,33000317,33000317,,,,a,601 07 000,Case,4.00,,,u,_070744002073,Master,10.32,0.00,1900-01-01,2075-12-31
