ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_024300017056,DRAKES APPLE PIES,1087619,1087619,,,,a,601 05 000,Each,1.00,,,u,_024300017056,Master,0.95,0.00,1900-01-01,2075-12-31
_024300017063,DRAKES CHERRY PIES,1087620,1087620,,,,a,601 05 000,Each,1.00,,,u,_024300017063,Master,0.95,0.00,1900-01-01,2075-12-31
_024300044595,LD CREAM CHEESE STREUSEL CAKE 13z,1062140,1062140,,,,a,601 05 000,Each,1.00,,,u,_024300044595,Master,2.16,0.00,1900-01-01,2075-12-31
_024300044700,LD MINI CINNAMON SUGAR DONUTS BAG,1087808,1087808,,,,a,Default,Each,1.00,,,u,_024300044700,Master,1.35,0.00,1900-01-01,2075-12-31
_024300045158,LD MINI DOUBLE CHOC DONUTS BAG,1088782,1088782,,,,a,Default,Each,1.00,,,u,_024300045158,Master,1.35,0.00,1900-01-01,2075-12-31
_024300805196,LD PEANUT CLUSTER 2.3z,1084214,1084214,,,,a,601 05 200,Each,1.00,,,u,_024300805196,Master,0.65,0.00,1900-01-01,2075-12-31
_024300805783,LD PUMPKIN SPICE ROLLS,1088882,1088882,,,,a,601 05 200,Each,1.00,,,u,_024300805783,Master,0.56,0.00,1900-01-01,2075-12-31
_024300806063,LD APPLE CINNAMON DANISH 5z,1062136,1062136,,,,a,601 05 000,Each,1.00,,,u,_024300806063,Master,0.77,0.00,1900-01-01,2075-12-31
_024300808180,LD FUDGE DIPPED BANANA ROLL 2.1z,1084217,1084217,,,,a,601 05 200,Each,1.00,,,u,_024300808180,Master,0.34,0.00,1900-01-01,2075-12-31
_024300833564,LD SALTED CARMEL COOKIE BAR 1.2z,1084216,1084216,,,,a,601 05 200,Each,1.00,,,u,_024300833564,Master,0.34,0.00,2017-05-03,2075-12-31
_024300865916,LD DOUBLE DECKER FUDGE ROUND 3.9z,1087621,1087621,,,,a,601 05 200,Each,1.00,,,u,_024300041563,Master,0.65,0.00,1900-01-01,2075-12-31
_024300865916,,,,,,,,,,,,,u,_024300865916,,,,,
_024300881916,LD FUDGE ROUND 2.36z,1084215,1084215,,,,a,601 05 200,Each,1.00,,,u,_024300881916,Master,0.65,0.00,1900-01-01,2075-12-31
_04128,LD PEANUT BUTTER BARS 11.5z,24567,24567,,,,a,601 05 000,Each,1.00,,,u,_024300041280,Master,1.43,0.00,2018-10-08,2075-12-31
_2430001201,DRAKES CAKE DEVIL DOGS 13.24z,1066852,1066852,,,,a,601 05 000,Each,1.00,,,u,_024300012013,Master,2.09,0.00,1900-01-01,2075-12-31
_2430001207,DRAKES FUNNY BONES,1079792,1079792,,,,a,601 05 000,Each,1.00,,,u,_024300012075,Master,2.44,0.00,2016-06-07,2075-12-31
_2430001207,,,,,,,,,,,,,u,_024300014079,,,,,
_2430001408,DRAKES HONEY BUN,1066853,1066853,,,,a,601 05 000,Each,1.00,,,u,_024300014086,Master,2.09,0.00,1900-01-01,2075-12-31
_2430001600,DRAKES HONEY BUN ICED,1066847,1066847,,,,a,601 05 000,Each,1.00,,,u,_024300016004,Master,0.95,0.00,2017-05-15,2075-12-31
_2430001601,DRAKES CAKE DEVIL DOGS,1066846,1066846,,,,a,601 05 000,Each,1.00,,,u,_024300016011,Master,0.95,0.00,2017-05-15,2075-12-31
_2430001602,DRAKES CAKE COFFEE,1066845,1066845,,,,a,601 05 000,Each,1.00,,,u,_024300014024,Master,0.95,0.00,2017-05-15,2075-12-31
_2430001602,,,,,,,,,,,,,u,_024300016028,,,,,
_2430001603,DRAKES CAKE RING DINGS,1066848,1066848,,,,a,601 05 000,Each,1.00,,,u,_024300014031,Master,0.95,0.00,2017-05-15,2075-12-31
_2430001603,,,,,,,,,,,,,u,_024300016035,,,,,
_2430001604,DRAKES CAKE YODELS,1066849,1066849,,,,a,601 05 000,Each,1.00,,,u,_024300016042,Master,0.59,0.00,2015-05-07,2075-12-31
_2430001605,DRAKES PIE APPLE,1066850,1066850,,,,a,601 05 000,Each,1.00,,,u,_024300016059,Master,0.95,0.00,2017-05-03,2075-12-31
_2430001606,DRAKES PIE CHERRY,1066851,1066851,,,,a,601 05 000,Each,1.00,,,u,_024300016066,Master,0.95,0.00,2017-05-03,2075-12-31
_2430001607,DRAKES FUNNY BONES 4.1z,1081768,1081768,,,,a,601 05 000,Each,1.00,,,u,_024300016073,Master,0.95,0.00,2017-05-15,2075-12-31
_2430001608,DRAKES DOODLE ICED CUPCAKE,1078481,1078481,,,,a,601 05 000,Each,1.00,,,u,_024300016080,Master,0.77,0.00,2016-01-25,2075-12-31
_2430001704,DRAKES YODELS,1078480,1078480,,,,a,601 05 000,Each,1.00,,,u,_024300017049,Master,0.95,0.00,2017-05-15,2075-12-31
_2430004101,LD OATML PIE 16.2z,14746,14746,,,,a,601 05 000,Each,1.00,,,u,_024300041013,Master,1.43,0.00,2018-10-08,2075-12-31
_2430004102,LD HONEY BUN,27769,27769,,,,a,601 05 000,Each,1.00,,,u,_024300041020,Master,1.43,0.00,2018-10-08,2075-12-31
_2430004102,,,,,,,,,,,,,u,_024300833380,,,,,
_2430004105,LD VALENTINE CAKES CHOCOLATE,23404,23404,,,,a,601 05 000,Each,1.00,,,u,_024300041051,Master,1.55,0.00,2017-05-15,2075-12-31
_2430004106,LD COSMIC BROWNIES 13z,91130,91130,,,,a,601 05 000,Each,1.00,,,u,_024300041068,Master,1.43,0.00,2018-10-08,2075-12-31
_2430004107,LD RAISIN CREME PIE 10.15z,56922,56922,,,,a,601 05 000,Each,1.00,,,u,_024300041075,Master,1.43,0.00,2018-10-08,2075-12-31
_2430004111,LD MARSHMALLOW PIES 12z,152950,152950,,,,a,601 05 000,Each,1.00,,,u,_024300041112,Master,1.43,0.00,2017-05-15,2075-12-31
_2430004112,LD EASTER BASKET CAKES 12z,52454,52454,,,,a,601 05 000,Each,1.00,,,u,_024300041129,Master,1.55,0.00,2017-05-15,2075-12-31
_2430004113,LD JELLY CREME PIES,125769,125769,,,,a,601 05 000,Each,1.00,,,u,_024300041136,Master,1.43,0.00,2018-10-08,2075-12-31
_2430004114,LD STAR CRUNCH 12CT,16628,16628,,,,a,601 05 000,Each,1.00,,,u,_024300041143,Master,1.43,0.00,2018-10-08,2075-12-31
_2430004116,LD FALL PARTY CAKES VAN 12.5z,51200,51200,,,,a,601 04 000,Each,1.00,,,u,_024300041167,Master,1.55,0.00,2017-05-15,2075-12-31
