ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_856435005000,WARPED WING ERMALS BLGN CRM ALE 4PK 16z CN,1082392,1082392,,,,a,401 01A 000,Case,24.00,,,u,_856435005000,Master,43.17,0.00,1900-01-01,2075-12-31
_856435005017,WARPED WING FLYIN RYE PA 4PK 16z CN,1082394,1082394,,,,a,401 01A 000,Case,24.00,,,u,_856435005017,Master,47.97,0.00,1900-01-01,2075-12-31
_856435005024,WARPED WING 10 TON OATMEAL STOUT 4PK 16z CN,1082395,1082395,,,,a,401 01A 000,Case,24.00,,,u,_856435005024,Master,47.97,0.00,1900-01-01,2075-12-31
_856435005062,WARPED WING SSL 4PK 16z CN,1082393,1082393,,,,a,401 01A 000,Case,24.00,,,u,_856435005062,Master,47.97,0.00,1900-01-01,2075-12-31
_856435005109,WARPED WING GAMMA BOMB IPA 4PK 16z CN,1082390,1082390,,,,a,401 01A 000,Case,24.00,,,u,_856435005109,Master,47.97,0.00,1900-01-01,2075-12-31
_856435005130,WARPED WING TROTWOOD LAGER 4PK 16z CN,1082389,1082389,,,,a,401 01A 000,Case,24.00,,,u,_856435005130,Master,38.37,0.00,1900-01-01,2075-12-31
_856435005154,WARPED WING TROTWOOD LAGER 6PK 12z CN,1085128,1085128,,,,a,401 01B 000,Case,24.00,,,u,_856435005154,Master,28.78,0.00,1900-01-01,2075-12-31
_856435005161,WARPED WING ERMALS BLGN CRM ALE 6PK 12z CN,1088600,1088600,,,,a,401 01B 000,Case,24.00,,,u,_856435005161,Master,31.98,0.00,1900-01-01,2075-12-31
_856435005178,WARPED WING GAMMA BOMB IPA 6PK 12z CN,1088599,1088599,,,,a,401 01B 000,Case,24.00,,,u,_856435005178,Master,31.98,0.00,1900-01-01,2075-12-31
_856435005192,WARPED WING SSL 6PK 12z CN,1088601,1088601,,,,a,401 01B 000,Case,24.00,,,u,_856435005192,Master,31.98,0.00,1900-01-01,2075-12-31
_856435005222,WARPED WING FLYER RED LAGER 6PK 12z CN,1085129,1085129,,,,a,401 01B 000,Case,24.00,,,u,_856435005222,Master,28.78,0.00,1900-01-01,2075-12-31
