ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_022100000049,PABST 24z CN,154543,154543,,,,a,401 01J 000,Case,12.00,,,u,_022100000049,Master,12.05,0.00,2018-10-12,2075-12-31
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,
_022100000742,PABST 6PK 16z CN,32000178,18781,,,,a,401 01B 000,Case,24.00,,,u,_022100000742,Master,15.25,0.00,2018-12-31,2075-12-31
_022100000742,,,,,,,,,,,,,u,_022100001732,,,,,
_022100001572,PABST 18PK 12z CN,1051644,1051644,,,,a,401 01F 000,Case,18.00,,,u,_022100001572,Master,10.40,0.00,2018-10-12,2075-12-31
_022100001701,PABST 12PK 12z CN,13504,13504,,,,a,401 01D 000,Case,24.00,,,u,_022100001701,Master,13.60,0.00,2018-12-31,2075-12-31
_034100003555,MILLER LT 24z CN,38387,38387,,,,a,401 01J 000,Case,12.00,,,u,_034100003555,Master,15.00,0.00,2018-10-12,2075-12-31
_034100003555,,,,,,,,,,,,,u,_034100573461,,,,,
_034100003579,MILLER LT 6PK 16z CN,13487,13487,,,,a,401 01B 000,Case,24.00,,,u,_034100003579,Master,21.55,0.00,2018-10-12,2075-12-31
_034100003579,,,,,,,,,,,,,u,_034100573072,,,,,
_034100005559,MILLER GD 24z CN,58564,58564,,,,a,401 01J 000,Case,12.00,,,u,_034100005559,Master,15.00,0.00,1900-01-01,2075-12-31
_034100005559,,,,,,,,,,,,,u,_034100173463,,,,,
_034100015091,MILLER HL 12PK 12z LN,15745,15745,,,,a,401 01D 000,Case,24.00,,,u,_034100015091,Master,12.65,0.00,2018-10-12,2075-12-31
_034100035099,MILLER HL LT 12PK 12z LN,23837,23837,,,,a,401 01D 000,Case,24.00,,,u,_034100035099,Master,12.65,0.00,2018-10-12,2075-12-31
_034100035099,,,,,,,,,,,,,u,_034100035280,,,,,
_034100153403,MILLER 64 18PK 12z CN,82123,82123,,,,a,401 01F 000,Case,18.00,,,u,_034100153403,Master,12.65,0.00,1900-01-01,2075-12-31
_034100155094,MILLER 64 12PK 12z LN,15746,15746,,,,a,401 01D 000,Case,24.00,,,u,_034100155094,Master,17.45,0.00,2018-10-12,2075-12-31
_034100173401,MILLER GD 18PK 12z CN.,47170,47170,,,,a,401 01F 000,Case,18.00,,,u,_034100173401,Master,12.65,0.00,1900-01-01,2075-12-31
_034100173418,MILLER GD 30PK 12z CN,58820,58820,,,,a,401 01I 000,Case,30.00,,,u,_034100173418,Master,20.25,0.00,2018-10-12,2075-12-31
_034100173654,MILLER GD 9PK 16z ALUM,1053232,1053232,,,,a,401 01O 000,Case,18.00,,,u,_034100173654,Master,18.90,0.00,2018-10-12,2075-12-31
_034100175092,MILLER GD 12PK 12z LN.,75052,75052,,,,a,401 01D 000,Case,24.00,,,u,_034100175092,Master,17.45,0.00,2018-10-12,2075-12-31
_034100255053,LEINENK BERRY WEISS 6PK 12z LN,130815,130815,,,,a,401 01B 000,Case,24.00,,,u,_034100252052,Master,28.00,0.00,1900-01-01,2075-12-31
_034100255053,,,,,,,,,,,,,u,_034100255053,,,,,
_034100485054,LEINENK HONY WEISS 6PK 12z LN,50464,50464,,,,a,401 01B 000,Case,24.00,,,u,_034100007416,Master,28.00,0.00,1900-01-01,2075-12-31
_034100485054,,,,,,,,,,,,,u,_034100485054,,,,,
_034100498054,LEINENK SUNSET WHET 6PK 12z LN,165767,165767,,,,a,401 01B 000,Case,24.00,,,u,_034100000660,Master,28.00,0.00,1900-01-01,2075-12-31
_034100498054,,,,,,,,,,,,,u,_034100494056,,,,,
_034100498054,,,,,,,,,,,,,u,_034100498054,,,,,
_034100516055,LEINENK SSL SHANDY 6PK 12z LN,1052645,1052645,,,,a,401 01B 000,Case,24.00,,,u,_034100516055,Master,28.00,0.00,1900-01-01,2075-12-31
_034100516055,,,,,,,,,,,,,u,_034100516062,,,,,
_034100516215,HENRYS HARD GRAPE 6PK 12z LN,1083017,1083017,,,,a,401 01B 000,Case,24.00,,,u,_034100516215,Master,28.00,0.00,1900-01-01,2075-12-31
_034100516376,LEINENK SHANDY LIMITED 6PK 12z LN,1083980,1083980,,,,a,401 01B 000,Case,24.00,,,u,_034100516376,Master,28.00,0.00,1900-01-01,2075-12-31
_034100570231,MILLER LT 9PK 16z ALUM,178825,178825,,,,a,401 01O 000,Case,18.00,,,u,_034100570224,Master,18.90,0.00,2018-10-12,2075-12-31
_034100570231,,,,,,,,,,,,,u,_034100570231,,,,,
_034100573409,MILLER LT 18PK 12z CN.,39611,39611,,,,a,401 01F 000,Case,18.00,,,u,_034100573409,Master,12.65,0.00,1900-01-01,2075-12-31
_034100573416,MILLER LT 30PK 12z CN,52312,52312,,,,a,401 01I 000,Case,30.00,,,u,_034100573416,Master,20.25,0.00,2018-10-12,2075-12-31
_034100575090,MILLER LT 12PK 12z LN.,75051,75051,,,,a,401 01D 000,Case,24.00,,,u,_034100575090,Master,17.45,0.00,2018-10-12,2075-12-31
_034100588052,LEINENK HERITAGE SSL 6PK 12z LN,1051048,1051048,,,,a,401 01B 000,Case,24.00,,,u,_034100584054,Master,28.00,0.00,1900-01-01,2075-12-31
_034100588052,,,,,,,,,,,,,u,_034100588052,,,,,
_034100786557,LEINENK IPL 6PK 12z LN,1076603,1076603,,,,a,401 01B 000,Case,24.00,,,u,_034100786557,Master,28.00,0.00,1900-01-01,2075-12-31
_034100786557,,,,,,,,,,,,,u,_034100786564,,,,,
_034100989163,HENRYS HARD ORANGE 6PK 12z LN,1077155,1077155,,,,a,401 01B 000,Case,24.00,,,u,_034100989163,Master,28.80,0.00,2018-10-12,2075-12-31
_034100989224,HENRYS HARD GINGER ALE 6PK 12z LN,1077156,1077156,,,,a,401 01B 000,Case,24.00,,,u,_034100989224,Master,28.80,0.00,2018-10-12,2075-12-31
_034100989347,HENRYS CHERRY COLA 6PK 12z LN,1081032,1081032,,,,a,401 01B 000,Case,24.00,,,u,_034100989347,Master,28.80,0.00,2018-10-12,2075-12-31
_070310012444,SEAGRAMS VARIETY 12PK 12z CN,1068394,1068394,,,,a,401 01D 000,Case,24.00,,,u,_070310012444,Master,18.80,0.00,1900-01-01,2075-12-31
_070310012512,SEAGRAMS JAMAICANMEHAPPY 23.5z CN,1081798,1081798,,,,a,401 01J 000,Case,12.00,,,u,_070310012512,Master,16.70,0.00,1900-01-01,2075-12-31
_070310014837,SEAGRAMS SPIKED JAMAICANMEHAPPY 23.5z CN,1085486,1085486,,,,a,401 01J 000,Case,12.00,,,u,_070310014837,Master,14.35,0.00,2018-10-12,2075-12-31
_070310014844,SEAGRAMS SPIKED STRWBRY DAQUIRI 23.5z CN,1085487,1085487,,,,a,401 01J 000,Case,12.00,,,u,_070310014844,Master,14.35,0.00,2018-10-12,2075-12-31
_072890000163,HEINEKEN 12PK 12z LN,32000385,41600,,,,a,401 01D 000,Case,24.00,,,u,_072890000163,Master,27.65,0.00,2018-12-31,2075-12-31
_072890000163,,,,,,,,,,,,,u,_072890000255,,,,,
_072890000200,HEINEKEN 12PK 12z KEG CN,81128,81128,,,,a,401 01D 000,Case,24.00,,,u,_072890000200,Master,24.50,0.00,1900-01-01,2075-12-31
_072890000835,HEINEKEN 4PK 16z CN,181448,181448,,,,a,401 01A 000,Case,24.00,,,u,_072890000835,Master,27.00,0.00,2018-10-12,2075-12-31
_072890000835,,,,,,,,,,,,,u,_072890000842,,,,,
_072890001191,HEINEKEN 24z CN,134515,134515,,,,a,401 01J 000,Case,12.00,,,u,_072890001191,Master,24.00,0.00,2018-10-12,2075-12-31
_072890001191,,,,,,,,,,,,,u,_072890001207,,,,,
_072890001597,HEINEKEN LT 12PK 12z LN,164005,164005,,,,a,401 01D 000,Case,24.00,,,u,_072890001573,Master,27.65,0.00,2018-12-31,2075-12-31
_072890001597,,,,,,,,,,,,,u,_072890001597,,,,,
_072890001887,HEINEKEN LT 12PK 12z CN,9173735,173735,,,,a,401 01D 000,Case,24.00,,,u,_072890001887,Master,27.65,0.00,2018-12-31,2075-12-31
_072890004116,HEINEKEN LT 4PK 16z CN,181449,181449,,,,a,401 01A 000,Case,24.00,,,u,_072890004116,Master,27.00,0.00,2018-10-12,2075-12-31
_078250000361,STEEL RESERVE TRIPLE EXPORT 24z CN,1053270,1053270,,,,a,401 01J 000,Case,12.00,,,u,_078250000361,Master,16.80,0.00,2018-10-12,2075-12-31
_078250003287,STEEL RESERVE 24z CN,93560,93560,,,,a,401 01J 000,Case,12.00,,,u,_078250003287,Master,13.25,0.00,2018-10-12,2075-12-31
_078250003287,,,,,,,,,,,,,u,_078250003294,,,,,
_078250003362,STEEL RESERVE 6PK 16z CN,164616,164616,,,,a,401 01B 000,Case,24.00,,,u,_078250003362,Master,12.70,0.00,2018-10-12,2075-12-31
_078250003362,,,,,,,,,,,,,u,_078250003379,,,,,
_078250006059,STEEL RESERVE BLACKBERRY 24z CN,1054328,1054328,,,,a,401 01J 000,Case,12.00,,,u,_078250006059,Master,16.80,0.00,1900-01-01,2075-12-31
_078250006103,STEEL RESERVE SPIKED PUNCH 24z CN,1056908,1056908,,,,a,401 01J 000,Case,12.00,,,u,_078250006103,Master,16.80,0.00,1900-01-01,2075-12-31
_078250006141,STEEL RESERVE PINEAPPLE 24z CN,1064598,1064598,,,,a,401 01J 000,Case,12.00,,,u,_078250006141,Master,16.80,0.00,1900-01-01,2075-12-31
_078250006189,STEEL RESERVE SPIKED WTMLN 24z CN,1083018,1083018,,,,a,401 01J 000,Case,12.00,,,u,_078250006189,Master,16.80,0.00,1900-01-01,2075-12-31
_078250006271,STEEL RESERVE BLUE RASPBERRY 24z CN,1085515,1085515,,,,a,401 01J 000,Case,12.00,,,u,_078250006271,Master,16.80,0.00,1900-01-01,2075-12-31
_078250006271,,,,,,,,,,,,,u,_078250006288,,,,,
_080432802908,SEAGRAMS VARIETY 12PK 11z LN,1064879,1064879,,,,a,401 01D 000,Case,24.00,,,u,_080432802908,Master,19.50,0.00,2018-12-31,2075-12-31
_09487000070,HEINEKEN 24z LN,1066550,1066550,,,,a,401 01J 000,Case,12.00,,,u,_094870000703,Master,22.02,0.00,1900-01-01,2075-12-31
_613008748296,ARNOLD PALMER SPIKED HALF AND HALF 24z CN,1086033,1086033,,,,a,401 01J 000,Case,12.00,,,u,_613008748296,Master,23.50,0.00,1900-01-01,2075-12-31
