ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_3205400426,BP DIALBOX SINKER,125898,125898,,,,a,601 34 016,Each,1.00,,,u,_032054004260,Master,1.09,0.00,1900-01-01,2075-12-31
_3205400908,BP 7SNAP METAL STRINGER,127578,127578,,,,a,601 34 016,Each,1.00,,,u,_032054009081,Master,1.00,0.00,1900-01-01,2075-12-31
_3205401436,BP BRASS S SWIVEL #14,126833,126833,,,,a,601 34 016,Each,1.00,,,u,_032054014368,Master,0.45,0.00,1900-01-01,2075-12-31
_38810,NIGHTCRAWLERS 1 DOZ,38810,38810,,,,a,601 34 016,Each,1.00,,,u,_638655101294,Master,1.70,0.00,2014-04-17,2075-12-31
_38810,,,,,,,,,,,,,u,_836115000211,,,,,
_4208310004,BP STREN FISHING LINE 4LB,127597,127597,,,,a,601 34 016,Each,1.00,,,u,_042083100048,Master,2.45,0.00,1900-01-01,2075-12-31
_4208310004,,,,,,,,,,,,,u,_042083100482,,,,,
_4208310006,BP STREN LINE 6LB,126836,126836,,,,a,601 34 016,Each,1.00,,,u,_042083100062,Master,2.45,0.00,1900-01-01,2075-12-31
_4351760209,MEAL WORMS,83884,83884,,,,a,601 34 016,Each,1.00,,,u,_744341130384,Master,0.80,0.00,1900-01-01,2075-12-31
_4351760209,,,,,,,,,,,,,u,_837800009090,,,,,
_4351760209,,,,,,,,,,,,,u,_866557000050,,,,,
_4770800184,EAGLE CLAW HOOK 4 00184,117515,117515,,,,a,601 34 016,Each,1.00,,,u,_047708001847,Master,0.95,0.00,1900-01-01,2075-12-31
_4770800186,KASS HOOK 139  00186,117516,117516,,,,a,601 34 016,Each,1.00,,,u,_047708001861,Master,0.80,0.00,1900-01-01,2075-12-31
_4770800188,KASS HOOK 139 8 00188,117738,117738,,,,a,601 34 016,Each,1.00,,,u,_047708001885,Master,0.90,0.00,1900-01-01,2075-12-31
