ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_012000000881,MT DEW 24PK 12z CN,166428,166428,,,,a,901 01 000,Case,24.00,,,u,_012000000881,Master,7.59,0.00,1900-01-01,2075-12-31
_012000001314,MT DEW 20z NR,15777,15777,,,,a,901 04 000,Case,24.00,,,u,_012000000737,Master,20.75,0.00,2016-04-26,2075-12-31
_012000001314,,,,,,,,,,,,,u,_012000001314,,,,,
_012000001314,,,,,,,,,,,,,u,_012000005657,,,,,
_012000001314,,,,,,,,,,,,,u,_012000006456,,,,,
_012000001314,,,,,,,,,,,,,u,_012000007675,,,,,
_012000001314,,,,,,,,,,,,,u,_012000100567,,,,,
_012000001345,MT DEW DT 20z NR,15900,15900,,,,a,901 04 000,Case,24.00,,,u,_012000001345,Master,20.75,0.00,2016-04-26,2075-12-31
_012000001345,,,,,,,,,,,,,u,_012000003820,,,,,
_012000001345,,,,,,,,,,,,,u,_012000003851,,,,,
_012000001345,,,,,,,,,,,,,u,_012000005732,,,,,
_012000001345,,,,,,,,,,,,,u,_012000008337,,,,,
_012000001345,,,,,,,,,,,,,u,_012000100574,,,,,
_012000001420,AMP ENERGY SHOT 2Z,179220,179220,,,,a,601 15B 000,Box,24.00,,,u,_012000001420,Master,35.88,0.00,1900-01-01,2075-12-31
_012000001703,MT DEW DT 24PK 12z CN,166406,166406,,,,a,901 01 000,Case,24.00,,,u,_012000001703,Master,7.59,0.00,1900-01-01,2075-12-31
_012000002243,MT DEW CDE RED 20z NR,110278,110278,,,,a,901 04 000,Case,24.00,,,u,_012000002243,Master,20.75,0.00,2016-04-26,2075-12-31
_012000002243,,,,,,,,,,,,,u,_012000102967,,,,,
_012000002335,MT DEW 2L,13989,13989,,,,a,901 03 000,Case,8.00,,,u,_012000002335,Master,12.65,0.00,1900-01-01,2075-12-31
_012000002977,MT DEW 1L,17471,17471,,,,a,901 05 000,Case,15.00,,,u,_012000002977,Master,16.50,0.00,2016-04-26,2075-12-31
_012000003189,MT DEW DT 1L,23727,23727,,,,a,Default,Case,15.00,,,u,_012000003189,Master,16.50,0.00,2016-04-26,2075-12-31
_012000004452,MT DEW 12z LN GLS NR,1053644,1053644,,,,a,901 08 010,Case,24.00,,,e,_0120006297546,Master,20.75,0.00,1900-01-01,2075-12-31
_012000004452,,,,,,,,,,,,,u,_012000004452,,,,,
