ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_000774000701,OP ALOE AFTER SUN LOTION,1065218,1065218,,,,a,601 27 102,Each,1.00,,,u,_000774000701,Master,3.30,0.00,1900-01-01,2075-12-31
_000774000725,OP BURN RELIEF & REPAIR,1065219,1065219,,,,a,601 27 102,Each,1.00,,,u,_000774000725,Master,3.30,0.00,1900-01-01,2075-12-31
_000774316000,BULL FROG INSTA COOL LIP,1065223,1065223,,,,a,601 27 102,Each,1.00,,,u,_000774316000,Master,1.10,0.00,1900-01-01,2075-12-31
_000774316017,BULL FROG QUICK STICK,1065224,1065224,,,,a,601 27 102,Each,1.00,,,u,_000774316017,Master,4.75,0.00,1900-01-01,2075-12-31
_018515175458,ZINC STICK FACE & LIP CARDED,1065220,1065220,,,,a,601 27 102,Each,1.00,,,u,_018515175458,Master,2.89,0.00,1900-01-01,2075-12-31
_018515177520,ZINC FACE JAR CARDED,1065221,1065221,,,,a,601 27 102,Each,1.00,,,u,_018515177520,Master,3.31,0.00,1900-01-01,2075-12-31
_018515177537,ZINC ULTRA SHIELD SUNBLOCK,1065222,1065222,,,,a,601 27 102,Each,1.00,,,u,_018515177537,Master,6.62,0.00,1900-01-01,2075-12-31
_025217002005,PLASTIC SAND PAIL 7IN,1065161,1065161,,,,a,601 27 100,Each,1.00,,,u,_025217002005,Master,0.90,0.00,1900-01-01,2075-12-31
_025217021600,SAND PAIL 2GAL,1065162,1065162,,,,a,601 27 100,Each,1.00,,,u,_025217021600,Master,1.70,0.00,1900-01-01,2075-12-31
_038805202060,WHITE PING PONG BALLS,1065166,1065166,,,,a,601 27 100,Each,1.00,,,u,_038805202060,Master,1.55,0.00,1900-01-01,2075-12-31
_038805202077,ORANGE PING PONG BALLS,1065167,1065167,,,,a,601 27 100,Each,1.00,,,u,_038805202077,Master,1.55,0.00,1900-01-01,2075-12-31
_044194804501,SWIM GOGGLE 4+,1065187,1065187,,,,a,601 27 100,Each,1.00,,,u,_044194104502,Master,2.10,0.00,1900-01-01,2075-12-31
_044194804501,,,,,,,,,,,,,u,_044194804501,,,,,
_072447002503,BEACH BAG OF SAND TOYS,1065158,1065158,,,,a,601 27 100,Each,1.00,,,u,_072447002503,Master,3.35,0.00,1900-01-01,2075-12-31
