ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_074690002040,OD ORIGINAL POTATO CHIPS 1z,152953,152953,,,,a,601 04A 320,Each,1.00,,,u,_074690002040,Master,0.36,0.00,2018-10-23,2075-12-31
_074690002330,OD BBQ POTATO CHIPS 1z,34800659,34800659,,,,a,601 04A 320,Each,1.00,,,u,_074690002330,Master,0.36,0.00,2018-10-23,2075-12-31
_074690002460,OD SOUR CREAM & ONION CHIPS 1z,152954,152954,,,,a,601 04A 320,Each,1.00,,,u,_074690002460,Master,0.36,0.00,2018-10-23,2075-12-31
_074690002620,OD DILL PICKLE CHIPS 1z,153678,153678,,,,a,601 04A 320,Each,1.00,,,u,_074690002620,Master,0.36,0.00,2018-10-23,2075-12-31
_074690004082,OD CRUNCH ORIGINAL POTATO CHIPS 1z,34800660,34800660,,,,a,601 04A 320,Each,1.00,,,u,_074690004082,Master,0.36,0.00,2018-10-23,2075-12-31
_074690015040,OD ORIGINAL POTATO CHIPS 1.375,153673,153673,,,,a,601 04A 320,Each,1.00,,,u,_074690015040,Master,0.50,0.00,2018-10-23,2075-12-31
_074690015170,OD MESQUITE BBQ CHIPS 1.375,153674,153674,,,,a,601 04A 320,Each,1.00,,,u,_074690015170,Master,0.50,0.00,2018-10-23,2075-12-31
_074690015200,OD JALAPENO & CHED CHIPS 1.375,153675,153675,,,,a,601 04A 320,Each,1.00,,,u,_074690015200,Master,0.50,0.00,2018-10-23,2075-12-31
_074690015330,OD CRUNCH PARMESAN/GRLIC 1.375,160600,160600,,,,a,601 04A 320,Each,1.00,,,u,_074690015330,Master,0.50,0.00,2018-10-23,2075-12-31
_074690015460,OD CRUNCH SALT & VINEGAR POTATO CHIPS 1.375z,34800661,34800661,,,,a,601 04A 320,Each,1.00,,,u,_074690015460,Master,0.50,0.00,2018-10-23,2075-12-31
_074690015620,OD CRUNCH BISTRO BLEND POTATO CHIPS 1.375z,34800662,34800662,,,,a,601 04A 320,Each,1.00,,,u,_074690015620,Master,0.50,0.00,2018-10-23,2075-12-31
_074690015880,OD CRUNCH SOUR CREAM & DILL POTATO CHIPS 1.375z,34800663,34800663,,,,a,601 04A 320,Each,1.00,,,u,_074690015880,Master,0.50,0.00,2018-10-23,2075-12-31
_074690016016,OD ORIGINAL POTATO CHIPS 1.5z,86429,86429,,,,a,601 04A 320,Each,1.00,,,u,_074690016016,Master,0.50,0.00,2018-10-23,2075-12-31
_074690016306,OD BBQ POTATO CHIPS 1.5z,86431,86431,,,,a,601 04A 320,Each,1.00,,,u,_074690016306,Master,0.50,0.00,2018-10-23,2075-12-31
_074690016436,OD SOUR CREAM & ONION 1.5z,86433,86433,,,,a,601 04A 320,Each,1.00,,,u,_074690016436,Master,0.50,0.00,2018-10-23,2075-12-31
_074690016566,OD DILL PICKLE CHIPS 1.5z,86434,86434,,,,a,601 04A 320,Each,1.00,,,u,_074690016566,Master,0.50,0.00,2018-10-23,2075-12-31
_074690022864,OD BBQ POTATO CHIPS 2z,32003860,32003860,,,,a,601 04A 320,Each,1.00,,,u,_074690022864,Master,0.70,0.00,2018-10-23,2075-12-31
_074690023090,OD ORIGINAL CHIPS 2z,86436,86436,,,,a,601 04A 320,Each,1.00,,,u,_074690023090,Master,0.70,0.00,2018-10-23,2075-12-31
_074690023120,OD SOUR CREAM &ONION 2z,86437,86437,,,,a,601 04A 320,Each,1.00,,,u,_074690023120,Master,0.70,0.00,2018-10-23,2075-12-31
_074690023250,OD DILL PICKLE CHIPS 2z,86438,86438,,,,a,601 04A 320,Each,1.00,,,u,_074690023250,Master,0.70,0.00,2018-10-23,2075-12-31
_074690023380,OD ONION & GARLIC CHIP 2z,167030,167030,,,,a,601 04A 320,Each,1.00,,,u,_074690023380,Master,0.70,0.00,2018-10-23,2075-12-31
_074690023540,OD ORGINAL RPPLE CHPS 2z,86461,86461,,,,a,601 04A 320,Each,1.00,,,u,_074690023540,Master,0.70,0.00,2018-10-23,2075-12-31
_074690023670,OD FRENCH ONION RPL 2z,86462,86462,,,,a,601 04A 320,Each,1.00,,,u,_074690023670,Master,0.70,0.00,2018-10-23,2075-12-31
_074690023830,OD LOADED SPUD RPPLE CHIP 2z,150282,150282,,,,a,601 04A 320,Each,1.00,,,u,_074690023830,Master,0.70,0.00,2018-10-23,2075-12-31
_074690024066,OD CHED & SC RIPPLE CHPS 2z,98308,98308,,,,a,601 04A 320,Each,1.00,,,u,_074690024066,Master,0.70,0.00,2018-10-23,2075-12-31
_074690024875,OD CRUNCH SOUR CREAM & DILL POTATO CHIPS 2z,32003861,32003861,,,,a,601 04A 320,Each,1.00,,,u,_074690024875,Master,0.70,0.00,2018-10-23,2075-12-31
_074690024936,OD CRUNCH BACON RANCH POTATO CHIPS 2z,32003862,32003862,,,,a,601 04A 320,Each,1.00,,,u,_074690024936,Master,0.70,0.00,2018-10-23,2075-12-31
_074690025032,OD CRUNCH POTATO CHIP 2z,98310,98310,,,,a,601 04A 320,Each,1.00,,,u,_074690025032,Master,0.70,0.00,2018-10-23,2075-12-31
_074690025162,OD CRUNCH MSQUITE BBQ CHP 2z,98311,98311,,,,a,601 04A 320,Each,1.00,,,u,_074690025162,Master,0.70,0.00,2018-10-23,2075-12-31
_074690025292,OD CRUNCH JAL & CHED CHPS 2z,98312,98312,,,,a,601 04A 320,Each,1.00,,,u,_074690025292,Master,0.70,0.00,2018-10-23,2075-12-31
_074690025452,OD CRUNCH  PARMESAN/GRLIC 2z,140621,140621,,,,a,601 04A 320,Each,1.00,,,u,_074690025452,Master,0.70,0.00,2018-10-23,2075-12-31
_074690025872,OD CRUNCH SALT & VINEGAR POTATO CHIPS 2z,32003864,32003864,,,,a,601 04A 320,Each,1.00,,,u,_074690025872,Master,0.70,0.00,2018-10-23,2075-12-31
_074690027074,OD ORIGINAL POTATO CHIPS 3z,32003866,32003866,,,,a,601 04A 320,Each,1.00,,,u,_074690027074,Master,1.18,0.00,2018-10-23,2075-12-31
_074690027173,OD DILL PICKLE POTATO CHIPS 3z,32003867,32003867,,,,a,601 04A 320,Each,1.00,,,u,_074690027173,Master,1.18,0.00,2018-10-23,2075-12-31
_074690027234,OD SOUR CREAM & ONION POTATO CHIPS 3z,32003868,32003868,,,,a,601 04A 320,Each,1.00,,,u,_074690027234,Master,1.18,0.00,2018-10-23,2075-12-31
_074690027654,OD POPCORN TWISTS 2.5z,32003869,32003869,,,,a,601 04A 320,Each,1.00,,,u,_074690027654,Master,1.18,0.00,2018-10-23,2075-12-31
_074690028170,RIPPLES APPETIZERS ON THE GO POTATO CHIPS ONION BL,32003871,32003871,,,,a,601 04A 320,Each,1.00,,,u,_074690028170,Master,1.18,0.00,2018-10-23,2075-12-31
_074690028620,RIPPLES APPETIZERS ON THE GO POTATO CHIPS LOADED N,32003876,32003876,,,,a,601 04A 320,Each,1.00,,,u,_074690028620,Master,1.18,0.00,2018-10-23,2075-12-31
_074690028750,RIPPLES APPETIZERS ON THE GO  POTATO CHIPS BBQ PUL,32003877,32003877,,,,a,601 04A 320,Each,1.00,,,u,_074690028750,Master,1.18,0.00,2018-10-23,2075-12-31
_074690038032,OD BIG TWIN BOX REG 10z,86457,86457,,,,a,601 04A 320,Each,1.00,,,u,_074690038032,Master,3.08,0.00,2018-10-23,2075-12-31
_074690038292,OD BIG TWIN BOX RIP L 10z,86458,86458,,,,a,601 04A 320,Each,1.00,,,u,_074690038292,Master,3.08,0.00,2018-10-23,2075-12-31
_074690041582,OD GOURMET SEA SALT CHIPS 8z,185954,185954,,,,a,601 04A 320,Each,1.00,,,u,_074690041582,Master,2.93,0.00,2018-10-23,2075-12-31
_074690045016,OD CHEESE POPCORN 0.5z,34800664,34800664,,,,a,601 04A 320,Each,1.00,,,u,_074690045016,Master,0.36,0.00,2018-10-23,2075-12-31
_074690045696,OD POPCORN  2.5z,32003889,32003889,,,,a,601 04A 320,Each,1.00,,,u,_074690045696,Master,1.18,0.00,2018-10-23,2075-12-31
_074690045726,OD WHITE CHEDDAR POPCORN 2.5z,32003890,32003890,,,,a,601 04A 320,Each,1.00,,,u,_074690045726,Master,1.18,0.00,2018-10-23,2075-12-31
_074690050478,OD POPCORN 6z,86575,86575,,,,a,601 04A 320,Each,1.00,,,u,_074690050478,Master,2.18,0.00,2018-10-23,2075-12-31
_074690051314,OD POPCORN TWISTS 6z,32003893,32003893,,,,a,601 04A 320,Each,1.00,,,u,_074690051314,Master,2.42,0.00,2018-10-23,2075-12-31
_074690051574,OD CHEESE POPCORN 6z,86578,86578,,,,a,601 04A 320,Each,1.00,,,u,_074690051574,Master,2.18,0.00,2018-10-23,2075-12-31
_074690051734,OD WHITE CHEDDAR CHS PCRN 6z,86581,86581,,,,a,601 04A 320,Each,1.00,,,u,_074690051734,Master,2.18,0.00,2018-10-23,2075-12-31
_074690051864,OD KETTLE CORN 7z,32003896,32003896,,,,a,601 04A 320,Each,1.00,,,u,_074690051864,Master,2.42,0.00,2018-10-23,2075-12-31
_074690052090,OD SUPER SIZE POPCORN 13.5z,166287,166287,,,,a,601 04A 320,Each,1.00,,,u,_074690052090,Master,3.66,0.00,2018-10-23,2075-12-31
_074690052120,OD SUPER SZ CHEESE PPCRN 13.5z,166288,166288,,,,a,601 04A 320,Each,1.00,,,u,_074690052120,Master,3.66,0.00,2018-10-23,2075-12-31
_074690054162,OD SOUR CREAM & ONION RINGS 8z,32003899,32003899,,,,a,601 04A 320,Each,1.00,,,u,_074690054162,Master,2.18,0.00,2018-10-23,2075-12-31
_074690054742,OD CARAMEL PUFFCORN 8.5z,185958,185958,,,,a,601 04A 320,Each,1.00,,,u,_074690054742,Master,2.18,0.00,2018-10-23,2075-12-31
_074690055138,OD CHEESE PUFFCORN CRLS 2.125z,96182,96182,,,,a,601 04A 320,Each,1.00,,,u,_074690055138,Master,0.70,0.00,2018-10-23,2075-12-31
_074690055268,OD PUFFCORN CURLS 9z,86544,86544,,,,a,601 04A 320,Each,1.00,,,u,_074690055268,Master,2.18,0.00,2018-10-23,2075-12-31
