ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_077079000019,MIKESELLS PLN STHRN CRACKLINS,164300,164300,,,*INACTIVE*,a,706 14 001,Each,1.00,,,u,_077079000019,Master,0.68,0.00,1900-01-01,2075-12-31
_077079000026,MIKESELLS HOT STHRN  CRACKLIN,164301,164301,,,*INACTIVE*,a,706 14 001,Each,1.00,,,u,_077079000026,Master,0.68,0.00,1900-01-01,2075-12-31
_077079000033,MIKESELLS STHRN SLT/VIN 2Z,186039,186039,,,*INACTIVE*,a,706 14 001,Each,1.00,,,u,_077079000033,Master,0.68,0.00,1900-01-01,2075-12-31
_077079000118,EARLS STHRN CNTRY CRCKLN ORIG 2Z,32004038,32004038,,,,a,601 04A 000,Each,1.00,,,u,_077079000118,Master,0.68,0.00,1900-01-01,2075-12-31
_077079000125,EARLS STHRN CNTRY CRCKLN HOT 2Z,32004039,32004039,,,,a,601 04A 000,Each,1.00,,,u,_077079000125,Master,0.68,0.00,1900-01-01,2075-12-31
_077079000712,EARLS CHZ PUFF JALP 2.375Z,32004040,32004040,,,,a,601 04A 000,Each,1.00,,,u,_077079000712,Master,0.68,0.00,1900-01-01,2075-12-31
_077079007346,EARLS PORK RIND SALT/VIN 1.75Z,32004041,32004041,,,,a,601 04B 000,Each,1.00,,,u,_077079007346,Master,0.68,0.00,1900-01-01,2075-12-31
_077079007353,EARLS PORK RIND ORIG 1.75Z,32004042,32004042,,,,a,601 04B 000,Each,1.00,,,u,_077079007353,Master,0.68,0.00,1900-01-01,2075-12-31
_077079007360,EARLS PORK RIND HOT 1.75Z,32004043,32004043,,,,a,601 04A 000,Each,1.00,,,u,_077079007360,Master,0.68,0.00,1900-01-01,2075-12-31
_077079007407,EARLS PORK RIND BBQ 1.75z,32004045,32004045,,,,a,601 04A 000,Each,1.00,,,u,_077079007407,Master,0.68,0.00,1900-01-01,2075-12-31
_077079009869,MIKESELLS STHRN BBQ CRACKLIN,186034,186034,,,*INACTIVE*,a,706 14 001,Each,1.00,,,u,_077079009869,Master,0.68,0.00,1900-01-01,2075-12-31
_077079009982,EARLS PRK CRCKLN HOT/SPCY 2.5Z,32004058,32004058,,,,a,601 04A 000,Each,1.00,,,u,_077079009982,Master,1.00,0.00,2018-11-09,2075-12-31
_088637121022,EARLS CHEESE PUFFS 5Z,32004118,32004118,,,,a,601 04A 000,Each,1.00,,,u,_088637121022,Master,0.68,0.00,1900-01-01,2075-12-31
_088637121152,EARLS PCORN 3Z,32004119,32004119,,,,a,601 04A 200,Each,1.00,,,u,_088637121152,Master,0.68,0.00,1900-01-01,2075-12-31
_088637123224,EARLS BUTTERY PUFFCORN 3z,33000463,33000463,,,,a,601 04A 100,Each,1.00,,,u,_088637123224,Master,0.68,0.00,1900-01-01,2075-12-31
_088637123248,EARLS FOODS CHEESEY PUFFCORN 3z,33000464,33000464,,,,a,601 04A 100,Each,1.00,,,u,_088637123248,Master,0.68,0.00,1900-01-01,2075-12-31
_088637131014,EARLS TRIPLE TREAT 4Z,92752,92752,,,,a,601 04A 000,Each,1.00,,,u,_088637131014,Master,0.68,0.00,1900-01-01,2075-12-31
_088637141013,EARLS CHED/CHEESE CORN 5.5Z,86400,86400,,,,a,601 04A 000,Each,1.00,,,u,_088637141013,Master,0.68,0.00,1900-01-01,2075-12-31
_088637441014,EARLS PCORN 7Z,32004124,32004124,,,,a,601 04A 200,Each,1.00,,,u,_088637441014,Master,1.32,0.00,1900-01-01,2075-12-31
_088637582021,EARLS TORT CHIP ROUND YLW 12Z,32004125,32004125,,,,a,601 04A 000,Each,1.00,,,u,_088637582021,Master,1.32,0.00,2018-11-09,2075-12-31
_088637583028,EARLS CHEESE PUFFS 12Z,86402,86402,,,,a,601 04A 000,Each,1.00,,,u,_088637583028,Master,1.14,0.00,1900-01-01,2075-12-31
_088637661016,EARLS CARAMEL CORN  7Z,86399,86399,,,,a,601 04A 000,Each,1.00,,,u,_088637661016,Master,0.68,0.00,1900-01-01,2075-12-31
_088637664031,EARLS CHEESE PUFFS 2.5Z,86407,86407,,,,a,601 04A 000,Each,1.00,,,u,_088637664031,Master,0.38,0.00,1900-01-01,2075-12-31
_088637682028,EARLS TORT CHIP ROUND WHI 12Z,32004126,32004126,,,,a,601 04A 000,Each,1.00,,,u,_088637682028,Master,1.32,0.00,2018-11-09,2075-12-31
_735178000179,GRIPPO LEE'S SEASON STRIPS,1050645,1050645,,,,a,601 04A 410,Each,1.00,,,u,_735178000179,Master,0.68,0.00,1900-01-01,2075-12-31
_788637101061,CARAMEL CORN~ SUPER SIZE,34800044,34800044,,,,a,601 04A 200,Each,1.00,,,u,_788637101061,Master,1.85,0.00,1900-01-01,2075-12-31
_788637101085,CHEESE PUFF~ SUPER SIZE,33000466,33000466,,,,a,601 04A 200,Each,1.00,,,u,_788637101085,Master,1.85,0.00,1900-01-01,2075-12-31
_788637101092,EARLS TRIPLE 13z,33000437,33000437,,,,a,601 04A 000,Each,1.00,,,u,_788637101092,Master,1.85,0.00,1900-01-01,2075-12-31
_788637101108,EARLS CORN POPS 4Z,34800039,34800039,,,,a,601 04B 000,Each,1.00,,,u,_788637101108,Master,0.68,0.00,1900-01-01,2075-12-31
_788637120048,PRETZELS~ MINI,34800040,34800040,,,,a,601 04A 200,Each,1.00,,,u,_788637120048,Master,0.68,0.00,1900-01-01,2075-12-31
_788637120062,KETTLE CHIPS~ JALAPENO,34800032,34800032,,,,a,601 04A 200,Each,1.00,,,u,_788637120062,Master,0.68,0.00,1900-01-01,2075-12-31
_788637120079,KETTLE CHIPS~ ORIGINAL,34800033,34800033,,,,a,601 04A 200,Each,1.00,,,u,_788637120079,Master,0.68,0.00,1900-01-01,2075-12-31
_788637120086,KETTLE CHIPS~ DILL,34800034,34800034,,,,a,601 04A 200,Each,1.00,,,u,_788637120086,Master,0.68,0.00,1900-01-01,2075-12-31
_788637120093,KETTLE CHIPS~ BAR-B-Q MESQUITE,34800035,34800035,,,,a,601 04A 200,Each,1.00,,,u,_788637120093,Master,0.68,0.00,1900-01-01,2075-12-31
_788637121007,KETTLE CHIPS~ CHEDDAR & SOUR CREAM,34800036,34800036,,,,a,601 04A 200,Each,1.00,,,u,_788637121007,Master,0.68,0.00,1900-01-01,2075-12-31
_788637121137,EARLS PRETZ CLSSC THI,34800041,34800041,,,,a,601 04B 000,Each,1.00,,,u,_788637121137,Master,0.68,0.00,1900-01-01,2075-12-31
_788637121168,KETTLE CHIPS~ SALT & VINEGAR,34800038,34800038,,,,a,601 04A 200,Each,1.00,,,u,_788637121168,Master,0.68,0.00,1900-01-01,2075-12-31
_788637121175,KETTLE CHIPS~ SALT & PEPPER,34800037,34800037,,,,a,601 04A 200,Each,1.00,,,u,_788637121175,Master,0.68,0.00,1900-01-01,2075-12-31
_788637121212,EARLS PRETZEL BUTTER BRAIDS 6Z,33000438,33000438,,,,a,601 04A 200,Each,1.00,,,u,_788637121212,Master,0.68,0.00,1900-01-01,2075-12-31
_788637123216,EARLS CRNCHY CRLS HOT/SPICY  2.5z,33000445,33000445,,,,a,601 04A 200,Each,1.00,,,u,_788637123216,Master,0.68,0.00,1900-01-01,2075-12-31
