ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_046102,HOT CUP SPEEDWAY 12z,x3-186094,186094,,,,a,212 02 000,Case,500.00,,,,,Master,15.03,0.00,2018-11-18,2075-12-31
_046102,,,,,,,,,,,,,,,Minnesota,0.00,0.00,2018-10-05,2075-12-31
_046102,,,,,,,,,,,,,,,Wisconsin Zone 01,0.00,0.00,2018-10-05,2075-12-31
_046102,,,,,,,,,,,,,,,South Dakota Zone 01,0.00,0.00,2018-10-05,2075-12-31
_046110,HOT CUP SPEEDWAY 20z,x3-89553,89553,,,,a,212 02 000,Case,500.00,,,,,Master,18.57,0.00,2018-11-11,2075-12-31
_046110,,,,,,,,,,,,,,,Minnesota,0.00,0.00,2018-10-05,2075-12-31
_046110,,,,,,,,,,,,,,,Wisconsin Zone 01,0.00,0.00,2018-10-05,2075-12-31
_046110,,,,,,,,,,,,,,,South Dakota Zone 01,0.00,0.00,2018-10-05,2075-12-31
_122556,MARIE CALLNEDR MW CHIL/CRN 8z,133524,133524,,,,a,601 33 07,Each,1.00,,,,,Master,1.70,0.00,1900-01-01,2075-12-31
_122556,,,,,,,,,,,,,,,Minnesota,0.00,0.00,2018-10-05,2075-12-31
_122556,,,,,,,,,,,,,,,Wisconsin Zone 01,0.00,0.00,2018-10-05,2075-12-31
_122556,,,,,,,,,,,,,,,South Dakota Zone 01,0.00,0.00,2018-10-05,2075-12-31
_197210,GM COCOA PUFFS 13z,173621,173621,,,,a,601 33 01,Each,1.00,,,,,Master,3.16,0.00,1900-01-01,2075-12-31
_197210,,,,,,,,,,,,,,,Minnesota,0.00,0.00,2018-10-05,2075-12-31
_197210,,,,,,,,,,,,,,,Wisconsin Zone 01,0.00,0.00,2018-10-05,2075-12-31
_197210,,,,,,,,,,,,,,,South Dakota Zone 01,0.00,0.00,2018-10-05,2075-12-31
_317618,POP ROCKS WATERMELON,134795,134795,,,,a,601 02K 000,Box,36.00,,,,,Master,12.12,0.00,1900-01-01,2075-12-31
_317618,,,,,,,,,,,,,,,Minnesota,0.00,0.00,2018-10-05,2075-12-31
_317618,,,,,,,,,,,,,,,Wisconsin Zone 01,0.00,0.00,2018-10-05,2075-12-31
_317618,,,,,,,,,,,,,,,South Dakota Zone 01,0.00,0.00,2018-10-05,2075-12-31
_352377,SHP CAMEL BX KS B2G1F,162990,162990,,,,a,501 01 900,Each,1.00,,,,,Master,35.40,0.00,1900-01-01,2075-12-31
_352377,,,,,,,,,,,,,,,Minnesota,0.00,0.00,2018-10-05,2075-12-31
_352377,,,,,,,,,,,,,,,Wisconsin Zone 01,0.00,0.00,2018-10-05,2075-12-31
_352377,,,,,,,,,,,,,,,South Dakota Zone 01,0.00,0.00,2018-10-05,2075-12-31
_354670,PERF SERV SUG SBST-PINK  BULK,20002724,20002724,,,,a,212 02 000,Case,6.00,,,,,Master,38.98,0.00,1900-01-01,2075-12-31
_354670,,,,,,,,,,,,,,,Minnesota,0.00,0.00,2018-10-05,2075-12-31
_354670,,,,,,,,,,,,,,,Wisconsin Zone 01,0.00,0.00,2018-10-05,2075-12-31
_354670,,,,,,,,,,,,,,,South Dakota Zone 01,0.00,0.00,2018-10-05,2075-12-31
_354761,SHP PARLMNT LT BX 100 B2G1F,161857,161857,,,,a,501 01 900,Carton,10.00,,,,,Master,37.22,0.00,1900-01-01,2075-12-31
_354761,,,,,,,,,,,,,,,Minnesota,0.00,0.00,2018-10-05,2075-12-31
_354761,,,,,,,,,,,,,,,Wisconsin Zone 01,0.00,0.00,2018-10-05,2075-12-31
_354761,,,,,,,,,,,,,,,South Dakota Zone 01,0.00,0.00,2018-10-05,2075-12-31
_366146,HOT HELD PEPPERONI PIZZA,1080595,1080595,,,,a,221 05 101,Case,10.00,,,,,Master,41.37,0.00,2016-08-07,2075-12-31
_366146,,,,,,,,,,,,,,,Minnesota,0.00,0.00,2018-10-05,2075-12-31
_366146,,,,,,,,,,,,,,,Wisconsin Zone 01,0.00,0.00,2018-10-05,2075-12-31
_366146,,,,,,,,,,,,,,,South Dakota Zone 01,0.00,0.00,2018-10-05,2075-12-31
_400135,SHP CAMEL WIDE MN LT B1G1F,168712,168712,,,,a,501 01 900,Each,1.00,,,,,Master,26.23,0.00,1900-01-01,2075-12-31
_400135,,,,,,,,,,,,,,,Minnesota,0.00,0.00,2018-10-05,2075-12-31
_400135,,,,,,,,,,,,,,,Wisconsin Zone 01,0.00,0.00,2018-10-05,2075-12-31
_400135,,,,,,,,,,,,,,,South Dakota Zone 01,0.00,0.00,2018-10-05,2075-12-31
