ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_015958,DUTCH BERRY FUSION 2F1.49,1124489,1124489,,,,a,601 01 250,Case,30.00,,,u,_071610202580,Master,20.01,0.00,1900-01-01,2075-12-31
_015958,,,,,,,,,,,,,u,_071610580091,CUYAHOGA,20.01,0.00,1900-01-01,2075-12-31
_015958,,,,,,,,,,,,,,,INDIANA,21.21,0.00,1900-01-01,2075-12-31
_015958,,,,,,,,,,,,,,,KENTUCKY,19.67,0.00,1900-01-01,2075-12-31
_016014,DUTCH SWEET FUSION 2F1.49,1109090,1109090,,,,a,601 01 250,Case,30.00,,,u,_071610202627,Master,20.01,0.00,1900-01-01,2075-12-31
_016014,,,,,,,,,,,,,u,_071610580138,CUYAHOGA,20.01,0.00,1900-01-01,2075-12-31
_016014,,,,,,,,,,,,,,,INDIANA,21.21,0.00,1900-01-01,2075-12-31
_016014,,,,,,,,,,,,,,,KENTUCKY,19.67,0.00,1900-01-01,2075-12-31
_016022,DUTCH SWEET FUSION Save on 2,1109141,1109141,,,,a,601 01 250,Case,30.00,,,u,_071610505681,Master,20.18,0.00,1900-01-01,2075-12-31
_016022,,,,,,,,,,,,,,,CUYAHOGA,20.18,0.00,1900-01-01,2075-12-31
_016022,,,,,,,,,,,,,,,INDIANA,21.39,0.00,1900-01-01,2075-12-31
_016022,,,,,,,,,,,,,,,KENTUCKY,19.84,0.00,1900-01-01,2075-12-31
_016030,DUTCH SWEET FUSION 2F.99,1106157,1106157,,,,a,601 01 250,Case,30.00,,,u,_071610505728,Master,18.32,0.00,1900-01-01,2075-12-31
_016030,,,,,,,,,,,,,u,_071610505742,CUYAHOGA,18.32,0.00,1900-01-01,2075-12-31
_016030,,,,,,,,,,,,,,,INDIANA,19.42,0.00,1900-01-01,2075-12-31
_016030,,,,,,,,,,,,,,,KENTUCKY,18.01,0.00,1900-01-01,2075-12-31
