ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_022100000049,PABST 24z CN,154543,154543,,,,a,401 01J 000,Case,12.00,,,u,_022100000049,Master,14.85,0.00,2018-12-30,2075-12-31
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,
_022100000742,PABST 6PK 16z CN,18781,18781,,,,a,401 01B 000,Case,24.00,,,u,_022100000742,Master,16.15,0.00,2018-12-30,2075-12-31
_022100001572,PABST 18PK 12z CN,1051644,1051644,,,,a,401 01F 000,Case,18.00,,,u,_022100001572,Master,12.50,0.00,1900-01-01,2075-12-31
_022100001701,PABST 12PK 12z CN,13504,13504,,,,a,401 01D 000,Case,24.00,,,u,_022100001701,Master,12.80,0.00,2018-12-30,2075-12-31
_022100002883,PABST 12PK 12z LN,34097,34097,,,,a,401 01D 000,Case,24.00,,,u,_022100002883,Master,14.15,0.00,1900-01-01,2075-12-31
_022100002883,,,,,,,,,,,,,u,_022100006218,,,,,
_022100112193,PABST 30PK 12z CN,119178,119178,,,,a,401 01I 000,Case,30.00,,,u,_022100112193,Master,13.20,0.00,2018-12-30,2075-12-31
_033544950029,CORONA EXTRA 18PK 12z CN,1065149,1065149,,,,a,401 01F 000,Case,18.00,,,u,_033544950029,Master,17.95,0.00,2015-01-21,2075-12-31
_033544950210,CERVEZAS CLASICO 12PK 12z LN,1077169,1077169,,,,a,401 01D 000,Case,24.00,,,u,_033544950210,Master,24.65,0.00,2015-11-18,2075-12-31
_033544950227,PACIFICO 24z CN,1077148,1077148,,,,a,401 01J 000,Case,12.00,,,u,_033544950227,Master,25.10,0.00,2015-11-18,2075-12-31
_033544950258,VICTORIA 32z LN,1085687,1085687,,,,a,401 01J 000,Case,12.00,,,u,_033544950258,Master,35.30,0.00,2018-12-30,2075-12-31
_033544950272,MODELO 18PK 12z LN,1085697,1085697,,,,a,401 01F 000,Case,18.00,,,u,_033544950272,Master,19.10,0.00,2018-12-30,2075-12-31
_033544950319,PACIFICO 12PK 12z CN,1085686,1085686,,,,a,401 01D 000,Case,24.00,,,u,_033544950319,Master,25.85,0.00,2018-12-30,2075-12-31
_033544950333,MODELO CHELADA PICANTE 24z CN,1085681,1085681,,,,a,401 01J 000,Case,12.00,,,u,_033544950333,Master,26.90,0.00,2018-12-30,2075-12-31
_033544950418,CORONA PREMIER 6PK 12z LN,1083425,1083425,,,,a,401 01B 000,Case,24.00,,,u,_033544950418,Master,26.50,0.00,2018-12-30,2075-12-31
_033544950425,CORONA PREMIER 12PK 12z LN,1085684,1085684,,,,a,401 01D 000,Case,24.00,,,u,_033544950425,Master,25.85,0.00,1900-01-01,2075-12-31
_033544950470,CORONA PREMIER 24z CN,1085682,1085682,,,,a,401 01J 000,Case,12.00,,,u,_033544950470,Master,26.90,0.00,2018-12-30,2075-12-31
_033544950517,CORONA FAMILIAR 6PK 12z LN,1083422,1083422,,,,a,401 01B 000,Case,24.00,,,u,_033544850510,Master,26.50,0.00,2018-12-30,2075-12-31
_033544950517,,,,,,,,,,,,,u,_033544950517,,,,,
_033544950531,CORONA FAMILIAR 12PK 12z LN,1084974,1084974,,,,a,401 01D 000,Case,24.00,,,u,_033544950531,Master,26.50,0.00,2018-12-30,2075-12-31
_033544950562,CORONA LT 4PK 16z CN,1085685,1085685,,,,a,401 01A 000,Case,24.00,,,u,_033544950562,Master,27.25,0.00,2018-12-30,2075-12-31
_070310001486,GENESEE LT 24z CN,1065757,1065757,,,,a,401 01J 000,Case,12.00,,,u,_070310001486,Master,8.40,0.00,2018-12-30,2075-12-31
_070310014837,SEAGRAMS SPIKED JAMAICANMEHAPPY 23.5z CN,1085486,1085486,,,,a,401 01J 000,Case,12.00,,,u,_070310014837,Master,22.35,0.00,1900-01-01,2075-12-31
_070310014844,SEAGRAMS SPIKED STRWBRY DAQUIRI 23.5z CN,1085487,1085487,,,,a,401 01J 000,Case,12.00,,,u,_070310014844,Master,22.35,0.00,2017-09-20,2075-12-31
_073360112140,OLD STYLE 30PK 12z CN,52129,52129,,,,a,401 01I 000,Case,30.00,,,u,_073360112140,Master,12.10,0.00,2008-11-02,2075-12-31
_073360113017,OLD STYLE 24PK 12z CN,178511,178511,,,,a,401 01H 000,Case,24.00,,,u,_073360113017,Master,10.95,0.00,2015-05-08,2075-12-31
_073360113413,OLD STYLE 12PK 12z CN,23390,23390,,,,a,401 01D 000,Case,24.00,,,u,_073360113413,Master,13.50,0.00,2015-11-02,2075-12-31
_073360113475,OLD STYLE 15PK 12z CN,44007,44007,,,,a,401 01E 000,Case,30.00,,,u,_073360113475,Master,15.30,0.00,2008-11-02,2075-12-31
_073360117541,OLD STYLE 6PK 16z CN,23382,23382,,,,a,401 01B 000,Case,24.00,,,u,_073360117541,Master,16.15,0.00,2018-12-30,2075-12-31
_073360119064,OLD STYLE 12PK 12z LN,33527,33527,,,,a,401 01D 000,Case,24.00,,,u,_073360119064,Master,13.50,0.00,2015-11-02,2075-12-31
_073360709258,ARIZONA MUCHO MANGO 23.5z CAN,181055,181055,,,,a,601 12A 000,Case,24.00,,,u,_073360709258,Master,14.99,0.00,2016-01-11,2075-12-31
_073360709258,,,,,,,,,,,,,u,_613008735418,,,,,
_073360709432,ARIZONA GINSENG ICE TEA 20z,35777,35777,,,,a,601 14 000,Case,24.00,,,u,_073360709432,Master,14.99,0.00,2016-01-11,2075-12-31
_073360709999,ARIZONA GINSENG TEA PL GAL,124982,124982,,,,a,601 14 01,Case,4.00,,,u,_073360709999,Master,9.99,0.00,1900-01-01,2075-12-31
_073360710162,ARIZONA GRN TEA GNSNG HNY 20z,47470,47470,,,,a,601 14 000,Case,24.00,,,u,_073360710162,Master,14.99,0.00,2016-01-11,2075-12-31
