ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_028571000502,LA SIRENA SARDINES 12z,1065345,1065345,,,,a,601 33 500,Each,1.00,,,u,_028571000502,Master,1.85,0.00,1900-01-01,2075-12-31
_037000509486,DOWNY FABRIC SOFTNER 450ml,1065350,1065350,,,,a,601 23 132,Each,1.00,,,u,_037000509486,Master,1.45,0.00,1900-01-01,2075-12-31
_044774101006,BUENO MOLE RED 8.25z,1065342,1065342,,,,a,601 33 500,Each,1.00,,,u,_044774101006,Master,2.27,0.00,1900-01-01,2075-12-31
_044803000034,LA FAMOSA CORN TORT 90CT,1065331,1065331,,,,a,601 33 500,Each,1.00,,,u,_044803000034,Master,3.70,0.00,1900-01-01,2075-12-31
_044803000089,LA FAMOSA FLOUR TORT 6in,1065333,1065333,,,,a,601 33 500,Each,1.00,,,u,_044803000089,Master,1.70,0.00,1900-01-01,2075-12-31
_044803000102,LA FAMOSA CORN TORT 30CT,1065332,1065332,,,,a,601 33 500,Each,1.00,,,u,_044803000102,Master,1.30,0.00,1900-01-01,2075-12-31
_070132110120,JUANITAS MENUDO,1065341,1065341,,,,a,601 33 500,Each,1.00,,,u,_070132110120,Master,4.20,0.00,1900-01-01,2075-12-31
_070132145429,JUANITAS HOMINY,1065340,1065340,,,,a,601 33 500,Each,1.00,,,u,_070132145429,Master,1.62,0.00,1900-01-01,2075-12-31
_072878505239,DONA MARIA MOLE ROJO RED,132391,132391,,,,a,601 33 17,Each,1.00,,,u,_072878505239,Master,2.98,0.00,1900-01-01,2075-12-31
_072878515245,DONA MARIA NOPALITOS 15z,162893,162893,,,,a,601 33 17,Each,1.00,,,u,_072878515245,Master,1.94,0.00,1900-01-01,2075-12-31
_074234951148,SM CHIPOLTE PEPPERS 7z,1065339,1065339,,,,a,601 33 500,Each,1.00,,,u,_074234951148,Master,1.62,0.00,1900-01-01,2075-12-31
