ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_036425020804,FOREVER ROSE,1085882,1085882,,,,a,601 34 007,Each,1.00,,,u,_036425020804,Master,2.50,0.00,1900-01-01,2075-12-31
_1697812777,SINGLE ROSE,17147,17147,,,,a,601 34 007,Each,1.00,,,u,_028030210268,Master,2.00,0.00,1900-01-01,2075-12-31
_1697812777,,,,,,,,,,,,,u,_033383974750,,,,,
_1697812777,,,,,,,,,,,,,u,_033383979212,,,,,
_1697812777,,,,,,,,,,,,,u,_041163002401,,,,,
_1697812777,,,,,,,,,,,,,u,_094922764119,,,,,
_1697812777,,,,,,,,,,,,,u,_101210121681,,,,,
_1697812777,,,,,,,,,,,,,u,_616978127771,,,,,
_1697812777,,,,,,,,,,,,,u,_616978127795,,,,,
_1697812777,,,,,,,,,,,,,u,_655504003295,,,,,
_1697812777,,,,,,,,,,,,,u,_663413010013,,,,,
_1697812777,,,,,,,,,,,,,u,_679432007019,,,,,
_1697812777,,,,,,,,,,,,,u,_785385100049,,,,,
_1697812777,,,,,,,,,,,,,u,_798304035308,,,,,
_1697812777,,,,,,,,,,,,,u,_829691000010,,,,,
_1697812777,,,,,,,,,,,,,u,_832972001019,,,,,
_1697812777,,,,,,,,,,,,,u,_836115000013,,,,,
_1697812777,,,,,,,,,,,,,u,_836115000068,,,,,
_1697812777,,,,,,,,,,,,,u,_837654206003,,,,,
_1697812777,,,,,,,,,,,,,u,_855205001006,,,,,
_1697812777,,,,,,,,,,,,,u,_973700502092,,,,,
_169781377,3 ROSE BOUQUET,1083024,1083024,,,,a,601 34 007,Each,1.00,,,u,_616978137794,Master,7.00,0.00,1900-01-01,2075-12-31
_169781377,,,,,,,,,,,,,u,_616978137800,,,,,
_169781377,,,,,,,,,,,,,u,_616978137817,,,,,
_1697813777,TWO ROSE BOUQUET,21015,21015,,,,a,601 34 007,Each,1.00,,,u,_616978137770,Master,4.90,0.00,1900-01-01,2075-12-31
_1697813777,,,,,,,,,,,,,u,_655504106996,,,,,
_1697813777,,,,,,,,,,,,,u,_679432007026,,,,,
_1697813777,,,,,,,,,,,,,u,_829691000027,,,,,
