ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_034100000073,MILLER HL 6PK 16z CN,13482,13482,,,,a,401 01B 000,Case,24.00,,,u,_034100000073,Master,20.39,0.00,2018-04-10,2075-12-31
_034100000073,,,,,,,,,,,,,u,_034100013073,,,,,
_034100001735,HAMMS 6PK 16z CN,1084246,1084246,,,,a,401 01B 000,Case,24.00,,,u,_034100001735,Master,14.40,0.00,2018-04-10,2075-12-31
_034100001858,MICKEYS 40z LN,16595,16595,,,,a,401 01J 000,Case,12.00,,,u,_034100001858,Master,22.31,0.00,2018-04-10,2075-12-31
_034100001858,,,,,,,,,,,,,u,_034100774349,,,,,
_034100001858,,,,,,,,,,,,,u,_073360442018,,,,,
_034100001858,,,,,,,,,,,,,u,_073360449017,,,,,
_034100003234,REDDS WICKED ALE 24z CN,1056698,1056698,,,,a,401 01J 000,Case,12.00,,,u,_034100003234,Master,26.56,0.00,2018-04-10,2075-12-31
_034100003548,MILLER LT 6PK 12z CN.,14094,14094,,,,a,401 01B 000,Case,24.00,,,u,_034100003340,Master,24.44,0.00,2018-04-10,2075-12-31
_034100003548,,,,,,,,,,,,,u,_034100003548,,,,,
_034100003548,,,,,,,,,,,,,u,_034100573041,,,,,
_034100003555,MILLER LT 24z CN,38387,38387,,,,a,401 01J 000,Case,12.00,,,u,_034100003555,Master,20.76,0.00,2018-04-10,2075-12-31
_034100003555,,,,,,,,,,,,,u,_034100573461,,,,,
_034100003579,MILLER LT 6PK 16z CN,13487,13487,,,,a,401 01B 000,Case,24.00,,,u,_034100003579,Master,26.56,0.00,2018-04-10,2075-12-31
_034100003579,,,,,,,,,,,,,u,_034100573072,,,,,
_034100003760,MILLER LT 16z ALUM (LOOSE),183796,183796,,,,a,401 01J 000,Case,15.00,,,u,_034100003760,Master,26.63,0.00,2018-04-10,2075-12-31
_034100006228,OLD ENGLISH 800 42z LN,23073,23073,,,,a,401 01J 000,Case,12.00,,,u,_022100143920,Master,25.53,0.00,2018-04-10,2075-12-31
_034100006228,,,,,,,,,,,,,u,_034100000455,,,,,
_034100006228,,,,,,,,,,,,,u,_034100006228,,,,,
_034100006228,,,,,,,,,,,,,u,_034100006389,,,,,
_034100006228,,,,,,,,,,,,,u,_034100062217,,,,,
_034100007683,ICEHOUSE EDGE 24z CN,1051056,1051056,,,,a,401 01J 000,Case,12.00,,,u,_034100007683,Master,18.92,0.00,2018-04-10,2075-12-31
_034100007683,,,,,,,,,,,,,u,_034100626396,,,,,
_034100008536,ICEHOUSE EDGE 42z CN,1087343,1087343,,,,a,401 01J 000 Single,Case,12.00,,,u,_034100008536,Master,18.92,0.00,2018-04-10,2075-12-31
_034100008802,ICEHOUSE 24z CN,38006,38006,,,,a,401 01J 000,Case,12.00,,,u,_034100008802,Master,18.92,0.00,2018-04-10,2075-12-31
_034100008802,,,,,,,,,,,,,u,_034100623463,,,,,
_034100015053,MILLER HL 6PK 12z LN,13480,13480,,,,a,401 01B 000,Case,24.00,,,u,_034100000219,Master,19.62,0.00,2018-04-10,2075-12-31
_034100015053,,,,,,,,,,,,,u,_034100012052,,,,,
_034100015053,,,,,,,,,,,,,u,_034100015053,,,,,
_034100087166,REDDS APPLE ALE 6PK 12z LN,1052617,1052617,,,,a,401 01B 000,Case,24.00,,,u,_034100087166,Master,29.55,0.00,2018-04-10,2075-12-31
_034100087463,REDDS BLUEBERRY 6PK 12z LN,1064593,1064593,,,,a,401 01B 000,Case,24.00,,,u,_034100087463,Master,29.55,0.00,2018-04-10,2075-12-31
_034100570231,MILLER LT 9PK 16z ALUM,178825,178825,,,,a,401 01O 000,Case,18.00,,,u,_034100570224,Master,21.67,0.00,2018-04-10,2075-12-31
