ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_181700000009,12 CANADIAN NIGHTCRAWLERS 8Z,180559,180559,,,,a,601 34 016,Each,1.00,,,u,_181700000009,Master,1.75,0.00,2013-11-04,2075-12-31
_836115000013,SINGLE ROSE,17147,17147,,,,a,601 34 007,Each,1.00,,,u,_028030210268,Master,2.00,0.00,1900-01-01,2075-12-31
_836115000013,,,,,,,,,,,,,u,_033383974750,,,,,
_836115000013,,,,,,,,,,,,,u,_033383979212,,,,,
_836115000013,,,,,,,,,,,,,u,_041163002401,,,,,
_836115000013,,,,,,,,,,,,,u,_094922764119,,,,,
_836115000013,,,,,,,,,,,,,u,_101210121681,,,,,
_836115000013,,,,,,,,,,,,,u,_616978127771,,,,,
_836115000013,,,,,,,,,,,,,u,_616978127795,,,,,
_836115000013,,,,,,,,,,,,,u,_655504003295,,,,,
_836115000013,,,,,,,,,,,,,u,_663413010013,,,,,
_836115000013,,,,,,,,,,,,,u,_679432007019,,,,,
_836115000013,,,,,,,,,,,,,u,_785385100049,,,,,
_836115000013,,,,,,,,,,,,,u,_798304035308,,,,,
_836115000013,,,,,,,,,,,,,u,_829691000010,,,,,
_836115000013,,,,,,,,,,,,,u,_832972001019,,,,,
_836115000013,,,,,,,,,,,,,u,_836115000013,,,,,
_836115000013,,,,,,,,,,,,,u,_836115000068,,,,,
_836115000013,,,,,,,,,,,,,u,_837654206003,,,,,
_836115000013,,,,,,,,,,,,,u,_855205001006,,,,,
_836115000013,,,,,,,,,,,,,u,_973700502092,,,,,
_837654206010,DOUBLE ROSE,21249,21249,,,,a,601 34 007,Each,1.00,,,u,_836115000020,Master,3.50,0.00,1900-01-01,2075-12-31
_837654206010,,,,,,,,,,,,,u,_837654206010,,,,,
_837654206027,SMALL MIXED BOUQUET,17148,17148,,,,a,601 34 007,Each,1.00,,,u,_041163000179,Master,4.20,0.00,1900-01-01,2075-12-31
_837654206027,,,,,,,,,,,,,u,_616978157778,,,,,
_837654206027,,,,,,,,,,,,,u,_616978158775,,,,,
_837654206027,,,,,,,,,,,,,u,_655504006999,,,,,
_837654206027,,,,,,,,,,,,,u,_663413030011,,,,,
_837654206027,,,,,,,,,,,,,u,_679432007040,,,,,
_837654206027,,,,,,,,,,,,,u,_829691100031,,,,,
_837654206027,,,,,,,,,,,,,u,_832972001156,,,,,
_837654206027,,,,,,,,,,,,,u,_836115000037,,,,,
_837654206027,,,,,,,,,,,,,u,_836115000082,,,,,
_837654206027,,,,,,,,,,,,,u,_837654206027,,,,,
_837654206027,,,,,,,,,,,,,u,_855205001013,,,,,
_837654206034,5PK FLOWER - HOLIDAY,180871,180871,,,,a,601 34 007,Each,1.00,,,u,_655504011993,Master,7.50,0.00,1900-01-01,2075-12-31
_837654206034,,,,,,,,,,,,,u,_837654206034,,,,,
_837654206041,BALLOON,39936,39936,,,,a,601 34 007,Each,1.00,,,u,_663413070000,Master,1.00,0.00,1900-01-01,2075-12-31
_837654206041,,,,,,,,,,,,,u,_837654206041,,,,,
_837654206048,FRESH FRUIT,98551,98551,,,,a,201 05 000,Each,1.00,,,u,_836115000259,Master,0.69,0.00,2013-11-04,2075-12-31
_837654206048,,,,,,,,,,,,,u,_837654206058,,,,,
