ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_025600000489,TASTYKAKE DREAMIES CREME KAKE 10ct,1063696,1063696,,,,a,601 05 000,Each,1.00,,,u,_025600000489,Master,3.39,0.00,1900-01-01,2075-12-31
_025600002032,TASTYKAKE COCONUT JR 13.33z,1063666,1063666,,,,a,601 05 000,Each,1.00,,,u,_025600002032,Master,3.39,0.00,1900-01-01,2075-12-31
_025600002193,TASTYKAKE CHOC CUPCAKES FAM PK 12.75z,1063672,1063672,,,,a,601 05 000,Each,1.00,,,u,_025600002193,Master,3.39,0.00,1900-01-01,2075-12-31
_025600002230,TASTYKAKE CUPCAKES CHOC FAM PK 14.25z,1063659,1063659,,,,a,601 05 000,Each,1.00,,,u,_025600002230,Master,3.39,0.00,1900-01-01,2075-12-31
_025600002247,TASTYKAKE KOFFEE KAKES FAM PK 12.75z,1063675,1063675,,,,a,601 05 000,Each,1.00,,,u,_025600002247,Master,3.39,0.00,1900-01-01,2075-12-31
_025600002278,TASTYKAKE KRIMPETS BUTTERSCOTCH FAM PK 12z,1063673,1063673,,,,a,601 05 000,Each,1.00,,,u,_025600002278,Master,3.39,0.00,1900-01-01,2075-12-31
_025600002285,TASTYKAKE KRIMPETS JELLY FAM PK 12z,1063665,1063665,,,,a,601 05 000,Each,1.00,,,u,_025600002285,Master,3.39,0.00,1900-01-01,2075-12-31
_025600002308,TASTYKAKE BUTTERCREAM CUPCAKES FAM PK 14.25z,1063674,1063674,,,,a,601 05 000,Each,1.00,,,u,_025600002308,Master,3.39,0.00,1900-01-01,2075-12-31
_025600002315,TASTYKAKE KOFFEE KAKE JR FAM PK 12z,1063664,1063664,,,,a,601 05 000,Each,1.00,,,u,_025600002315,Master,3.39,0.00,1900-01-01,2075-12-31
_025600002582,TASTYKAKE BAN KREME KANDY KAKES FAM PK,1063714,1063714,,,,a,601 05 000,Each,1.00,,,u,_025600002582,Master,3.39,0.00,1900-01-01,2075-12-31
_025600002988,TASTYKAKE GLAZED HNY BUN 2.75z,1063684,1063684,,,,a,601 05 000,Each,1.00,,,u,_025600002988,Master,0.40,0.00,1900-01-01,2075-12-31
_025600003114,TASTYKAKE VAN SHRTBRD HOLIDAY COOKIES 14z,1063668,1063668,,,,a,601 05 000,Each,1.00,,,u,_025600003114,Master,3.74,0.00,1900-01-01,2075-12-31
