ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_034100006723,MILW BEST 32z,37001078,37001078,,,,a,Default,Case,12.00,,,u,_034100006723,Master,17.15,0.00,1900-01-01,2075-12-31
_034100008567,REDDS WICKED LEMONADE 24Z CN,1087852,1087852,,,,a,Default,Case,12.00,,,u,_034100008567,Master,24.75,0.00,1900-01-01,2075-12-31
_063791001335,WYDERS PEAR CIDER 6PK 12Z LN,37003187,37003187,,,,a,Default,Case,24.00,,,u,_063791001335,Master,29.50,0.00,1900-01-01,2075-12-31
_072311170154,DOS EQUIS LAGR 24z LN,1087346,1087346,,,,a,Default,Case,12.00,,,u,_072311170154,Master,26.00,0.00,1900-01-01,2075-12-31
_082000786290,SMIRNOFF SMASHED PINEAPPLE COCONUT 24Z CN,37001013,37001013,,,,a,Default,Case,12.00,,,u,_082000786290,Master,25.90,0.00,1900-01-01,2075-12-31
_085777500700,SAINT ARCHER IPA 19.2Z CN,37003189,37003189,,,,a,Default,Case,24.00,,,u,_085777500700,Master,41.80,0.00,2019-07-01,2075-12-31
_089826900244,TECATE LT 20PK 7Z LN,37003186,37003186,,,,a,Default,Case,20.00,,,u,_089826900244,Master,12.00,0.00,1900-01-01,2075-12-31
_849806001176,FOUR LOKO GOLD 14 ABV 24z CN,1081906,1081906,,,,a,Default,Case,12.00,,,u,_849806001176,Master,26.00,0.00,1900-01-01,2075-12-31
_852036006019,DRAGOON IPA 4P 16Z CN,37003030,37003030,,,,a,Default,Case,24.00,,,u,_852036006019,Master,54.00,0.00,1900-01-01,2075-12-31
