ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_3611500051,TWO ROSE BOUQUET,21015,21015,,,,a,601 34 007,Each,1.00,,,u,_616978137770,Master,4.75,0.00,2013-04-15,2075-12-31
_3611500051,,,,,,,,,,,,,u,_655504106996,,,,,
_3611500051,,,,,,,,,,,,,u,_679432007026,,,,,
_3611500051,,,,,,,,,,,,,u,_829691000027,,,,,
_3611500051,,,,,,,,,,,,,u,_829691100024,,,,,
_3611500051,,,,,,,,,,,,,u,_832972001026,,,,,
_3611500051,,,,,,,,,,,,,u,_836115000518,,,,,
_3611500051,,,,,,,,,,,,,u,_836115000563,,,,,
_655504119996,EVERY DAY DOZEN,186199,186199,,,,a,601 34 007,Each,1.00,,,u,_655504119996,Master,17.50,0.00,1900-01-01,2075-12-31
_655504119996,,,,,,,,,,,,,u,_836115000105,,,,,
_689076419420,JONNY CINN COATED ALMNDS 6z,175869,175869,,,,a,201 05 002,Each,1.00,,,u,_689076419420,Master,2.00,0.00,1900-01-01,2075-12-31
_689076419420,,,,,,,,,,,,,u,_818224010008,,,,,
_689076419420,,,,,,,,,,,,,u,_818224010275,,,,,
_829691000447,FOUR ROSE BOUQUET - HOLIDAY,140040,140040,,,,a,601 34 007,Each,1.00,,,u,_829691000447,Master,7.50,0.00,1900-01-01,2075-12-31
_829691000447,,,,,,,,,,,,,u,_836115000303,,,,,
_832972001095,HALF DOZEN ROSES-HOLIDAY,175247,175247,,,,a,601 34 007,Each,1.00,,,u,_679432007187,Master,10.20,0.00,1900-01-01,2075-12-31
_832972001095,,,,,,,,,,,,,u,_829691666667,,,,,
_832972001095,,,,,,,,,,,,,u,_832972001361,,,,,
_832972001095,,,,,,,,,,,,,u,_836115000112,,,,,
_836115000013,SINGLE ROSE,17147,17147,,,,a,601 34 007,Each,1.00,,,u,_028030210268,Master,2.00,0.00,2013-04-15,2075-12-31
_836115000013,,,,,,,,,,,,,u,_033383974750,,,,,
_836115000013,,,,,,,,,,,,,u,_033383979212,,,,,
_836115000013,,,,,,,,,,,,,u,_041163002401,,,,,
_836115000013,,,,,,,,,,,,,u,_094922764119,,,,,
_836115000013,,,,,,,,,,,,,u,_101210121681,,,,,
_836115000013,,,,,,,,,,,,,u,_616978127771,,,,,
_836115000013,,,,,,,,,,,,,u,_616978127795,,,,,
_836115000013,,,,,,,,,,,,,u,_655504003295,,,,,
_836115000013,,,,,,,,,,,,,u,_663413010013,,,,,
_836115000013,,,,,,,,,,,,,u,_679432007019,,,,,
_836115000013,,,,,,,,,,,,,u,_785385100049,,,,,
_836115000013,,,,,,,,,,,,,u,_798304035308,,,,,
_836115000013,,,,,,,,,,,,,u,_829691000010,,,,,
_836115000013,,,,,,,,,,,,,u,_832972001019,,,,,
_836115000013,,,,,,,,,,,,,u,_836115000013,,,,,
_836115000013,,,,,,,,,,,,,u,_836115000068,,,,,
_836115000013,,,,,,,,,,,,,u,_837654206003,,,,,
_836115000013,,,,,,,,,,,,,u,_855205001006,,,,,
_836115000013,,,,,,,,,,,,,u,_973700502092,,,,,
_836115000020,DOUBLE ROSE,21249,21249,,,,a,601 34 007,Each,1.00,,,u,_836115000020,Master,3.50,0.00,2012-04-11,2075-12-31
_836115000020,,,,,,,,,,,,,u,_837654206010,,,,,
_836115000037,SMALL MIXED BOUQUET,17148,17148,,,,a,601 34 007,Each,1.00,,,u,_041163000179,Master,4.20,0.00,2013-04-15,2075-12-31
_836115000037,,,,,,,,,,,,,u,_616978157778,,,,,
_836115000037,,,,,,,,,,,,,u,_616978158775,,,,,
_836115000037,,,,,,,,,,,,,u,_655504006999,,,,,
_836115000037,,,,,,,,,,,,,u,_663413030011,,,,,
_836115000037,,,,,,,,,,,,,u,_679432007040,,,,,
_836115000037,,,,,,,,,,,,,u,_829691100031,,,,,
_836115000037,,,,,,,,,,,,,u,_832972001156,,,,,
_836115000037,,,,,,,,,,,,,u,_836115000037,,,,,
_836115000037,,,,,,,,,,,,,u,_836115000082,,,,,
_836115000037,,,,,,,,,,,,,u,_837654206027,,,,,
_836115000037,,,,,,,,,,,,,u,_855205001013,,,,,
_836115000044,HALF DOZEN ROSES,158809,158809,,,,a,601 34 007,Each,1.00,,,u,_033383974811,Master,9.00,0.00,2012-04-11,2075-12-31
_836115000044,,,,,,,,,,,,,u,_616978147779,,,,,
_836115000044,,,,,,,,,,,,,u,_679432007064,,,,,
_836115000044,,,,,,,,,,,,,u,_829691100062,,,,,
_836115000044,,,,,,,,,,,,,u,_832972001149,,,,,
_836115000044,,,,,,,,,,,,,u,_836115000044,,,,,
_836115000044,,,,,,,,,,,,,u,_836115000297,,,,,
_836115000044,,,,,,,,,,,,,u,_855205001044,,,,,
_836115000051,ROSE BUD VASE,79319,79319,,,,a,601 34 007,Each,1.00,,,u,_616978167777,Master,7.00,0.00,2018-04-20,2075-12-31
_836115000051,,,,,,,,,,,,,u,_616978167784,,,,,
_836115000051,,,,,,,,,,,,,u,_616978168880,,,,,
_836115000051,,,,,,,,,,,,,u,_655504109997,,,,,
_836115000051,,,,,,,,,,,,,u,_832972001057,,,,,
_836115000051,,,,,,,,,,,,,u,_836115000051,,,,,
_836115000136,CONSUMER BUNCH,1076538,1076538,,,,a,Default,Each,1.00,,,u,_836115000136,Master,7.00,0.00,1900-01-01,2075-12-31
_836115000143,LARGE BOUQUET,1076539,1076539,,,,a,601 34 007,Each,1.00,,,u,_836115000143,Master,11.50,0.00,1900-01-01,2075-12-31
_83611500022,NIGHTCRAWLERS 1 DOZ,38810,38810,,,,a,601 34 016,Each,1.00,,,u,_638655101294,Master,2.00,0.00,2016-04-12,2075-12-31
_83611500022,,,,,,,,,,,,,u,_836115000211,,,,,
_836115000259,FRESH FRUIT,98551,98551,,,,a,201 05 000,Each,1.00,,,u,_836115000259,Master,0.60,0.00,2008-10-06,2075-12-31
_836115000259,,,,,,,,,,,,,u,_837654206058,,,,,
_836115000549,ROSE W/BEAR,74572,74572,,,,a,601 34 007,Each,1.00,,,u,_616978155552,Master,4.75,0.00,2013-02-10,2075-12-31
_836115000549,,,,,,,,,,,,,u,_616978155569,,,,,
_836115000549,,,,,,,,,,,,,u,_655504004995,,,,,
_836115000549,,,,,,,,,,,,,u,_663413170007,,,,,
_836115000549,,,,,,,,,,,,,u,_679432008016,,,,,
_836115000549,,,,,,,,,,,,,u,_679432008023,,,,,
_836115000549,,,,,,,,,,,,,u,_832972001170,,,,,
_836115000549,,,,,,,,,,,,,u,_836115000549,,,,,
_836115000617,DELUXE ROSE,1087523,1087523,,,,a,601 34 007,Each,1.00,,,u,_836115000617,Master,3.50,0.00,1900-01-01,2075-12-31
_836115000624,3 ROSE BOUQUET,1087525,1087525,,,,a,601 34 007,Each,1.00,,,u,_836115000624,Master,7.00,0.00,1900-01-01,2075-12-31
