ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_028400003582,FL XL SMARTFOOD MV THTR BTR,X1-1062126,1062126,,,,a,601 04A 100,Each,1.00,,,u,_028400003582,Master,2.94,0.00,1900-01-01,2075-12-31
_028400003582,,,,,,,,,,,,,u,_028400639774,,,,,
_028400003605,FL SVLR CHEETOS JUMBO PUFFS HOT 1z,1064217,1064217,,,,a,601 04A 110,Each,1.00,,,u,_028400003605,Master,0.37,0.00,1900-01-01,2075-12-31
_028400003773,FL SVLR FUNYUNS FLAMIN' HOT 0.875z,1064229,1064229,,,,a,601 04A 135,Each,1.00,,,u,_028400003773,Master,0.37,0.00,1900-01-01,2075-12-31
_028400036337,FL XXL TOSTITOS MULTIGRAIN SCOOPS,1062121,1062121,,,,a,601 04A 115,Each,1.00,,,u,_028400036337,Master,3.16,0.00,1900-01-01,2075-12-31
_028400067133,FL SVLR MUNCHOS REGULAR 1z,1064227,1064227,,,,a,601 04A 100,Each,1.00,,,u,_028400067133,Master,0.37,0.00,1900-01-01,2075-12-31
_028400083140,TOSTITOS SCOOPS FAMILY,32003219,32003219,,,,a,601 04A 100,Each,1.00,,,u,_028400083140,Master,3.89,0.00,1900-01-01,2075-12-31
_028400087612,FL SVLR CHEETOS JUMBO PUFFS 1z,1064218,1064218,,,,a,601 04A 110,Each,1.00,,,u,_028400087612,Master,0.37,0.00,1900-01-01,2075-12-31
_028400087698,FL SVLR CHESTERS HOT FRIES 1.125z,1064228,1064228,,,,a,601 04A 110,Each,1.00,,,u,_028400087698,Master,0.37,0.00,1900-01-01,2075-12-31
_028400105576,FL XXVL LAYS FIERY HABANERO,1098988,1098988,,,,a,601 04A 125,Each,1.00,,,u,_028400105576,Master,1.32,0.00,1900-01-01,2075-12-31
_028400106207,FL XL LAYS FIERY HABANERO,1099008,1099008,,,,a,601 04A 125,Each,1.00,,,u,_028400106207,Master,2.57,0.00,1900-01-01,2075-12-31
_028400153317,FL XXVL OTEP CHICKPEAS SEA SALT,1088077,1088077,,,,a,601 04A 100,Each,1.00,,,u,_028400153317,Master,1.29,0.00,1900-01-01,2075-12-31
_028400159074,FL XXL FRITOS SCOOPS SPICY JALAPENO,1099004,1099004,,,,a,601 04A 100,Each,1.00,,,u,_028400159074,Master,2.78,0.00,1900-01-01,2075-12-31
_028400161848,FL SVLR FRITOS TWISTS HONEY BBQ 1.125z,1064241,1064241,,,,a,601 04A 100,Each,1.00,,,u,_028400161848,Master,0.37,0.00,1900-01-01,2075-12-31
_028400161893,FL SVLR LAYS BBQ 1.125z,1064214,1064214,,,,a,601 04A 125,Each,1.00,,,u,_028400161893,Master,0.37,0.00,1900-01-01,2075-12-31
_028400161909,FL SVLR LAYS CLASSIC 1.125z,1064215,1064215,,,,a,601 04A 125,Each,1.00,,,u,_028400161909,Master,0.37,0.00,1900-01-01,2075-12-31
_028400161916,FL SVLR LAYS SWEET HEAT 1.125z,1064213,1064213,,,,a,601 04A 125,Each,1.00,,,u,_028400161916,Master,0.37,0.00,1900-01-01,2075-12-31
_028400161985,FL SVLR LAYS SOUR CREAM & ONION 1.125z,1064212,1064212,,,,a,601 04A 125,Each,1.00,,,u,_028400161985,Master,0.37,0.00,1900-01-01,2075-12-31
_028400161992,FL SVLR LAYS SALT & VINEGAR 1.125z,1064216,1064216,,,,a,601 04A 125,Each,1.00,,,u,_028400161992,Master,0.37,0.00,1900-01-01,2075-12-31
_028400162012,FL SVLR RUFFLES CHEDDAR & SOUR CREAM 1.125z,1064220,1064220,,,,a,601 04A 140,Each,1.00,,,u,_028400162012,Master,0.37,0.00,1900-01-01,2075-12-31
_028400162081,FL SVLR DORITOS NACHO 1.125z,1064224,1064224,,,,a,601 04A 105,Each,1.00,,,u,_028400162081,Master,0.37,0.00,1900-01-01,2075-12-31
_028400162098,FL SVLR DORITOS SPICY NACHO 1.125z,1064225,1064225,,,,a,601 04A 105,Each,1.00,,,u,_028400162098,Master,0.37,0.00,1900-01-01,2075-12-31
_028400162159,FL SVLR DORITOS SWEET CHILI 1.125z,1064226,1064226,,,,a,601 04A 105,Each,1.00,,,u,_028400162159,Master,0.37,0.00,1900-01-01,2075-12-31
_028400165679,FL SVLR CHESTERS HOT POPCORN 1.125z,1064219,1064219,,,,a,601 04A 110,Each,1.00,,,u,_028400165679,Master,0.37,0.00,1900-01-01,2075-12-31
_028400170772,FL XL LAYS POPPABLES CREAMY JALAPENO,1099007,1099007,,,,a,601 04A 125,Each,1.00,,,u,_028400170772,Master,2.57,0.00,1900-01-01,2075-12-31
_028400171816,FL XXL SIMPLY CHEETOS CRNCHY WHT CHDR,1098991,1098991,,,,a,601 04A 110,Each,1.00,,,u,_028400171816,Master,2.79,0.00,1900-01-01,2075-12-31
_028400171915,FL XXVL SIMPLY CHEETOS CRNCHY WHT CHDR,1098970,1098970,,,,a,601 04A 110,Each,1.00,,,u,_028400171915,Master,1.32,0.00,1900-01-01,2075-12-31
_028400177412,FL XL SUNPUFFS FOUR CHEESE,1098990,1098990,,,,a,601 04A 100,Each,1.00,,,u,_028400177412,Master,2.42,0.00,1900-01-01,2075-12-31
_028400178259,FL XL ROLD GOLD THIN CRISPS ORIGINAL,1098994,1098994,,,,a,601 04A 130,Each,1.00,,,u,_028400178259,Master,2.33,0.00,1900-01-01,2075-12-31
_028400179744,FL XXL LAYS CHEDDAR & SOUR CREAM,1088144,1088144,,,,a,601 04A 125,Each,1.00,,,u,_028400179744,Master,3.89,0.00,1900-01-01,2075-12-31
_028400186858,FL XXL TOSTITOS RSTC LIGHTLY SALTED,1098979,1098979,,,,a,601 04A 115,Each,1.00,,,u,_028400186858,Master,3.16,0.00,1900-01-01,2075-12-31
_028400191555,FL XXVL LAYS POPPABLES CREAMY JALAPENO,1098982,1098982,,,,a,601 04A 125,Each,1.00,,,u,_028400191555,Master,1.32,0.00,1900-01-01,2075-12-31
_028400194761,FL XXL CHEETOS WHITE CHEDDAR BITES,1099009,1099009,,,,a,601 04A 110,Each,1.00,,,u,_028400194761,Master,2.78,0.00,1900-01-01,2075-12-31
_028400197939,FL XXVL BAKED RUFFLES CHDDR & SOUR CRM,1098985,1098985,,,,a,601 04A 140,Each,1.00,,,u,_028400197939,Master,1.32,0.00,1900-01-01,2075-12-31
_028400198110,FL XXVL CHEETOS WHITE CHEDDAR BITES,1098972,1098972,,,,a,601 04A 110,Each,1.00,,,u,_028400198110,Master,1.32,0.00,1900-01-01,2075-12-31
_028400206631,FL XL LAYS WAVY SALT & PEPPER,1099006,1099006,,,,a,601 04A 125,Each,1.00,,,u,_028400206631,Master,2.57,0.00,1900-01-01,2075-12-31
_028400209427,FL XXL RUFFLES DBL CRNCH ZSTY CHEDDAR,1098977,1098977,,,,a,601 04A 140,Each,1.00,,,u,_028400209427,Master,3.16,0.00,1900-01-01,2075-12-31
_028400209731,FL XXVL RUFFLES DBL CRNCH ZSTY CHEDDAR,1098967,1098967,,,,a,601 04A 140,Each,1.00,,,u,_028400209731,Master,1.32,0.00,1900-01-01,2075-12-31
_028400209755,FL XXL RUFFLES DBL CRNCH HOT WINGS,1098978,1098978,,,,a,601 04A 140,Each,1.00,,,u,_028400209755,Master,3.16,0.00,1900-01-01,2075-12-31
_028400209779,FL XXVL RUFFLES DBL CRNCH HOT WINGS,1098969,1098969,,,,a,601 04A 140,Each,1.00,,,u,_028400209779,Master,1.32,0.00,1900-01-01,2075-12-31
_028400211222,FL LVL DORITOS FLVR SHTS NACHO CHEESE NUTS,1099018,1099018,,,,a,601 04A 105,Each,1.00,,,u,_028400211222,Master,0.83,0.00,1900-01-01,2075-12-31
_028400211307,FL LVL DORITOS FLVR SHTS FLAMIN' HOT NACHO NUTS,1099020,1099020,,,,a,601 04A 105,Each,1.00,,,u,_028400211307,Master,0.83,0.00,1900-01-01,2075-12-31
_028400211772,FL LVL CHEETOS FLVR SHTS FLAMIN' HOT ASTRDS,1099010,1099010,,,,a,601 04A 110,Each,1.00,,,u,_028400211772,Master,0.83,0.00,1900-01-01,2075-12-31
_028400211857,FL LVL DORITOS FLVR SHTS FRY HBNRO 3D TRNGLE,1099012,1099012,,,,a,601 04A 105,Each,1.00,,,u,_028400211857,Master,0.83,0.00,1900-01-01,2075-12-31
_028400212151,FL LVL DORITOS FLVR SHTS NACHO CHEESE NUTS 8CT,1099021,1099021,,,,a,601 04A 105,Each,1.00,,,u,_028400212151,Master,0.83,0.00,1900-01-01,2075-12-31
_028400212168,FL LVL DORITOS FLVR SHTS FLAMIN' HOT NCHO NUTS 8CT,1099022,1099022,,,,a,601 04A 105,Each,1.00,,,u,_028400212168,Master,0.83,0.00,1900-01-01,2075-12-31
_028400212175,FL LVL DORITOS FLVR SHTS FRY HBNRO 3D TRNGLE 6CT,1099016,1099016,,,,a,601 04A 105,Each,1.00,,,u,_028400212175,Master,0.83,0.00,1900-01-01,2075-12-31
_028400212182,FL LVL CHEETOS FLVR SHTS FLAMIN' HOT ASTEROIDS 6CT,1099013,1099013,,,,a,601 04A 110,Each,1.00,,,u,_028400212182,Master,0.83,0.00,1900-01-01,2075-12-31
_028400231862,FL RUFFLES DIP BUFFALO RANCH,1062135,1062135,,,,a,601 04A 411,Each,1.00,,,u,_028400231862,Master,2.72,0.00,1900-01-01,2075-12-31
_028400242745,FL XL LAYS KTL LATTICE CUT CHR & BLK PEPR,1062112,1062112,,,,a,601 04A 125,Each,1.00,,,u,_028400242745,Master,2.57,0.00,1900-01-01,2075-12-31
_028400333948,SIMPLY ORGANIC TOSTITOS SCOOPS 8z,32003261,32003261,,,,a,601 04A 115,Each,1.00,,,u,_028400333948,Master,2.79,0.00,1900-01-01,2075-12-31
_028400337281,FRITO SCOOPS 18z,32003264,32003264,,,,a,601 04A 100,Each,1.00,,,u,_028400337281,Master,3.89,0.00,1900-01-01,2075-12-31
_028400589239,RUSTIC BLUE CORN 8.25z,32003288,32003288,,,,a,601 04A 100,Each,1.00,,,u,_028400589239,Master,2.79,0.00,1900-01-01,2075-12-31
_028400603263,TOSTITOS SALSA VERDE 7.625z,32003294,32003294,,,,a,601 04A 115,Each,1.00,,,u,_028400603263,Master,2.20,0.00,1900-01-01,2075-12-31
_028400644761,LAYS SOUR CREAM AND ONION 14.75z,32003315,32003315,,,,a,601 04A 125,Each,1.00,,,u,_028400644761,Master,3.89,0.00,1900-01-01,2075-12-31
_028400922906,TOSTITOS MANGO SALSA 15.5z,32003323,32003323,,,,a,601 04A 410,Each,1.00,,,u,_028400922906,Master,2.63,0.00,1900-01-01,2075-12-31
_2840000003,FL DIP TOSTITOS CHZ,156635,156635,,,,a,601 04A 411,Each,1.00,,,u,_028400000031,Master,0.84,0.00,2009-02-10,2075-12-31
_2840000011,ROLD GOLD PRETZEL DPPR FDG BRWN SS 6CT 1.57z,1065987,1065987,,,,a,601 04A 130,Each,1.00,,,u,_028400000116,Master,0.95,0.00,1900-01-01,2075-12-31
