ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_0000000,OPEN RECEIVING 401,36029998,36029998,,,,a,Default,Each,1.00,,,,,Master,1.00,0.00,1900-01-01,2075-12-31
_0000000,,,,,,,,,,,,,,,Chicagoland,1.00,0.00,1900-01-01,2075-12-31
_288734,i/aMIXED FRUIT CUP,173719,173719,,,,a,221 01 100,Each,1.00,,,,,Master,2.00,0.00,1900-01-01,2075-12-31
_30299,SMOM BANANAS,30299,30299,,,,a,201 05 000,Each,1.00,,,,,Master,0.48,0.00,1900-01-01,2075-12-31
_3611500026,FRESH FLOWER FRUIT 2FOR,119798,119798,,,,a,201 05 000,Each,1.00,,,,,Master,0.48,0.00,1900-01-01,2075-12-31
_42711,SMOM APPLE,42711,42711,,,,a,201 05 000,Each,1.00,,,,,Master,0.48,0.00,1900-01-01,2075-12-31
_84678,ORANGES,84678,84678,,,,a,201 05 000,Each,1.00,,,,,Master,0.48,0.00,1900-01-01,2075-12-31
_9175742,FRUIT & MORE FRUIT,175742,175742,,,,a,201 05 000,Each,1.00,,,,,Master,0.69,0.00,2013-11-04,2075-12-31
_9175742,,,,,,,,,,,,,,,Chicagoland,0.69,0.00,1900-01-01,2075-12-31
_9175742-2,FRUIT & MORE FRUIT,175742-2,175742,,,*UNAVAILABLE*,a,201 05 000,Each,1.00,,,,,Master,0.69,0.00,2013-11-04,2075-12-31
