ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_011300700,ARIZONA GRN TEA GNSNG HNY 20z,47470,47470,,,,a,601 14 000,Case,12.00,,,u,_073360710162,Master,9.95,0.00,1900-01-01,2075-12-31
_014974130021,WOODCHUCK GUMPTION 6PK 12z LN,1077173,1077173,,,,a,Default,Case,24.00,,,u,_014974130021,Master,29.50,0.00,1900-01-01,2075-12-31
_014974131660,WOODCHUCK GUMPTION 16z CN,1077174,1077174,,,,a,Default,Case,24.00,,,u,_014974131660,Master,31.00,0.00,1900-01-01,2075-12-31
_022100000049,PABST 24z CN,154543,154543,,,,a,401 01J 000,Case,12.00,,,u,_022100000049,Master,18.00,0.00,1900-01-01,2075-12-31
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,
_022100112193,PABST 30PK 12z CN,119178,119178,,,,a,401 01I 000,Case,30.00,,,u,_022100112193,Master,16.45,0.00,1900-01-01,2075-12-31
_033544950210,CERVEZAS CLASICO 12PK 12z LN,1077169,1077169,,,,a,401 01D 000,Case,24.00,,,u,_033544950210,Master,24.50,0.00,2015-11-18,2075-12-31
_033544950227,PACIFICO 24z CN,1077148,1077148,,,,a,401 01J 000,Case,12.00,,,u,_033544950227,Master,23.50,0.00,2015-11-18,2075-12-31
_033544950418,CORONA PREMIER 6PK 12z LN,1083425,1083425,,,,a,401 01B 000,Case,24.00,,,u,_033544950418,Master,26.00,0.00,1900-01-01,2075-12-31
_033544950470,CORONA PREMIER 24z CN,1085682,1085682,,,,a,401 01J 000,Case,12.00,,,u,_033544950470,Master,23.50,0.00,1900-01-01,2075-12-31
_033544950517,CORONA FAMILIAR 6PK 12z LN,1083422,1083422,,,,a,401 01B 000,Case,24.00,,,u,_033544850510,Master,26.00,0.00,1900-01-01,2075-12-31
_033544950517,,,,,,,,,,,,,u,_033544950517,,,,,
_033544950531,CORONA FAMILIAR 12PK 12z LN,1084974,1084974,,,,a,401 01D 000,Case,24.00,,,u,_033544950531,Master,25.00,0.00,1900-01-01,2075-12-31
_033544950906,MODELO 32Z LN,1097751,1097751,,,,a,401 01J 000,Case,12.00,,,u,_033544950906,Master,35.50,0.00,1900-01-01,2075-12-31
_033544950906,,,,,,,,,,,,,u,_335449509068,,,,,
_034100000059,MILLER HL 24z CN,89317,89317,,,,a,401 01J 000,Case,12.00,,,u,_034100000059,Master,16.70,0.00,2015-09-28,2075-12-31
_034100000059,,,,,,,,,,,,,u,_034100013462,,,,,
_034100000097,MILLER HL 40z LN,13483,13483,,,,a,401 01J 000,Case,12.00,,,u,_034100000097,Master,22.05,0.00,2010-02-08,2075-12-31
_034100000097,,,,,,,,,,,,,u,_034100007638,,,,,
_034100000097,,,,,,,,,,,,,u,_034100012403,,,,,
_034100000097,,,,,,,,,,,,,u,_034100016371,,,,,
_034100000318,MILLER HL 32z LN,16798,16798,,,,a,401 01J 000,Case,12.00,,,u,_034100000318,Master,19.95,0.00,2015-02-02,2075-12-31
_034100000318,,,,,,,,,,,,,u,_034100012311,,,,,
_034100000455,OLD ENGLISH HG 40z LN,1076331,1076331,,,,a,401 01J 000,Case,12.00,,,u,_034100000455,Master,20.15,0.00,2015-09-23,2075-12-31
_034100001520,MILLER HL 4PK 16z CN,171950,171950,,,,a,401 01A 000,Case,24.00,,,u,_034100001520,Master,15.20,0.00,2015-02-02,2075-12-31
_034100001520,,,,,,,,,,,,,u,_034100013080,,,,,
_034100001544,MILW BEST 6PK 12z CN,13517,13517,,,,a,401 01B 000,Case,24.00,,,u,_034100001544,Master,10.25,0.00,1900-01-01,2075-12-31
_034100001629,MILW BEST ICE 4PK 16z CN,168823,168823,,,,a,401 01A 000,Case,24.00,,,u,_034100001629,Master,13.20,0.00,2017-06-07,2075-12-31
_034100001834,MICKEYS 32z LN,185627,185627,,,,a,401 01J 000,Case,12.00,,,u,_034100001834,Master,19.95,0.00,2015-02-02,2075-12-31
_034100001834,,,,,,,,,,,,,u,_034100774318,,,,,
_034100001858,MICKEYS 40z LN,16595,16595,,,,a,401 01J 000,Case,12.00,,,u,_034100001858,Master,22.05,0.00,2010-02-08,2075-12-31
_034100001858,,,,,,,,,,,,,u,_034100774349,,,,,
_034100001858,,,,,,,,,,,,,u,_073360442018,,,,,
_034100001858,,,,,,,,,,,,,u,_073360449017,,,,,
_034100002176,MICKEYS 24z CN,51981,51981,,,,a,401 01J 000,Case,12.00,,,u,_034100002084,Master,12.60,0.00,2017-06-07,2075-12-31
_034100002176,,,,,,,,,,,,,u,_034100002176,,,,,
_034100002176,,,,,,,,,,,,,u,_034100421717,,,,,
_034100002176,,,,,,,,,,,,,u,_073360447525,,,,,
_034100002176,,,,,,,,,,,,,u,_073360449048,,,,,
_034100002305,REDDS SSL 16z CN,1077164,1077164,,,,a,401 01J 000,Case,24.00,,,u,_034100002305,Master,28.20,0.00,2016-04-04,2075-12-31
_034100003180,THIRD SHIFT 16z CN,1053273,1053273,,,,a,401 01J 000,Case,24.00,,,u,_034100003180,Master,26.95,0.00,1900-01-01,2075-12-31
