ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_011034420054,M&R DRY VERMOUTH 750ML,1077615,1077615,,,,a,401 04A 000,Case,6.00,,,u,_011034420054,Master,36.00,0.00,1900-01-01,2075-12-31
_012354010000,LITL PNGN CAB SAUV,32000035,32000035,,,,a,401 03A 000,Case,12.00,,,u,_012354010000,Master,80.00,0.00,1900-01-01,2075-12-31
_012354010062,zzLITL PNGN MERLOT,32000038,32000038,,,,a,401 03A 000,Case,12.00,,,u,_012354010062,Master,80.00,0.00,1900-01-01,2075-12-31
_012354010321,zzLITL PNGN PINOT GRIGIO,32000042,32000042,,,,a,401 03A 000,Case,12.00,,,u,_012354010321,Master,80.00,0.00,1900-01-01,2075-12-31
_012354010345,LITTLE PENGUIN CAB/MERLOT 750 ML,32000043,32000043,,,,a,401 03A 000,Case,12.00,,,u,_012354010345,Master,80.00,0.00,1900-01-01,2075-12-31
_012354010352,LITTLE PENGUIN CABERNET 1.5L,32000044,32000044,,,,a,401 03A 000,Case,6.00,,,u,_012354010352,Master,56.00,0.00,1900-01-01,2075-12-31
_014800511345,CLAMATO ORIG TOMATO COCKTAIL 1L,32006583,32006583,,,,a,601 12A 000,Case,6.00,,,u,_014800511345,Master,18.50,0.00,1900-01-01,2075-12-31
_024400477002,MAJOR PETERS BLOODY 1L,32000187,32000187,,,,a,401 04A 000,Case,12.00,,,u,_024400477002,Master,46.12,0.00,1900-01-01,2075-12-31
_024400477095,MAJOR PETERS HOT 1L,32000188,32000188,,,,a,401 04A 000,Case,12.00,,,u,_024400477095,Master,46.12,0.00,1900-01-01,2075-12-31
_024400478078,MAJOR PETERS WORKS 1L,32000189,32000189,,,,a,401 04A 000,Case,12.00,,,u,_024400478078,Master,46.12,0.00,1900-01-01,2075-12-31
_036000291452,GRAND MARNIER RASPBERRY PEACH 750ML,35001123,35001123,,,,a,401 04A 000,Case,12.00,,,u,_036000291452,Master,299.95,0.00,1900-01-01,2075-12-31
_048415000208,WISERS CANADIAN 1L,32000312,32000312,,,,a,401 04A 000,Case,12.00,,,u,_048415000208,Master,182.30,0.00,1900-01-01,2075-12-31
_050037014235,AMARETTO DI SARONNA 1L,32000316,32000316,,,,a,401 04A 000,Case,6.00,,,u,_050037014235,Master,149.00,0.00,1900-01-01,2075-12-31
_050037014501,DISARONNO AMARETTO 750ML,1077591,1077591,,,,a,401 04A 000,Case,12.00,,,u,_050037014501,Master,258.00,0.00,1900-01-01,2075-12-31
_050037014518,DISARONNO AMARETTO 56 375ML,35000789,35000789,,,,a,401 04A 000,Case,12.00,,,u,_050037014518,Master,136.00,0.00,1900-01-01,2075-12-31
_079298100006,EVIAN NAT SPR WTR 1L,14937,14937,,,,a,601 10 000,Case,12.00,,,u,_079298100006,Master,19.00,0.00,1900-01-01,2075-12-31
_079298400113,EVIAN NAT SPR WTR 750ML,1081543,1081543,,,,a,601 10 000,Case,12.00,,,u,_079298400113,Master,18.50,0.00,1900-01-01,2075-12-31
_080244002039,BLANTON BBN 750ML,1082279,1082279,,,,a,401 04A 000,Case,6.00,,,u,_080244002039,Master,280.00,0.00,1900-01-01,2075-12-31
_080244009236,BUFFALO TRACE BOURBON 750ML,1082280,1082280,,,,a,401 04A 000,Case,12.00,,,u,_080244009236,Master,240.00,0.00,1900-01-01,2075-12-31
_080432100783,GLENLIVIT FRENCH OAK 15YR 6PK 750ML,32000420,32000420,,,,a,401 04A 000,Case,6.00,,,u,_080432100783,Master,331.62,0.00,1900-01-01,2075-12-31
_080432104118,JACOBS CREEK PINOT GRIGIO,32000424,32000424,,,,a,401 03A 000,Case,12.00,,,u,_080432104118,Master,80.00,0.00,1900-01-01,2075-12-31
_080432354070,JACOBS CREEK SHIRAZ 750ML,163957,163957,,,,a,401 03A 000,Case,12.00,,,u,_080432354070,Master,80.00,0.00,1900-01-01,2075-12-31
_080432400395,CHIVAS RGL 80P SCTCH 12YR 750ml,32000438,32000438,,,,a,401 04A 000,Case,6.00,,,u,_080432400395,Master,151.50,0.00,1900-01-01,2075-12-31
_080432400630,GLENLIVET SCO SM 12YR YRC 750ML,35002669,35002669,,,,a,401 04A 000,Case,12.00,,,u,_080432400630,Master,398.80,0.00,1900-01-01,2075-12-31
_080432400814,MARTELL COGNAC 750ML,32000445,32000445,,,,a,401 04A 000,Case,6.00,,,u,_080432400814,Master,150.47,0.00,1900-01-01,2075-12-31
_080432401231,SEAGRAMS GIN EXTRA DRY 750ML,151535,151535,,,,a,401 04A 000,Case,12.00,,,u,_080432401231,Master,91.15,0.00,1900-01-01,2075-12-31
_080432401255,SEAGRAMS GIN EXTRA DRY 80 1.0L,32000448,32000448,,,,a,401 04A 000,Case,12.00,,,u,_080432401255,Master,103.95,0.00,1900-01-01,2075-12-31
_080432401262,SEAGRAMS GIN EXTRA DRY 80 1.75L,32000449,32000449,,,,a,401 04A 000,Case,6.00,,,u,_080432401262,Master,87.46,0.00,1900-01-01,2075-12-31
_080432401620,SEAGRAM TWISTED GIN LIME 70 1L,32000451,32000451,,,,a,401 04A 000,Case,12.00,,,u,_080432401620,Master,103.95,0.00,1900-01-01,2075-12-31
_080432404355,JACOBS CREEK CABERNET MERLOT 750ML,35002573,35002573,,,,a,401 03A 000,Case,12.00,,,u,_080432404355,Master,80.00,0.00,1900-01-01,2075-12-31
_080432500118,JAMESON IRISH WHISKEY 80 1.0L,32000457,32000457,,,,a,401 04A 000,Case,12.00,,,u,_080432500118,Master,294.25,0.00,1900-01-01,2075-12-31
_080432500170,JAMESON IRISH WHISKEY 750ML,1077711,1077711,,,,a,401 04A 000,Case,12.00,,,u,_080432500170,Master,256.00,0.00,1900-01-01,2075-12-31
_080432500187,JAMESON IRISH WHISKEY 80 1.75L,32000458,32000458,,,,a,401 04A 000,Case,6.00,,,u,_080432500187,Master,261.00,0.00,1900-01-01,2075-12-31
_080480000264,BACARDI DRAGONBERRY 1L,32000465,32000465,,,,a,401 04A 000,Case,12.00,,,u,_080480000264,Master,169.90,0.00,1900-01-01,2075-12-31
_080480000288,BACARDI RUM DRAGON BERRY 70 375ML,35000698,35000698,,,,a,401 04A 000,Case,12.00,,,u,_080480000288,Master,75.13,0.00,1900-01-01,2075-12-31
_080480001513,BACARDI OAKHEART SPICED RUM 1L,32000468,32000468,,,,a,401 04A 000,Case,12.00,,,u,_080480001513,Master,169.90,0.00,1900-01-01,2075-12-31
_080480002831,GREY GOOSE VOD CHERRY NOIR 750ML,35000824,35000824,,,,a,401 04A 000,Case,6.00,,,u,_080480002831,Master,151.00,0.00,1900-01-01,2075-12-31
