ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_0010660796,HOLSOM FRANK BUNS 6s,1066473,1066473,,,,a,601 06 000,Each,1.00,,,u,_400106607965,Master,2.15,0.00,1900-01-01,2075-12-31
_0821000268,HOLSOM CONEY BUNS 8s,1066472,1066472,,,,a,601 06 000,Each,1.00,,,u,_708210002684,Master,2.30,0.00,1900-01-01,2075-12-31
_0821000466,GLD MDL ENGLISH MUFFIN 6pk,1066463,1066463,,,,a,601 06 000,Each,1.00,,,u,_708210004664,Master,1.79,0.00,1900-01-01,2075-12-31
_0821000466,,,,,,,,,,,,,u,_835841004609,,,,,
_0821000565,HOLSOM GIANT BREAD,1066466,1066466,,,,a,601 06 000,Each,1.00,,,u,_708210005654,Master,2.51,0.00,1900-01-01,2075-12-31
_0821131108,HOLSOM 100% WHEAT BREAD,1066471,1066471,,,,a,601 06 000,Each,1.00,,,u,_708211311082,Master,2.37,0.00,1900-01-01,2075-12-31
_3584100005,GLD MDL COUNTRY WHITE BREAD,1066460,1066460,,,,a,601 06 000,Each,1.00,,,u,_835841000052,Master,2.87,0.00,1900-01-01,2075-12-31
_3584100006,GLD MDL STONE WHEAT BREAD,1066453,1066453,,,,a,601 06 000,Each,1.00,,,u,_835841000069,Master,2.87,0.00,1900-01-01,2075-12-31
_3584100007,GLD MDL 12 GRAIN BREAD,1066449,1066449,,,,a,601 06 000,Each,1.00,,,u,_835841000076,Master,2.87,0.00,1900-01-01,2075-12-31
_3584100408,GLD MDL WHEAT ROLLS,1066465,1066465,,,,a,601 06 000,Each,1.00,,,u,_835841004081,Master,2.87,0.00,1900-01-01,2075-12-31
_3584100520,GLD MDL FIBER ONE WHOLE WHEAT BREAD,1066448,1066448,,,,a,601 06 000,Each,1.00,,,u,_835841005200,Master,2.87,0.00,1900-01-01,2075-12-31
_3584100556,GLD MDL FLAXSEED WHEAT BREAD,1066451,1066451,,,,a,601 06 000,Each,1.00,,,u,_835841005569,Master,2.87,0.00,1900-01-01,2075-12-31
_7082100003,HOLSOM JUNIOR BREAD 16z,1066468,1066468,,,,a,601 06 000,Each,1.00,,,u,_070821000039,Master,2.08,0.00,1900-01-01,2075-12-31
_7082100004,HOLSOM SPLIT TOP WHEAT BREAD,1066467,1066467,,,,a,601 06 000,Each,1.00,,,u,_070821000046,Master,2.51,0.00,1900-01-01,2075-12-31
_7082120303,HOLSOM MILANO BREAD 20z,1066470,1066470,,,,a,601 06 000,Each,1.00,,,u,_070821203034,Master,2.37,0.00,1900-01-01,2075-12-31
_7082150055,GLD MDL HOT DOG BUNS 6pk,1066462,1066462,,,,a,601 06 000,Each,1.00,,,u,_070821500553,Master,2.15,0.00,1900-01-01,2075-12-31
_7082151000,GLD MDL HAMBURGER BUNS 8pk,1066461,1066461,,,,a,601 06 000,Each,1.00,,,u,_070821510002,Master,2.30,0.00,1900-01-01,2075-12-31
