ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_4133102721,GOYA PEAR NECTAR 12z,1065652,1065652,,,,a,601 12A 000,Case,24.00,,,u,_041331027212,Master,12.05,0.00,1900-01-01,2075-12-31
_4133102722,GOYA PEACH NECTAR 12z,1065678,1065678,,,,a,601 12A 000,Case,24.00,,,u,_041331027229,Master,13.40,0.00,1900-01-01,2075-12-31
_4133102735,GOYA PASSION FRUIT COCKTAIL 11.5z,1065660,1065660,,,,a,601 12A 000,Case,24.00,,,u,_041331027359,Master,18.35,0.00,1900-01-01,2075-12-31
_4133102737,GOYA PINEAPPLE/PASSION NECTAR 12z,1065680,1065680,,,,a,601 12A 000,Case,24.00,,,u,_041331027373,Master,16.75,0.00,1900-01-01,2075-12-31
_4133102741,GOYA TAMARIND NECTAR 12z,1065655,1065655,,,,a,601 12A 000,Case,24.00,,,u,_041331027410,Master,12.05,0.00,1900-01-01,2075-12-31
_4133102743,GOYA GUANABANA NECTAR 12z,1065658,1065658,,,,a,601 12A 000,Case,24.00,,,u,_041331027434,Master,12.05,0.00,1900-01-01,2075-12-31
_4133102745,GOYA GUAVA NECTAR 12z,1065645,1065645,,,,a,601 12A 000,Case,24.00,,,u,_041331027458,Master,13.39,0.00,1900-01-01,2075-12-31
_4133102746,GOYA MANGO NECTAR 12z,1065682,1065682,,,,a,601 12A 000,Case,24.00,,,u,_041331027465,Master,13.40,0.00,1900-01-01,2075-12-31
_4133102760,GOYA STRAWBERRY NECTAR 12z,1065679,1065679,,,,a,601 12A 000,Case,24.00,,,u,_041331027601,Master,13.40,0.00,1900-01-01,2075-12-31
_4133102761,GOYA BANANA NECTAR 12z,1065684,1065684,,,,a,601 12A 000,Case,24.00,,,u,_041331027618,Master,13.40,0.00,1900-01-01,2075-12-31
_4133102762,GOYA STRAW/BAN NECTAR 12z,1065672,1065672,,,,a,601 12A 000,Case,24.00,,,u,_041331027625,Master,13.40,0.00,1900-01-01,2075-12-31
_4133102783,GOYA PINEAPPLE JUICE 12z,1065681,1065681,,,,a,601 12A 000,Case,24.00,,,u,_041331027830,Master,13.40,0.00,1900-01-01,2075-12-31
_4133102785,GOYA COCONUT WATER W/PIECES 11.8z,1065643,1065643,,,,a,Default,Case,24.00,,,u,_041331027854,Master,20.15,0.00,1900-01-01,2075-12-31
_4133102786,GOYA UNSWEET COCONUT WATER 11.8z,1065676,1065676,,,,a,601 11B 000,Case,24.00,,,u,_041331027861,Master,19.50,0.00,1900-01-01,2075-12-31
_4133102787,GOYA COCONUT WATER TALL 17.6z,1065683,1065683,,,,a,601 11B 000,Case,24.00,,,u,_041331027878,Master,25.95,0.00,1900-01-01,2075-12-31
_4133102795,GOYA TROPICAL FRUIT PUNCH 12z,1065657,1065657,,,,a,601 12A 000,Case,24.00,,,u,_041331027953,Master,13.40,0.00,1900-01-01,2075-12-31
_4133103985,GOYA LOOSE MALTA 12z,1065665,1065665,,,,a,601 03 500,Case,24.00,,,u,_041331039857,Master,13.80,0.00,1900-01-01,2075-12-31
_4133104006,GOYA MALTA GOYA 7z,1065673,1065673,,,,a,601 12A 000,Case,4.00,,,u,_041331040068,Master,10.50,0.00,1900-01-01,2075-12-31
_4133104925,GOYA PLANTAIN CHIPS 5z,1065675,1065675,,,,a,601 04A 500,Case,12.00,,,u,_041331049252,Master,15.90,0.00,1900-01-01,2075-12-31
_4133104933,GOYA PLANTAIN GARLIC CHIPS 5z,1065663,1065663,,,,a,601 04A 500,Case,12.00,,,u,_041331049337,Master,15.90,0.00,1900-01-01,2075-12-31
_4133104941,GOYA CASSAVA CHIPS 4z,1065646,1065646,,,,a,601 04A 500,Case,12.00,,,u,_041331049412,Master,14.55,0.00,1900-01-01,2075-12-31
_4133104942,GOYA MARIA COOKIES VANILLA 3.5z,1065664,1065664,,,,a,601 03 500,Case,48.00,,,u,_041331049429,Master,15.45,0.00,1900-01-01,2075-12-31
_4133104947,GOYA PALMERITA COOKIES 5.82z,1065677,1065677,,,,a,601 03 500,Case,24.00,,,u,_041331049474,Master,16.55,0.00,1900-01-01,2075-12-31
_4133104975,GOYA WAFER VANILLA COOKIES,1065662,1065662,,,,a,601 03 500,Case,30.00,,,u,_041331049757,Master,25.75,0.00,1900-01-01,2075-12-31
_4133104976,GOYA WAFER STRWBRY COOKIES,1065666,1065666,,,,a,601 03 500,Case,30.00,,,u,_041331049764,Master,23.15,0.00,1900-01-01,2075-12-31
_4133104977,GOYA WAFER GUAVA COOKIES 5.6z,1065674,1065674,,,,a,601 03 500,Case,30.00,,,u,_041331049771,Master,21.53,0.00,1900-01-01,2075-12-31
_4133104979,GOYA WAFER CHOC COOKIES 5.6z,1065649,1065649,,,,a,601 03 500,Case,30.00,,,u,_041331049795,Master,25.75,0.00,1900-01-01,2075-12-31
