ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_016571910303,SPARKLING ICE BLK RASBERRY 17z,1052656,1052656,,,,a,601 11 000,Case,12.00,,,u,_016571910303,Master,9.00,0.00,1900-01-01,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17z,1052657,1052657,,,,a,601 11 000,Case,12.00,,,u,_016571910310,Master,9.00,0.00,1900-01-01,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17z,1052644,1052644,,,,a,601 11 000,Case,12.00,,,u,_016571910327,Master,9.00,0.00,1900-01-01,2075-12-31
_016571911256,SPARKLING ICE LEMON LIME 17z,1062137,1062137,,,,a,601 11 000,Case,12.00,,,u,_016571911256,Master,9.00,0.00,1900-01-01,2075-12-31
_016571940348,SPARKLING ICE PEACH NECTARINE / MANGO 17z,1063757,1063757,,,,a,601 11 000,Case,12.00,,,u,_016571940348,Master,9.00,0.00,1900-01-01,2075-12-31
_016571940355,SPARKLING ICE LEMONADE 17z,1052659,1052659,,,,a,601 11 000,Case,12.00,,,u,_016571940355,Master,9.00,0.00,1900-01-01,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17z,1064891,1064891,,,,a,601 11 000,Case,12.00,,,u,_016571950842,Master,9.00,0.00,1900-01-01,2075-12-31
_071537020120,POLAR TONIC WATER 1L,1086724,1086724,,,,a,601 11 000,Case,12.00,,,u,_071537020120,Master,10.00,0.00,1900-01-01,2075-12-31
_071537020120,,,,,,,,,,,,,u,_071537120127,,,,,
_071537060287,POLAR SELTZER BLACK CHERRY WTR  20z,1089095,1089095,,,,a,601 11 000,Case,24.00,,,u,_071537060287,Master,16.00,0.00,1900-01-01,2075-12-31
_071537060300,POLAR SELTZER RASP LIME WTR  20z,1081803,1081803,,,,a,601 11 000,Case,24.00,,,u,_071537060300,Master,15.00,0.00,1900-01-01,2075-12-31
_071537060348,POLAR SELTZER LEMON WTR  20z,1067815,1067815,,,,a,601 11 000,Case,24.00,,,u,_071537060348,Master,15.00,0.00,1900-01-01,2075-12-31
_071537060409,POLAR SELTZER BLUEBERRY LEMONADE WTR  20z,1089096,1089096,,,,a,601 11 000,Case,24.00,,,u,_071537060409,Master,16.00,0.00,1900-01-01,2075-12-31
_1029100100,TATE'S CHOCOLATE CHIP COOKIES 7z,1082542,1082542,,,,a,601 03 000,Case,12.00,,,u,_810291001002,Master,43.00,0.00,1900-01-01,2075-12-31
_1029100100,,,,,,,,,,,,,u,_810291009503,,,,,
_1029100102,TATE'S OATMEAL RAISIN COOKIES 7z,1082543,1082543,,,,a,601 03 000,Case,12.00,,,u,_810291001026,Master,43.00,0.00,1900-01-01,2075-12-31
_1029100102,,,,,,,,,,,,,u,_810291009534,,,,,
_1029100158,TATE'S CHOCOLATE CHIP COOKIES 1z,1082544,1082544,,,,a,601 03 000,Case,24.00,,,u,_810291001583,Master,18.50,0.00,1900-01-01,2075-12-31
_182136000014,AQUAHYDRATE 500ML,1081732,1081732,,,,a,Default,Case,24.00,,,u,_182136000014,Master,16.00,0.00,1900-01-01,2075-12-31
_182136000021,AQUAHYDRATE 1L,1082560,1082560,,,,a,Default,Case,12.00,,,u,_182136000021,Master,15.00,0.00,1900-01-01,2075-12-31
_682430400102,VOSS WATER 500ml,1077249,1077249,,,,a,Default,Case,24.00,,,u,_682430200108,Master,23.50,0.00,1900-01-01,2075-12-31
_682430400102,,,,,,,,,,,,,u,_682430400102,,,,,
_810291001774,TATES COCONUT CRISPS,1085950,1085950,,,,a,601 03 000,Case,12.00,,,u,_810291001767,Master,43.00,0.00,1900-01-01,2075-12-31
_810291001774,,,,,,,,,,,,,u,_810291001774,,,,,
_810291001903,TATES DOUBLE CHOCOLATE PEPPERMINT,1088877,1088877,,,,a,601 03 000,Box,12.00,,,u,_810291001873,Master,43.00,0.00,1900-01-01,2075-12-31
_810291001903,,,,,,,,,,,,,u,_810291001903,,,,,
_810291002306,TATES BUTTER CRUNCH,1088876,1088876,,,,a,601 03 000,Box,12.00,,,u,_810291002306,Master,43.00,0.00,1900-01-01,2075-12-31
_810291002306,,,,,,,,,,,,,u,_810291002603,,,,,
_810291009510,TATES GLUTEN FREE CHOCOLATE CHIP,1085952,1085952,,,,a,601 03 000,Case,12.00,,,u,_810291001088,Master,43.00,0.00,2017-11-13,2075-12-31
_810291009510,,,,,,,,,,,,,u,_810291009510,,,,,
_810291009527,TATES WALNUT CHOCOLATE CHIP,1085951,1085951,,,,a,601 03 000,Case,12.00,,,u,_810291001057,Master,43.00,0.00,1900-01-01,2075-12-31
_810291009527,,,,,,,,,,,,,u,_810291009527,,,,,
