ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_032033,CASE-BRD-SUB ROLL,134532,134532,,,,a,206 01 000,Case,70.00,,,,,Master,10.97,0.00,1900-01-01,2075-12-31
_0770644,SUBWAY PEPPERJACK CHEESE,114880,114880,,,,a,206 01 000,Case,4.00,,,,,Master,31.62,0.00,1900-01-01,2075-12-31
_100101,SUBWAY WHEAT DOUGH BRD,114859,114859,,,,a,206 01 000,Case,70.00,,,,,Master,10.97,0.00,1900-01-01,2075-12-31
_105230,SUBWAY BAKED LAYS CHIPS,114867,114867,,,,a,206 01 000,Each,1.00,,,,,Master,18.79,0.00,1900-01-01,2075-12-31
_105280,SUBWAY DORITOS NACHO CHS~,114866,114866,,,,a,206 01 000,Case,60.00,,,,,Master,18.79,0.00,1900-01-01,2075-12-31
_105290,F/LAY DORITOS RANCH FLAVOR,118682,118682,,,,a,206 05 000,Case,60.00,,,,,Master,18.79,0.00,1900-01-01,2075-12-31
_105300,SUBWAY F/LAY REG. CHIPS,114865,114865,,,,a,206 01 000,Case,60.00,,,,,Master,18.79,0.00,1900-01-01,2075-12-31
_105330,SUBWAYF/LAY KC BBQ CHIPS,114864,114864,,,,a,206 01 000,Each,1.00,,,,,Master,18.79,0.00,1900-01-01,2075-12-31
_105380,F/LAY SUN CHIPS,116465,116465,,,,a,206 05 000,Case,60.00,,,,,Master,18.79,0.00,1900-01-01,2075-12-31
_105430,F/LAY CHIP~ POT REG WOW,116318,116318,,,,a,206 05 000,Case,60.00,,,,,Master,20.59,0.00,1900-01-01,2075-12-31
_109894,KETCHUP,42248,42248,,,,a,206 01 000,Each,1.00,,,,,Master,6.11,0.00,1900-01-01,2075-12-31
_124871,GFS PIZZA 12inch,124871,124871,,,,a,221 05 103,Each,1.00,,,,,Master,2.78,0.00,1900-01-01,2075-12-31
