ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_027259030176,GUERS ICED TEA HDPE PT,1066695,1066695,,,,a,601 14 000,Each,1.00,,,u,_027259030176,Master,0.52,0.00,1900-01-01,2075-12-31
_027259031142,GUERS ICED TEA GREEN PT,1066689,1066689,,,,a,601 14 000,Each,1.00,,,u,_027259031142,Master,0.47,0.00,2015-03-16,2075-12-31
_027259033122,GUERS ICED TEA DIET GREEN HALF GAL,1066694,1066694,,,,a,601 14B 000,Each,1.00,,,u,_027259033122,Master,1.10,0.00,2015-03-16,2075-12-31
_027259033146,GUERS ICED TEA DIET GREEN PT,1066691,1066691,,,,a,601 14B 000,Each,1.00,,,u,_027259033146,Master,0.47,0.00,2015-03-16,2075-12-31
_027259053120,GUERS ICED TEA HALF GAL,1066686,1066686,,,,a,601 14 01,Each,1.00,,,u,_027259053120,Master,1.10,0.00,2015-03-16,2075-12-31
_027259053137,GUERS ICED TEA QT,1066687,1066687,,,,a,601 14 000,Each,1.00,,,u,_027259053137,Master,0.92,0.00,1900-01-01,2075-12-31
_027259053144,GUERS ICED TEA PT,1066688,1066688,,,,a,601 14 000,Each,1.00,,,u,_027259053144,Master,0.47,0.00,1900-01-01,2075-12-31
_027259053793,GUERS ICED TEA GAL,1066685,1066685,,,,a,601 14 01,Each,1.00,,,u,_027259053793,Master,1.95,0.00,1900-01-01,2075-12-31
_027259055124,GUERS ICED TEA DIET HALF GAL,1066693,1066693,,,,a,601 14B 000,Each,1.00,,,u,_027259055124,Master,1.10,0.00,2015-03-16,2075-12-31
_27259031128,GUERS ICED TEA GREEN HALF GAL,1066692,1066692,,,,a,601 14 000,Each,1.00,,,u,_027259031128,Master,1.10,0.00,2015-03-16,2075-12-31
_27259055148,GUERS ICED TEA DIET PT,1066690,1066690,,,,a,601 14B 000,Each,1.00,,,u,_027259055148,Master,0.47,0.00,2015-03-16,2075-12-31
