ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_016571910303,SPARKLING ICE BLK RASBERRY 17z,1052656,1052656,,,,a,601 11 000,Case,12.00,,,u,_016571910303,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17z,1052657,1052657,,,,a,601 11 000,Case,12.00,,,u,_016571910310,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17z,1052644,1052644,,,,a,601 11 000,Case,12.00,,,u,_016571910327,Master,9.00,0.00,2016-01-13,2075-12-31
_016571940355,SPARKLING ICE LEMONADE 17z,1052659,1052659,,,,a,601 11 000,Case,12.00,,,u,_016571940355,Master,9.00,0.00,2016-01-13,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17z,1064891,1064891,,,,a,601 11 000,Case,12.00,,,u,_016571950842,Master,9.00,0.00,2016-01-13,2075-12-31
_018138201022,EDNA VALLEY CHARDONNAY 750ML,1056428,1056428,,,,a,401 03A 000,Each,1.00,,,u,_018138201022,Master,13.33,0.00,1900-01-01,2075-12-31
_018200259104,BUD LT ORANGE 25Z CN,1087039,1087039,,,,a,401 01J 000,Case,15.00,,,u,_018200259104,Master,32.33,0.00,1900-01-01,2075-12-31
_018200259104,,,,,,,,,,,,,u,_018200284342,,,,,
_018200259142,BUD LT COCO NUT RITA 25z CN,1086598,1086598,,,,a,401 01J 000,Case,15.00,,,u,_018200259142,Master,29.93,0.00,1900-01-01,2075-12-31
_018341751017,BAREFOOT CAB SAUV 750ML,1054649,1054649,,,,a,401 03A 000,Each,1.00,,,u,_018341751017,Master,6.00,0.00,1900-01-01,2075-12-31
_018341751055,BAREFOOT CHARDONNAY 750ML,166165,166165,,,,a,401 03A 000,Each,1.00,,,u,_018341751055,Master,6.00,0.00,1900-01-01,2075-12-31
_018341751109,BAREFOOT MERLOT 750ML,1056421,1056421,,,,a,401 03A 000,Each,1.00,,,u,_018341751109,Master,6.00,0.00,1900-01-01,2075-12-31
_033544950210,CERVEZAS CLASICO 12PK 12z LN,1077169,1077169,,,,a,401 01D 000,Case,24.00,,,u,_033544950210,Master,25.59,0.00,2015-11-18,2075-12-31
