ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_016571910303,SPARKLING ICE BLK RASBERRY 17Z,1052656,1052656,,,,a,601 11 000,Case,12.00,,,u,_016571910303,Master,10.25,0.00,1900-01-01,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17Z,1052657,1052657,,,,a,601 11 000,Case,12.00,,,u,_016571910310,Master,10.25,0.00,1900-01-01,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17Z,1052644,1052644,,,,a,601 11 000,Case,12.00,,,u,_016571910327,Master,10.25,0.00,1900-01-01,2075-12-31
_016571910372,SPRK ICE PINK GRAPEFRUIT,35000056,35000056,,,,a,601 11 000,Case,12.00,,,u,_016571910372,Master,10.25,0.00,1900-01-01,2075-12-31
_016571911256,SPARKLING ICE LEMON LIME 17Z,1062137,1062137,,,,a,601 11 000,Case,12.00,,,u,_016571911256,Master,10.25,0.00,1900-01-01,2075-12-31
_016571911263,SPRK ICE POM BERRY/17OZ,35000058,35000058,,,,a,601 11 000,Case,12.00,,,u,_016571911263,Master,10.25,0.00,1900-01-01,2075-12-31
_016571940331,SPARKLING ICE CNUT PNAPL 17Z,32006587,32006587,,,,a,601 11 000,Case,12.00,,,u,_016571940331,Master,10.25,0.00,1900-01-01,2075-12-31
_016571940348,SPARKLING ICE PEACH NECTARINE / MANGO 17Z,1063757,1063757,,,,a,601 11 000,Case,12.00,,,u,_016571940348,Master,10.25,0.00,1900-01-01,2075-12-31
_016571940355,SPARKLING ICE LEMONADE 17Z,1052659,1052659,,,,a,601 11 000,Case,12.00,,,u,_016571940355,Master,10.25,0.00,1900-01-01,2075-12-31
_016571950293,SPRK ICE STRWBRY LEMONAD,35000063,35000063,,,,a,601 11 000,Case,12.00,,,u,_016571950293,Master,10.25,0.00,1900-01-01,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17Z,1064891,1064891,,,,a,601 11 000,Case,12.00,,,u,_016571950842,Master,10.25,0.00,1900-01-01,2075-12-31
_016571950859,SPRK ICE STRWBRY WATERMELON,35001176,35001176,,,,a,601 11 000,Case,12.00,,,u,_016571950859,Master,10.25,0.00,1900-01-01,2075-12-31
_016571952679,SPARKLING ICE GRP RASP 17Z,32006592,32006592,,,,a,601 11 000,Case,12.00,,,u,_016571952679,Master,10.25,0.00,1900-01-01,2075-12-31
_018200006142,BUSCH N/A 12PK 12Z CN,32809,32809,,,,a,401 02B 000,Case,24.00,,,u,_018200006142,Master,21.25,0.00,1900-01-01,2075-12-31
_018200006708,MICHELOB GLDN LT 6PK 12Z LN,34205,34205,,,,a,401 01B 000,Case,24.00,,,u,_018200006708,Master,24.65,0.00,1900-01-01,2075-12-31
_018200006937,MICHELOB GLDN LT 12PK 12Z CN,17692,17692,,,,a,401 01D 000,Case,24.00,,,u,_018200006937,Master,24.65,0.00,1900-01-01,2075-12-31
_018200007842,ODOULS N/A 6PK 12Z LN,13493,13493,,,,a,401 02A 000,Case,24.00,,,u,_018200007842,Master,24.95,0.00,1900-01-01,2075-12-31
_018200008016,BUSCH LT 12PK 12Z CN,13461,13461,,,,a,401 01D 000,Case,24.00,,,u,_018200008016,Master,19.50,0.00,1900-01-01,2075-12-31
_018200008337,BUD LT 6PK 12Z LN,14091,14091,,,,a,401 01B 000,Case,24.00,,,u,_018200001697,Master,24.65,0.00,1900-01-01,2075-12-31
_018200008337,,,,,,,,,,,,,u,_018200008337,,,,,
_018200008344,BUD 6PK 12Z LN,13439,13439,,,,a,401 01B 000,Case,24.00,,,u,_018200001680,Master,24.65,0.00,1900-01-01,2075-12-31
_018200008344,,,,,,,,,,,,,u,_018200008344,,,,,
_018200008344,,,,,,,,,,,,,u,_018200110368,,,,,
_018200029929,ODOULS N/A AMB 6PK 12Z LN,64894,64894,,,,a,401 02A 000,Case,24.00,,,u,_018200029929,Master,24.95,0.00,1900-01-01,2075-12-31
_018200039829,ODOULS AMBER 12PK 12Z CN,32000083,32000083,,,,a,401 01D 000,Case,24.00,,,u,_018200039829,Master,23.95,0.00,1900-01-01,2075-12-31
_018200059896,MICHELOB ULTRA 6PK 12Z LN,121492,121492,,,,a,401 01B 000,Case,24.00,,,u,_018200059896,Master,27.20,0.00,1900-01-01,2075-12-31
_018200069918,MICHELOB ULTRA 12PK 12Z CN,148933,148933,,,,a,401 01D 000,Case,24.00,,,u,_018200069918,Master,25.15,0.00,1900-01-01,2075-12-31
_018200110474,BUD 12PK 12Z CN,13441,13441,,,,a,401 01D 000,Case,24.00,,,u,_018200110474,Master,24.65,0.00,1900-01-01,2075-12-31
_018200149917,BUD LT LIME 6PK 12Z LN,176526,176526,,,,a,401 01B 000,Case,24.00,,,u,_018200149917,Master,27.70,0.00,1900-01-01,2075-12-31
_018200200021,BEST DAMN ROOTBEER 6PK 12Z LN,1077121,1077121,,,,a,401 01B 000,Case,24.00,,,u,_018200200021,Master,28.00,0.00,1900-01-01,2075-12-31
_018200200779,NATURAL LT 15PK 12Z CN,1085509,1085509,,,,a,401 01E 000,Case,30.00,,,u,_018200200779,Master,17.35,0.00,1900-01-01,2075-12-31
_018200219856,BUD 3PK 25Z CN,178282,178282,,,,a,401 01N 000,Case,15.00,,,u,_018200219856,Master,32.80,0.00,1900-01-01,2075-12-31
_018200281402,BUD LT 20PK 16Z ALUM,1076335,1076335,,,,a,401 01G 000,Case,20.00,,,u,_018200281402,Master,19.55,0.00,1900-01-01,2075-12-31
_018200530470,BUD LT 12PK 12Z CN,13451,13451,,,,a,401 01D 000,Case,24.00,,,u,_018200530470,Master,24.65,0.00,1900-01-01,2075-12-31
_018200531682,BUD LT 24PK 12Z CN (STCS),18979,18979,,,,a,401 01H 000,Case,24.00,,,u,_018200006371,Master,21.20,0.00,1900-01-01,2075-12-31
_018200531682,,,,,,,,,,,,,u,_018200531682,,,,,
_018200610479,BUSCH 12PK 12Z CN,13456,13456,,,,a,401 01D 000,Case,24.00,,,u,_018200610479,Master,19.50,0.00,1900-01-01,2075-12-31
_018200790478,ODOULS N/A 12PK 12Z CN,36755,36755,,,,a,401 02B 000,Case,24.00,,,u,_018200790478,Master,23.95,0.00,1900-01-01,2075-12-31
_018200967153,MICHELOB ULTRA 24PK 12Z CN,1050590,1050590,,,,a,401 01H 000,Case,24.00,,,u,_018200967153,Master,22.00,0.00,1900-01-01,2075-12-31
_018200967214,MICHELOB ULTRA 18PK 12Z CN,148934,148934,,,,a,401 01F 000,Case,18.00,,,u,_018200967214,Master,17.35,0.00,1900-01-01,2075-12-31
_018200968679,MICHELOB GLDN LT 24PK 12Z CN,170155,170155,,,,a,401 01H 000,Case,24.00,,,u,_018200968679,Master,21.20,0.00,1900-01-01,2075-12-31
_018200970092,BUD LT 12PK 16Z ALUM,1076155,1076155,,,,a,401 01D 000,Case,24.00,,,u,_018200970092,Master,28.35,0.00,1900-01-01,2075-12-31
_071990000486,COORS LT 12PK 12Z CN,14115,14115,,,,a,401 01D 000,Case,24.00,,,u,_071990000486,Master,23.75,0.00,1900-01-01,2075-12-31
_071990300050,COORS LT 6PK 12Z LN,13465,13465,,,,a,401 01B 000,Case,24.00,,,u,_071990000004,Master,23.75,0.00,1900-01-01,2075-12-31
_071990300050,,,,,,,,,,,,,u,_071990300050,,,,,
_071990301040,COORS LT 9PK 16Z ALUM,184419,184419,,,,a,401 01O 000,Case,18.00,,,u,_071990301040,Master,23.00,0.00,1900-01-01,2075-12-31
_071990480455,KEYSTONE LT 15PK 12Z CN,1082873,1082873,,,,a,401 01E 000,Case,30.00,,,u,_071990480455,Master,17.75,0.00,1900-01-01,2075-12-31
_071990770051,COORS NA 6PK 12Z LN,32000369,32000369,,,,a,401 01B 000,Case,24.00,,,u,_071990770051,Master,21.25,0.00,1900-01-01,2075-12-31
_071990770082,COORS NA 12PK 12Z CN,32000370,32000370,,,,a,401 02B 000,Case,24.00,,,u,_071990770082,Master,22.25,0.00,1900-01-01,2075-12-31
_080660956152,CORONA EXTRA 12PK 12Z LN,43252,43252,,,,a,401 01D 000,Case,24.00,,,u,_080660956152,Master,29.75,0.00,1900-01-01,2075-12-31
_080660956800,CORONA EXTRA 18PK 12Z LN,180618,180618,,,,a,401 01F 000,Case,18.00,,,u,_080660956800,Master,19.75,0.00,1900-01-01,2075-12-31
_080660957111,MODELO 18PK 12Z CN,1054229,1054229,,,,a,401 01F 000,Case,18.00,,,u,_080660957111,Master,20.50,0.00,1900-01-01,2075-12-31
_610764000316,BANG COTTON CANDY 16Z,1097817,1097817,,,,a,601 13A 000,Case,12.00,,,u,_610764000316,Master,16.50,0.00,1900-01-01,2075-12-31
