ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_601 20B 08,DAS EARBUDS METAL EXTREME BLUE,1052245,1052245,,,,a,601 20B 05,Each,1.00,,,u,_092533028309,Master,7.49,0.00,2016-06-06,2075-12-31
_8018541,1 SUBJECT THEMEBOOK 70 CT SHEETS,20004288,20004288,,,,a,601 26 220,Each,1.00,,,u,_079784411180,Master,1.17,0.00,1900-01-01,2075-12-31
_8018947,CLIP BOARD 9X12.5 INCH,1052468,1052468,,,,a,601 20B 08,Each,1.00,,,u,_045464040018,Master,1.56,0.00,1900-01-01,2075-12-31
_8019424,SHARPIE FINE POINT BLACK,1052096,1052096,,,,a,601 26 130,Each,1.00,,,u,_071641301016,Master,1.00,0.00,1900-01-01,2075-12-31
_8019788,CLASP ENVELOPES 9X12 INCH,20004667,20004667,,,,a,601 26 450,Each,1.00,,,u,_079784320024,Master,0.88,0.00,1900-01-01,2075-12-31
_8020687,CLASP ENVELOPES 6X9 INCH,20004303,20004303,,,,a,601 26 450,Each,1.00,,,u,_079784320048,Master,0.88,0.00,1900-01-01,2075-12-31
_8027401,DUCT TAPE BULK 2X10 YD,20003698,20003698,,,,a,601 20B 08,Each,1.00,,,u,_075353030042,Master,1.40,0.00,2017-12-13,2075-12-31
_8027427,CARTON SEALING TAPE CLEAR,20004296,20004296,,,,a,601 26 310,Each,1.00,,,u,_075353073087,Master,1.58,0.00,2017-12-13,2075-12-31
_8028573,MANCO ELECTRICAL TAPE BULK,20003699,20003699,,,,a,601 20B 08,Each,1.00,,,u,_075353043608,Master,0.79,0.00,1900-01-01,2075-12-31
_8029498,STOP-SLIP BELT DRESSNG ARO,20003680,20003680,,,,a,601 20B 08,Each,1.00,,,u,_078698130200,Master,2.24,0.00,1900-01-01,2075-12-31
_8029704,UPPER CYLINDER LUBRICANT-LUCAS~ GAL~ 4CS,41732,41732,,,,a,601 20B 04,Case,4.00,,,u,_049807100131,Master,93.75,0.00,1900-01-01,2075-12-31
_8029712,LUCAS UPR CYLNDR LUBRCNT QT,41734,41734,,,,a,601 20A 03,Case,12.00,,,u,_049807100032,Master,111.60,0.00,2016-06-01,2075-12-31
_8029720,OIL STABILIZER LUBRICANT-LUCAS~ GAL~ 4CS,41733,41733,,,,a,601 20A 03,Case,4.00,,,u,_049807100025,Master,86.87,0.00,2016-04-15,2075-12-31
_8029738,LUCAS OIL STABILIZER QT,41731,41731,,,,a,601 20A 03,Case,12.00,,,u,_049807100018,Master,112.87,0.00,1900-01-01,2075-12-31
_8029845,FPPF FUEL POWER,21184,21184,,,,a,601 20A 03,Each,1.00,,,u,_073767001009,Master,5.12,0.00,1900-01-01,2075-12-31
_8029985,EZZY CLEAN CLEANR/DEGREASE,20003711,20003711,,,,a,601 20B 08,Each,1.00,,,u,_026814130320,Master,4.17,0.00,1900-01-01,2075-12-31
_8029985,,,,,,,,,,,,,u,_726814130329,,,,,
_8030298,SPIN-ON FUEL FILTER~ CUMMINS ENGINES,20003660,20003660,,,,a,601 20B 08,Each,1.00,,,u,_038568610997,Master,5.98,0.00,1900-01-01,2075-12-31
_8030306,FUEL FILTER LUBER 425-440F,20003659,20003659,,,,a,601 20B 08,Each,1.00,,,u,_038568612120,Master,6.46,0.00,1900-01-01,2075-12-31
_8030330,FUEL FILTER LUBER 425-815F,20003661,20003661,,,,a,601 20B 08,Each,1.00,,,u,_038568612359,Master,7.53,0.00,1900-01-01,2075-12-31
_8032054,SYLV HI/LOW HDLGHT H6054,20003722,20003722,,,,a,601 20B 08,Each,1.00,,,u,_046135308437,Master,7.80,0.00,1900-01-01,2075-12-31
_8032062,SY LOW BEAM HGLGHT H4656XV,1075564,1075564,,,,a,601 20B 03,Each,1.00,,,u,_046135306266,Master,8.94,0.00,1900-01-01,2075-12-31
_8032070,SYLV LOW BEAM HDLGHT H4656,20003723,20003723,,,,a,601 20B 08,Each,1.00,,,u,_046135307751,Master,8.45,0.00,1900-01-01,2075-12-31
_8032419,LIQ WRENCH SPRAY LUBE,20003717,20003717,,,,a,601 20B 08,Each,1.00,,,u,_078698120256,Master,3.51,0.00,1900-01-01,2075-12-31
_8032542,AUTO EXPRESSIONS VANILLA PUMP,20003592,20003592,,,,a,601 20B 000,Each,1.00,,,u,_075847097230,Master,2.85,0.00,1900-01-01,2075-12-31
_8032559,AUTO EXPRESSIONS OUTDOOR BREEZE PUMP,20003591,20003591,,,,a,601 20B 000,Each,1.00,,,u,_075847097285,Master,2.85,0.00,1900-01-01,2075-12-31
_8032591,TREE AIR FRESH SPICE,21127,21127,,,,a,601 20B 000,Each,1.00,,,u,_076171101037,Master,0.77,0.00,1900-01-01,2075-12-31
_8032625,LTL TREE NEW CAR 1pk,29605,29605,,,,a,601 20B 000,Each,1.00,,,u,_076171101891,Master,0.77,0.00,1900-01-01,2075-12-31
_8032849,DRIVER VEHICLE INSPECTION REPORT 2-COPY,31435,31435,,,,a,601 02B 08,Each,1.00,,,u,_755547000050,Master,1.30,0.00,1900-01-01,2075-12-31
_8033094,J KELLR DAILY LOG CARBNLES,150319,150319,,,,a,601 20B 08,Each,1.00,,,u,_755547007967,Master,1.25,0.00,1900-01-01,2075-12-31
_8033102,J KELLR DRIVR VEH INSP REP,20003654,20003654,,,,a,601 20B 08,Each,1.00,,,u,_755547000579,Master,1.50,0.00,1900-01-01,2075-12-31
_8033136,J KELLR L-LEAF LOG SNAPOUT (613MP),1054591,1054591,,,,a,601 20B 08,Each,1.00,,,u,_755547002221,Master,2.10,0.00,1900-01-01,2075-12-31
_8036089,ZIPPO LIGHTER FLUID,12814,12814,,,,a,601 01 800,Each,1.00,,,u,_041689300494,Master,1.96,0.00,2018-02-07,2075-12-31
_8036121,ZIPPO FLINT,12813,12813,,,,a,601 18 000,Case,24.00,,,u,_041689200657,Master,13.75,0.00,2018-02-07,2075-12-31
_8069973,MANCO ALL PURPOSE DUCT TAPE 2 X 45YD,20003528,20003528,,,,a,601 20B 05,Each,1.00,,,u,_075353030110,Master,5.12,0.00,1900-01-01,2075-12-31
_8070963,REFRESH SMOKE ODOR ELIMINATOR,169903,169903,,,,a,601 01 800,Each,1.00,,,u,_720760044648,Master,3.89,0.00,1900-01-01,2075-12-31
_8070963,,,,,,,,,,,,,u,_720760108999,,,,,
_8073785,HOWES DIESEL TREAT 1/2 GALLONS~ 6/CS,181171,181171,,,,a,601 20A 03,Case,6.00,,,u,_007533306012,Master,58.14,0.00,1900-01-01,2075-12-31
_8073785,,,,,,,,,,,,,u,_707533306011,,,,,
_8079766,B-4 9IN POCKET TRVL FUZZY FACE,20006043,20006043,,,,a,601 22 000,Each,1.00,,,u,_075656090408,Master,1.52,0.00,1900-01-01,2075-12-31
_8086902,WISPY WALKER DOLL 32 INCH,1081898,1081898,,,,a,601 22 000,Each,1.00,,,u,_026253832151,Master,17.67,0.00,1900-01-01,2075-12-31
_8088163,DUB CITY CHEYENNE P/U '72,1078944,1078944,,,,a,601 22 000,Each,1.00,,,u,_615028505873,Master,13.79,0.00,1900-01-01,2075-12-31
_8100216,LUCAS FUEL TREATMENT,1070558,1070558,,,,a,601 20A 000,Each,1.00,,,u,_049807100209,Master,3.71,0.00,1900-01-01,2075-12-31
_8100232,LUCAS 5TH WHEEL LUBE,1051584,1051584,,,,a,601 20A 000,Each,1.00,,,u,_049807100308,Master,6.64,0.00,1900-01-01,2075-12-31
_8109647,BIG DISPLAY CALCULATOR,20020001,20020001,,,,a,601 26 475,Each,1.00,,,u,_728546035002,Master,2.58,0.00,1900-01-01,2075-12-31
_8110116,MECHANICS SHOP TOWELS RED,20003665,20003665,,,,a,601 20B 08,Each,1.00,,,u,_073319035308,Master,1.45,0.00,1900-01-01,2075-12-31
_8110520,OZIUM ORIGINAL,1052277,1052277,,,,a,601 20B 000,Each,1.00,,,u,_075847510012,Master,2.54,0.00,1900-01-01,2075-12-31
_8110801,JUMBO DARK GREEN TREE ROYAL PINE,1052757,1052757,,,,a,601 20B 08,Each,1.00,,,u,_076171106018,Master,1.22,0.00,2018-08-22,2075-12-31
_8110819,JUMBO YELLOW TREE VANILLAROMA,1052758,1052758,,,,a,601 20B 08,Each,1.00,,,u,_076171106056,Master,1.22,0.00,2018-08-22,2075-12-31
_8111023,VENT FRESH OUTDOOR BREEZE,20003571,20003571,,,,a,601 20B 000 Air Fresheners,Each,1.00,,,u,_075847113015,Master,2.98,0.00,1900-01-01,2075-12-31
_8117947,BTM CAMARO 1969,20006157,20006157,,,,a,601 22 000,Each,1.00,,,u,_615028902108,Master,14.96,0.00,1900-01-01,2075-12-31
_8117954,BTM MUSTANG 1970,20006158,20006158,,,,a,601 22 000,Each,1.00,,,u,_615028902115,Master,14.96,0.00,1900-01-01,2075-12-31
_8118937,BTM SHELBY MUSTANG 1967,20006159,20006159,,,,a,601 22 000,Each,1.00,,,u,_615028902146,Master,13.01,0.00,1900-01-01,2075-12-31
_8119299,BIGTIME MUSCLE CHEVELLE 69,1078943,1078943,,,,a,601 22 000,Each,1.00,,,u,_615028902139,Master,14.31,0.00,1900-01-01,2075-12-31
_8119661,DETAIL BRUSH INTERIOR/EXTERIOR,1052116,1052116,,,,a,601 20B 08,Each,1.00,,,u,_048374920463,Master,2.12,0.00,1900-01-01,2075-12-31
_8119752,4'x8'' FIBERGLASS HANDLE EXTENSION METAL TIP,20003648,20003648,,,,a,601 20B 08,Each,1.00,,,u,_048374925086,Master,20.66,0.00,1900-01-01,2075-12-31
_8123705,DUB CITY BEL-AIR '53 5 SPOKE,20003806,20003806,,,,a,601 22 000,Each,1.00,,,u,_615028502377,Master,14.96,0.00,2016-04-15,2075-12-31
_8126419,CHEVY BEL-AIR 1955 73229D,20003790,20003790,,,,a,601 22 000,Each,1.00,,,u,_792674732294,Master,11.90,0.00,2016-04-15,2075-12-31
