ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_885709010198,HEGGIES SIX PACK PIZZA 10IN,32006470,32006470,,,,a,601 17 002,Each,1.00,,,u,_885709010198,Master,5.30,0.00,1900-01-01,2075-12-31
_885709012208,HEGGIES DOUBLE CHEESE,33000354,33000354,,,,a,601 17 002,Each,1.00,,,u,_885709012208,Master,5.50,0.00,1900-01-01,2075-12-31
_885709012215,HEGGIES PEPPERONI,33000357,33000357,,,,a,601 17 002,Each,1.00,,,u,_885709012215,Master,5.75,0.00,1900-01-01,2075-12-31
_885709012246,HEGGIES SAUSAGE,33000358,33000358,,,,a,601 17 002,Each,1.00,,,u,_885709012246,Master,5.75,0.00,1900-01-01,2075-12-31
_885709012253,HEGGIES SLOPPY JOE,33000361,33000361,,,,a,601 17 002,Each,1.00,,,u,_885709012253,Master,7.75,0.00,1900-01-01,2075-12-31
_885709012260,HEGGIES SAUSAGE PEPPERONI,33000360,33000360,,,,a,601 17 002,Each,1.00,,,u,_885709012260,Master,6.70,0.00,1900-01-01,2075-12-31
_885709012277,HEGGIES BREAKFAST PIZZA,33000351,33000351,,,,a,601 17 002,Each,1.00,,,u,_885709012277,Master,7.75,0.00,1900-01-01,2075-12-31
_885709012284,HEGGIES SAUSAGE MUSHROOM,33000359,33000359,,,,a,601 17 002,Each,1.00,,,u,_885709012284,Master,6.70,0.00,1900-01-01,2075-12-31
_885709012291,HEGGIES CHICKEN ALFREDO,33000352,33000352,,,,a,601 17 002,Each,1.00,,,u,_885709012291,Master,7.75,0.00,1900-01-01,2075-12-31
_885709012307,HEGGIES SIX PACK PIZZA 12IN,32006471,32006471,,,,a,601 17 002,Each,1.00,,,u,_885709012307,Master,7.75,0.00,1900-01-01,2075-12-31
_885709012321,HEGGIES DELUXE COMBO,33000353,33000353,,,,a,601 17 002,Each,1.00,,,u,_885709012321,Master,7.75,0.00,1900-01-01,2075-12-31
_885709122419,HEGGIES EL JEFE,33000355,33000355,,,,a,601 17 002,Each,1.00,,,u,_885709122419,Master,7.75,0.00,1900-01-01,2075-12-31
_885709122815,HEGGIES INFERNO,33000356,33000356,,,,a,601 17 002,Each,1.00,,,u,_885709122815,Master,6.90,0.00,1900-01-01,2075-12-31
_885709122822,HEGGIES BCB,33000350,33000350,,,,a,601 17 002,Each,1.00,,,u,_885709122822,Master,7.75,0.00,1900-01-01,2075-12-31
