ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_1073200310,COTTON CANDY,119533,119533,,,,a,601 02B 000,Each,1.00,,,,,Master,0.10,0.00,1900-01-01,2075-12-31
_46623,BULK CONEY 12S,46623,46623,,,,a,218 02 001,Each,1.00,,,,,Master,1.29,0.00,1900-01-01,2075-12-31
_5040020509,COLONIAL OLD FASHION BREAD 20z,18214,18214,,,,a,601 06 000,Each,1.00,,,,,Master,1.56,0.00,1900-01-01,2075-12-31
_5040020544,COLONIAL KING THIN,50713,50713,,,,a,601 06 000,Each,1.00,,,,,Master,1.49,0.00,1900-01-01,2075-12-31
_5040022514,COLONIAL WHEAT BREAD 1LB 4z,51987,51987,,,,a,601 06 000,Each,1.00,,,,,Master,1.49,0.00,1900-01-01,2075-12-31
_5040025100,COLONIAL HAMBURGER BUN 8PK,17415,17415,,,,a,601 06 000,Each,1.00,,,,,Master,1.34,0.00,1900-01-01,2075-12-31
_5040026100,COLONIAL HOTDOG BUN 8CT,17414,17414,,,,a,601 06 000,Each,1.00,,,,,Master,1.34,0.00,1900-01-01,2075-12-31
_5040075634,SUNNY HAMBURGER BUNS 12CT,104703,104703,,,,a,601 06 000,Each,1.00,,,,,Master,1.28,0.00,1900-01-01,2075-12-31
_5040076404,HOT DOG BUNS (DELI),74126,74126,,,,a,601 06 000,Each,1.00,,,,,Master,1.11,0.00,1900-01-01,2075-12-31
_7082102751,BAMBY LARGE BREAD,120425,120425,,,,a,601 06 000,Each,1.00,,,,,Master,0.79,0.00,1900-01-01,2075-12-31
_7130906526,BBQ BUNS,94749,94749,,,,a,218 04 000,Each,1.00,,,,,Master,1.49,0.00,1900-01-01,2075-12-31
_7185201001,KERNS BREAD 20z,47481,47481,,,,a,601 06 000,Each,1.00,,,,,Master,1.56,0.00,1900-01-01,2075-12-31
_7261000103,HENIERS TEXAS TOAST 24z,116805,116805,,,,a,601 06 000,Each,1.00,,,,,Master,2.24,0.00,2015-07-17,2075-12-31
_7261000105,HEINERS JUMBO OLD FASHION 22z,126513,126513,,,,a,601 06 000,Each,1.00,,,,,Master,1.49,0.00,2008-09-29,2075-12-31
_7261000205,HEINERS IRON KIDS BREAD 20z,57531,57531,,,,a,601 06 000,Each,1.00,,,,,Master,1.34,0.00,1900-01-01,2075-12-31
_7261000305,HEINERS SPLIT TOP WHEAT BRD 20,35404,35404,,,,a,601 06 000,Each,1.00,,,,,Master,1.93,0.00,2008-09-29,2075-12-31
_7261000306,HEINERS HONEY WHEAT BREAD 20z,70345,70345,,,,a,601 06 000,Each,1.00,,,,,Master,1.79,0.00,2008-01-14,2075-12-31
_7261000333,HEINERS 100% WHOLE WHEAT,124915,124915,,,,a,601 06 000,Each,1.00,,,,,Master,1.34,0.00,1900-01-01,2075-12-31
_7261000401,HEINERS CLUSTER BBQ SM12P 14z,116808,116808,,,,a,601 06 000,Each,1.00,,,,,Master,1.41,0.00,2006-09-18,2075-12-31
_7261000402,HEINERS DINNER ROLLS 12PK 16z,148381,148381,,,,a,601 06 000,Each,1.00,,,,,Master,1.86,0.00,2011-02-21,2075-12-31
_7261000404,HEINERS NEW ENGLAND WEINER BUN,151123,151123,,,,a,601 06 000,Each,1.00,,,,,Master,1.64,0.00,2015-07-17,2075-12-31
_7261000409,HEINERS HOT DOG BUNS 12PK 18z,116811,116811,,,,a,601 06 000,Each,1.00,,,,,Master,2.01,0.00,2015-07-17,2075-12-31
_7261000500,HEINERS B&S ST ROLL 12P 15z,70338,70338,,,,a,601 06 000,Each,1.00,,,,,Master,1.89,0.00,2008-11-25,2075-12-31
_7261003536,HEINER'S '35'  WHEAT BREAD 16z,80517,80517,,,,a,601 06 000,Each,1.00,,,,,Master,2.24,0.00,2015-07-17,2075-12-31
_7294560133,SARA LEE CLASSIC WHITE BREAD,168366,168366,,,,a,601 06 000,Each,1.00,,,,,Master,1.79,0.00,2011-02-21,2075-12-31
