ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_657227000247,ESSENTIA WATER 700ML,1083586,1083586,,,,a,Default,Case,24.00,,,u,_657227000247,Master,24.50,0.00,1900-01-01,2075-12-31
_657227000339,ESSENTIA WATER 1 LITER,1089078,1089078,,,,a,601 10 000,Case,24.00,,,u,_657227000339,Master,16.34,0.00,1900-01-01,2075-12-31
_860991002601,OH2O Water 1L,1093047,1093047,,,,a,601 10 000,Case,12.00,,,u,_860991002601,Master,15.75,0.00,1900-01-01,2075-12-31
_869315000071,WILD SIT RUSS CITRUS SODA 6PK 12z CN,1081034,1081034,,,,a,Default,Case,24.00,,,u,_869315000071,Master,31.98,0.00,1900-01-01,2075-12-31
_9879401212,STEWARTS GRP SODA 12z LN,162425,162425,,,,a,901 08 010,Case,24.00,,,u,_098794012125,Master,0.10,0.00,2005-09-16,2075-12-31
_9879420300,STEWARTS CRM SODA 12z LN,161821,161821,,,,a,901 08 010,Case,24.00,,,u,_098794203004,Master,0.10,0.00,2005-08-03,2075-12-31
_9879429301,STEWARTS BLK CHRY 12z LN,162428,162428,,,,a,901 08 010,Case,24.00,,,u,_098794293012,Master,0.10,0.00,2005-09-16,2075-12-31
_9879429401,STEWARTS BIRCH BR 12z LN,162431,162431,,,,a,901 08 010,Case,24.00,,,u,_098794294019,Master,0.10,0.00,2005-09-16,2075-12-31
_9879429501,STEWARTS STR N CRM 12z LN,162430,162430,,,,a,901 08 010,Case,24.00,,,u,_098794295016,Master,0.10,0.00,2005-09-16,2075-12-31
_9879430300,STEWARTS ROOT BR 12z LN,161818,161818,,,,a,901 08 010,Case,24.00,,,u,_098794303001,Master,0.10,0.00,2005-08-03,2075-12-31
_9879450500,STEWARTS ROOT BR DT 12z LN,161819,161819,,,,a,901 08 010,Case,24.00,,,u,_098794505009,Master,0.10,0.00,2005-08-03,2075-12-31
_9879470300,STEWARTS GNGR BR 12z LN,162427,162427,,,,a,901 08 010,Case,24.00,,,u,_098794703009,Master,0.10,0.00,2005-09-16,2075-12-31
_9879471512,STEWARTS PCH SODA 12z LN,162426,162426,,,,a,901 08 010,Case,24.00,,,u,_098794715125,Master,0.10,0.00,2005-09-16,2075-12-31
_9879480300,STEWARTS ORNG N CRM 12z LN,161820,161820,,,,a,901 08 010,Case,24.00,,,u,_098794803006,Master,0.10,0.00,2005-08-03,2075-12-31
_9879480500,STEWARTS ORNG N CRM DT 12z LN,162422,162422,,,,a,901 08 010,Case,24.00,,,u,_098794805000,Master,0.10,0.00,2005-09-16,2075-12-31
_9879490112,STEWARTS KEY LME 12z LN,162423,162423,,,,a,901 08 010,Case,24.00,,,u,_098794901122,Master,0.10,0.00,2005-09-16,2075-12-31
_9879490212,STEWARTS CHRY N CRM 12z LN,162424,162424,,,,a,901 08 010,Case,24.00,,,u,_098794902129,Master,0.10,0.00,2005-09-16,2075-12-31
