ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_855205001006,SINGLE ROSE,17147,17147,,,,a,601 34 007,Each,1.00,,,u,_028030210268,Master,2.44,0.00,1900-01-01,2075-12-31
_855205001006,,,,,,,,,,,,,u,_033383974750,,,,,
_855205001006,,,,,,,,,,,,,u,_033383979212,,,,,
_855205001006,,,,,,,,,,,,,u,_041163002401,,,,,
_855205001006,,,,,,,,,,,,,u,_094922764119,,,,,
_855205001006,,,,,,,,,,,,,u,_101210121681,,,,,
_855205001006,,,,,,,,,,,,,u,_616978127771,,,,,
_855205001006,,,,,,,,,,,,,u,_616978127795,,,,,
_855205001006,,,,,,,,,,,,,u,_655504003295,,,,,
_855205001006,,,,,,,,,,,,,u,_663413010013,,,,,
_855205001006,,,,,,,,,,,,,u,_679432007019,,,,,
_855205001006,,,,,,,,,,,,,u,_785385100049,,,,,
_855205001006,,,,,,,,,,,,,u,_798304035308,,,,,
_855205001006,,,,,,,,,,,,,u,_829691000010,,,,,
_855205001006,,,,,,,,,,,,,u,_832972001019,,,,,
_855205001006,,,,,,,,,,,,,u,_836115000013,,,,,
_855205001006,,,,,,,,,,,,,u,_836115000068,,,,,
_855205001006,,,,,,,,,,,,,u,_837654206003,,,,,
_855205001006,,,,,,,,,,,,,u,_855205001006,,,,,
_855205001006,,,,,,,,,,,,,u,_973700502092,,,,,
_855205001013,SMALL MIXED BOUQUET,17148,17148,,,,a,601 34 007,Each,1.00,,,u,_041163000179,Master,4.19,0.00,1900-01-01,2075-12-31
_855205001013,,,,,,,,,,,,,u,_616978157778,,,,,
_855205001013,,,,,,,,,,,,,u,_616978158775,,,,,
_855205001013,,,,,,,,,,,,,u,_655504006999,,,,,
_855205001013,,,,,,,,,,,,,u,_663413030011,,,,,
_855205001013,,,,,,,,,,,,,u,_679432007040,,,,,
_855205001013,,,,,,,,,,,,,u,_829691100031,,,,,
_855205001013,,,,,,,,,,,,,u,_832972001156,,,,,
_855205001013,,,,,,,,,,,,,u,_836115000037,,,,,
_855205001013,,,,,,,,,,,,,u,_836115000082,,,,,
_855205001013,,,,,,,,,,,,,u,_837654206027,,,,,
_855205001013,,,,,,,,,,,,,u,_855205001013,,,,,
_855205001037,LARGE MIXED BOUQUET,175677,175677,,,,a,601 34 007,Each,1.00,,,u,_033383995113,Master,9.09,0.00,1900-01-01,2075-12-31
_855205001037,,,,,,,,,,,,,u,_616978155774,,,,,
_855205001037,,,,,,,,,,,,,u,_616978155781,,,,,
_855205001037,,,,,,,,,,,,,u,_616978155798,,,,,
_855205001037,,,,,,,,,,,,,u,_642364023112,,,,,
_855205001037,,,,,,,,,,,,,u,_663413040003,,,,,
_855205001037,,,,,,,,,,,,,u,_679432007125,,,,,
_855205001037,,,,,,,,,,,,,u,_794878000193,,,,,
_855205001037,,,,,,,,,,,,,u,_832972001163,,,,,
_855205001037,,,,,,,,,,,,,u,_832972001194,,,,,
_855205001037,,,,,,,,,,,,,u,_855205001037,,,,,
_855205001044,HALF DOZEN ROSES,158809,158809,,,,a,601 34 007,Each,1.00,,,u,_033383974811,Master,11.89,0.00,1900-01-01,2075-12-31
_855205001044,,,,,,,,,,,,,u,_616978147779,,,,,
_855205001044,,,,,,,,,,,,,u,_679432007064,,,,,
_855205001044,,,,,,,,,,,,,u,_829691100062,,,,,
_855205001044,,,,,,,,,,,,,u,_832972001149,,,,,
_855205001044,,,,,,,,,,,,,u,_836115000044,,,,,
_855205001044,,,,,,,,,,,,,u,_836115000297,,,,,
_855205001044,,,,,,,,,,,,,u,_855205001044,,,,,
_855205001051,Dozen Roses,33000370,33000370,,,,a,601 34 007,Each,1.00,,,u,_855205001051,Master,23.09,0.00,1900-01-01,2075-12-31
_855205001075,DELUXE BOUQUET,33000371,33000371,,,,a,601 34 007,Each,1.00,,,u,_855205001075,Master,6.99,0.00,1900-01-01,2075-12-31
_855205001082,SINGLE ROSE - HOLIDAY,176361,176361,,,,a,601 34 007,Each,1.00,,,u,_616978127788,Master,2.79,0.00,1900-01-01,2075-12-31
_855205001082,,,,,,,,,,,,,u,_655504003592,,,,,
_855205001082,,,,,,,,,,,,,u,_829691111112,,,,,
_855205001082,,,,,,,,,,,,,u,_832972001071,,,,,
_855205001082,,,,,,,,,,,,,u,_832972001316,,,,,
_855205001082,,,,,,,,,,,,,u,_855205001082,,,,,
