ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_018200005060,STELLA ARTOIS 24PK 15z CN,1050854,1050854,,,,a,401 01A 000,Case,24.00,,,u,_018200005060,Master,30.48,0.00,2018-10-01,2075-12-31
_018200005060,,,,,,,,,,,,,u,_018200961854,,,,,
_018200169953,STELLA ARTOIS 10PK 14.9z CN,1057894,1057894,,,,a,401 01K 000,Case,20.00,,,u,_018200169953,Master,31.30,0.00,1900-01-01,2075-12-31
_022100000049,PABST 24z CN,154543,154543,,,,a,401 01J 000,Case,12.00,,,u,_022100000049,Master,16.42,0.00,2018-10-01,2075-12-31
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,
_022100000780,PABST 4PK 16z CN,184243,184243,,,,a,401 01A 000,Case,24.00,,,u,_022100000780,Master,20.80,0.00,2018-10-01,2075-12-31
_022100001572,PABST 18PK 12z CN,1051644,1051644,,,,a,401 01F 000,Case,18.00,,,u,_022100001572,Master,12.60,0.00,2018-10-01,2075-12-31
_022100001701,PABST 12PK 12z CN,13504,13504,,,,a,401 01D 000,Case,24.00,,,u,_022100001701,Master,16.51,0.00,2018-10-01,2075-12-31
_022100002883,PABST 12PK 12z LN,34097,34097,,,,a,401 01D 000,Case,24.00,,,u,_022100002883,Master,16.98,0.00,2018-07-30,2075-12-31
_022100002883,,,,,,,,,,,,,u,_022100006218,,,,,
_033544950029,CORONA EXTRA 18PK 12z CN,1065149,1065149,,,,a,401 01F 000,Case,18.00,,,u,_033544950029,Master,19.60,0.00,2017-10-02,2075-12-31
_033544950210,CERVEZAS CLASICO 12PK 12z LN,1077169,1077169,,,,a,401 01D 000,Case,24.00,,,u,_033544950210,Master,27.05,0.00,2015-11-18,2075-12-31
_033544950227,PACIFICO 24z CN,1077148,1077148,,,,a,401 01J 000,Case,12.00,,,u,_033544950227,Master,26.80,0.00,2018-10-01,2075-12-31
_033544950258,VICTORIA 32z LN,1085687,1085687,,,,a,401 01J 000,Case,12.00,,,u,_033544950258,Master,33.50,0.00,1900-01-01,2075-12-31
_033544950272,MODELO 18PK 12z LN,1085697,1085697,,,,a,401 01F 000,Case,18.00,,,u,_033544950272,Master,19.60,0.00,1900-01-01,2075-12-31
_033544950319,PACIFICO 12PK 12z CN,1085686,1085686,,,,a,401 01D 000,Case,24.00,,,u,_033544950319,Master,24.78,0.00,2018-10-01,2075-12-31
_033544950333,MODELO CHELADA PICANTE 24z CN,1085681,1085681,,,,a,401 01J 000,Case,12.00,,,u,_033544950333,Master,26.80,0.00,2018-10-01,2075-12-31
