ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014800000085,MOTTS FRUIT PUNCH 8z,1055175,1055175,,,,a,601 12A 000,Case,24.00,,,u,_014800000085,Master,8.80,0.00,1900-01-01,2075-12-31
_014800000245,MOTTS WILD GRAPE PUNCH 8z,1055177,1055177,,,,a,601 12A 000,Case,24.00,,,u,_014800000245,Master,8.80,0.00,1900-01-01,2075-12-31
_014800001921,HAWAIIAN FRUIT PUNCH RED 10z,1055194,1055194,,,,a,601 12A 000,Case,24.00,,,u,_014800001921,Master,10.25,0.00,1900-01-01,2075-12-31
_014800002294,MOTTS APPLE JUICE,1055182,1055182,,,,a,601 12 000,Case,24.00,,,u,_014800002294,Master,8.80,0.00,1900-01-01,2075-12-31
_016571910303,SPARKLING ICE BLK RASBERRY 17z,1052656,1052656,,,,a,601 11 000,Case,12.00,,,u,_016571910303,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17z,1052657,1052657,,,,a,601 11 000,Case,12.00,,,u,_016571910310,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17z,1052644,1052644,,,,a,601 11 000,Case,12.00,,,u,_016571910327,Master,9.00,0.00,2016-01-13,2075-12-31
_016571911256,SPARKLING ICE LEMON LIME 17z,1062137,1062137,,,,a,601 11 000,Case,12.00,,,u,_016571911256,Master,9.00,0.00,2016-01-13,2075-12-31
_016571940348,SPARKLING ICE PEACH NECTARINE / MANGO 17z,1063757,1063757,,,,a,601 11 000,Case,12.00,,,u,_016571940348,Master,9.00,0.00,2016-01-13,2075-12-31
_016571940355,SPARKLING ICE LEMONADE 17z,1052659,1052659,,,,a,601 11 000,Case,12.00,,,u,_016571940355,Master,9.00,0.00,2016-01-13,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17z,1064891,1064891,,,,a,601 11 000,Case,12.00,,,u,_016571950842,Master,9.00,0.00,2016-01-13,2075-12-31
_029500239338,NEHI STRAWBERRY 2L PP .99,1051070,1051070,,,,a,Default,Case,8.00,,,u,_029500239338,Master,6.40,0.00,1900-01-01,2075-12-31
_029500269335,NEHI PEACH 2L PP .99,1079734,1079734,,,,a,901 03 000,Case,8.00,,,u,_029500269335,Master,6.40,0.00,2016-03-25,2075-12-31
_050200000997,SUNNY DELIGHT 2L PP .99,1079484,1079484,,,,a,901 03A 000,Case,8.00,,,u,_050200000997,Master,6.40,0.00,2016-03-25,2075-12-31
_050200563003,SUNNY D FRUIT PUNCH 16z,1056510,1056510,,,,a,601 12A 000,Case,12.00,,,u,_050200563003,Master,10.25,0.00,1900-01-01,2075-12-31
_050200578007,SUNNY D CHERRY LIMEADE 16z,1052595,1052595,,,,a,601 12A 000,Case,12.00,,,u,_050200578007,Master,10.25,0.00,1900-01-01,2075-12-31
_050200585005,SUNNY D GRAPE 16z,1052594,1052594,,,,a,601 12A 000,Case,12.00,,,u,_050200585005,Master,10.25,0.00,1900-01-01,2075-12-31
_050200589003,SUNNY D GREEN APPLE 16z,1078835,1078835,,,,a,601 12A 000,Case,12.00,,,u,_050200589003,Master,10.25,0.00,2016-02-12,2075-12-31
_071434820397,VERNORS 20z NR,15974,15974,,,,a,901 04 000,Case,24.00,,,u,_071434000393,Master,22.50,0.00,2018-08-01,2075-12-31
_071434820397,,,,,,,,,,,,,u,_071434620393,,,,,
_071434820397,,,,,,,,,,,,,u,_071434820397,,,,,
_071434820397,,,,,,,,,,,,,u,_078000180404,,,,,
_071434826474,VERNORS DT 20z NR,22734,22734,,,,a,901 04 000,Case,24.00,,,u,_071434006470,Master,22.50,0.00,2018-08-01,2075-12-31
_071434826474,,,,,,,,,,,,,u,_071434620409,,,,,
_071434826474,,,,,,,,,,,,,u,_071434826474,,,,,
_071434826474,,,,,,,,,,,,,u,_078000182408,,,,,
_071537060287,POLAR SELTZER BLACK CHERRY WTR  20z,1089095,1089095,,,,a,601 11 000,Case,24.00,,,u,_071537060287,Master,16.00,0.00,1900-01-01,2075-12-31
_071537060300,POLAR SELTZER RASP LIME WTR  20z,1081803,1081803,,,,a,Default,Case,24.00,,,u,_071537060300,Master,15.00,0.00,1900-01-01,2075-12-31
_071537060348,POLAR SELTZER LEMON WTR  20z,1067815,1067815,,,,a,Default,Case,24.00,,,u,_071537060348,Master,15.00,0.00,1900-01-01,2075-12-31
_071537060409,POLAR SELTZER BLUEBERRY LEMONADE WTR  20z,1089096,1089096,,,,a,601 11 000,Case,24.00,,,u,_071537060409,Master,16.00,0.00,1900-01-01,2075-12-31
_071817000217,BIG RED 2L,22467,22467,,,,a,901 03 000,Case,8.00,,,u,_071817000217,Master,11.81,0.00,1900-01-01,2075-12-31
_071817000217,,,,,,,,,,,,,u,_071817799210,,,,,
_071817000316,BIG RED DT 2L,47841,47841,,,,a,901 03 000,Case,8.00,,,u,_071817000316,Master,11.81,0.00,1900-01-01,2075-12-31
_071817000392,BIG BLUE 20z NR,179531,179531,,,,a,901 04 000,Case,24.00,,,u,_071817000392,Master,20.75,0.00,1900-01-01,2075-12-31
_071817799210,BIG RED 2L PP .99,1079735,1079735,,,,a,901 03 000,Case,8.00,,,u,_071817799210,Master,6.40,0.00,2016-03-25,2075-12-31
_072350000115,YOO-HOO FF CHOCOLATE 15.5z,15188,15188,,,,a,601 11B 000,Case,24.00,,,u,_072350000115,Master,20.50,0.00,1900-01-01,2075-12-31
_072350000382,YOO-HOO TETRA CHOCOLATE 11z,1077296,1077296,,,,a,601 11B 000,Case,12.00,,,u,_072350000382,Master,10.25,0.00,2016-04-26,2075-12-31
_072350000399,YOO-HOO TETRA STRAWBERRY 11z,1077297,1077297,,,,a,601 11B 000,Case,12.00,,,u,_072350000399,Master,10.25,0.00,2016-04-26,2075-12-31
