ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_028000157593,NESQUIK GS THIN MNT 14Z,1056166,1056166,,,,a,601 07 410,Case,12.00,,,u,_028000157593,Master,16.36,0.00,2014-11-03,2075-12-31
_028000157593,,,,,,,,,,,,,u,_028000968182,,,,,
_028000276393,NESQUIK PROTEIN PLUS CHOC 14Z,1085995,1085995,,,,a,601 07 410,Case,12.00,,,u,_028000276393,Master,19.44,0.00,2018-04-12,2075-12-31
_028000515751,NESQUIK STRAW 14z,15365,15365,,,,a,601 07 410,Case,12.00,,,u,_028000245702,Master,16.36,0.00,2014-11-06,2075-12-31
_028000515751,,,,,,,,,,,,,u,_028000515751,,,,,
_028000616502,NESQUIK CHOC 1% 8z,1052576,1052576,,,,a,601 07 410,Case,10.00,,,u,_028000616502,Master,7.80,0.00,1900-01-01,2075-12-31
_028000772123,NESQUIK CHOC 14z,14886,14886,,,,a,601 07 410,Case,12.00,,,u,_028000246303,Master,16.36,0.00,2014-11-06,2075-12-31
_028000772123,,,,,,,,,,,,,u,_028000772123,,,,,
_028000788582,NESQUIK PROTEIN PLUS BANANA 14Z,1085994,1085994,,,,a,601 07 410,Case,12.00,,,u,_028000788582,Master,19.44,0.00,2018-04-12,2075-12-31
_028000895037,NESQUIK DBL CHOC 14z,122196,122196,,,,a,601 07 410,Case,12.00,,,u,_028000504205,Master,16.36,0.00,2014-11-06,2075-12-31
_028000895037,,,,,,,,,,,,,u,_028000504250,,,,,
_028000895037,,,,,,,,,,,,,u,_028000895037,,,,,
_028000895044,NESQUIK BAN/STRAW 14Z,185351,185351,,,,a,601 07 410,Case,12.00,,,u,_028000748586,Master,16.36,0.00,2014-11-06,2075-12-31
_028000895044,,,,,,,,,,,,,u,_028000895044,,,,,
_028000990374,NESQUIK GS CAR/COCO 14Z,1056165,1056165,,,,a,601 07 410,Case,12.00,,,u,_028000390211,Master,16.36,0.00,2014-11-03,2075-12-31
_028000990374,,,,,,,,,,,,,u,_028000990374,,,,,
_070847000037,i/aMONSTER ABSOLUTELY ZERO 16z,184385,184385,,,*INACTIVE*,a,601 13A 000,Case,24.00,,,u,_070847000037,Master,36.00,0.00,2015-09-10,2075-12-31
_070847000037,,,,,,,,,,,,,u,_070847000044,,,,,
_070847000051,i/aMONSTER ABSOLUTELY ZERO 4PK 16oz,186008,186008,,,*INACTIVE*,a,601 13A 000,Case,24.00,,,u,_070847000051,Master,36.00,0.00,2015-09-10,2075-12-31
_070847000907,WORX XTRA STRNGTH ENERGY SHOT,185445,185445,,,,a,601 15C 000,Box,12.00,,,u,_070847000907,Master,20.00,0.00,1900-01-01,2075-12-31
_070847000907,,,,,,,,,,,,,u,_070847000914,,,,,
_070847002406,WORX ORIGINAL ENERGY SHOT,185444,185444,,,,a,601 15C 000,Box,12.00,,,u,_070847002406,Master,20.00,0.00,1900-01-01,2075-12-31
_070847002406,,,,,,,,,,,,,u,_070847002413,,,,,
