ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_168241,BACKER CARD PAGE PLUS CELL PLACEBO,1057407,1057407,,,,a,64 01 000,Case,1.00,,,u,_799366488200,Master,0.00,0.00,1900-01-01,2075-12-31
_1696000232,NOKIA 2321,162440,162440,,,,a,601 22C 01,Each,1.00,,,u,_616960002321,Master,31.49,0.00,1900-01-01,2075-12-31
_1696000270,TRACFONE POSA 60 UNIT 19.99,167015,167015,,,,a,704 F10 000,Each,1.00,,,u,_616960002703,Master,17.89,0.00,2006-08-06,2075-12-31
_1696000270,,,,,,,,,,,,,u,_616960002826,,,,,
_1696000271,TRACFONE POSA 120 UNIT 29.99,167016,167016,,,,a,704 F10 000,Each,1.00,,,u,_616960002710,Master,26.84,0.00,2006-08-06,2075-12-31
_1696000271,,,,,,,,,,,,,u,_616960002833,,,,,
_1696000272,TRACFONE POSA 250 UNIT 49.99,167017,167017,,,,a,704 F10 000,Each,1.00,,,u,_616960002727,Master,44.74,0.00,2006-08-06,2075-12-31
_1696000272,,,,,,,,,,,,,u,_616960002840,,,,,
_1696001909,TRACFONE NOKIA 5180,152076,152076,,,,a,601 22C 01,Each,1.00,,,u,_616960019091,Master,53.99,0.00,1900-01-01,2075-12-31
_2850400001,CELLBOOST FOR NOKIA PHONES,153538,153538,,,,a,601 22C 100,Each,1.00,,,u,_828504000018,Master,4.25,0.00,1900-01-01,2075-12-31
_2850400001,,,,,,,,,,,,,u,_828504007017,,,,,
_2850400002,CELLBOOST FOR MOTOROLA PHONES,153540,153540,,,,a,601 22C 100,Each,1.00,,,u,_828504000025,Master,4.25,0.00,1900-01-01,2075-12-31
_799366665588,AIRTEL $10 CARD 24HR UNLIMITED,184275,184275,,,,a,704 C02 000,Each,1.00,,,u,_799366665588,Master,7.40,0.00,1900-01-01,2075-12-31
_849219013421,GIFT CARD ENVELOPE,1054984,1054984,,,,a,601 34 008,Each,1.00,,,u,_849219000865,Master,0.99,0.00,2014-11-05,2075-12-31
_849219013421,,,,,,,,,,,,,u,_849219013421,,,,,
_9936620420,NOKIA CAR CHARGER,153532,153532,,,,a,601 20B 08,Each,1.00,,,u,_799366204206,Master,2.64,0.00,1900-01-01,2075-12-31
_9936630440,MOTOROLA CAR CHARGER,153533,153533,,,,a,601 20B 08,Each,1.00,,,u,_799366304401,Master,2.64,0.00,1900-01-01,2075-12-31
_9936640460,KYOCERA CAR CHARGER,153534,153534,,,,a,601 20B 08,Each,1.00,,,u,_799366404606,Master,2.64,0.00,1900-01-01,2075-12-31
_9936650480,SAMSUNG CAR CHARGER,153535,153535,,,,a,601 20B 08,Each,1.00,,,u,_799366504801,Master,2.64,0.00,1900-01-01,2075-12-31
_X1696000059,TRACFONE NOKIA 1221,155443,155443,,,,a,601 22C 01,Each,1.00,,,u,_616960000594,Master,9.55,0.00,2008-07-31,2075-12-31
_X1696000060,TRACFONE NOKIA 2285,155442,155442,,,,a,601 22C 01,Each,1.00,,,u,_616960000600,Master,9.55,0.00,2008-07-31,2075-12-31
