ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_047677071155,SNICKERS CONE 4z,1067834,1067834,,,,a,601 08 700,Case,24.00,,,u,_047677071155,Master,29.28,0.00,1900-01-01,2075-12-31
_079298400113,EVIAN NAT SPR WTR 750ML,1081543,1081543,,,,a,Default,Case,12.00,,,u,_079298400113,Master,11.30,0.00,2017-08-31,2075-12-31
_07929878,EVIAN NAT SPR WTR 1L,14937,14937,,,,a,601 10 000,Case,12.00,,,u,_079298000078,Master,14.20,0.00,2017-08-31,2075-12-31
_07929878,,,,,,,,,,,,,u,_079298100006,,,,,
_07929885,EVIAN NAT SPR WTR .5L,17401,17401,,,,a,601 10 000,Case,24.00,,,u,_079298000085,Master,19.50,0.00,1900-01-01,2075-12-31
_103001,TALENTI TAHITIAN VANILLA BEAN PT,1076492,1076492,,,,a,601 08 700,Case,8.00,,,u,_186852000389,Master,30.48,0.00,1900-01-01,2075-12-31
_103002,TALENTI DOUBLE DARK CHOC PT,1076493,1076493,,,,a,601 08 700,Case,8.00,,,u,_186852000341,Master,30.48,0.00,1900-01-01,2075-12-31
_103009,TALENTI MEDITERRANEAN MINT PT,1076494,1076494,,,,a,601 08 700,Case,8.00,,,u,_186852000365,Master,30.48,0.00,1900-01-01,2075-12-31
_103011,TALENTI SOUTHERN BUTTER PECAN PT,1076495,1076495,,,,a,601 08 700,Case,8.00,,,u,_186852000600,Master,30.48,0.00,1900-01-01,2075-12-31
_103011,,,,,,,,,,,,,u,_186852006008,,,,,
_103018,TALENTI SICILIAN PISTACHIO PT,1076496,1076496,,,,a,601 08 700,Case,8.00,,,u,_186852000372,Master,30.48,0.00,1900-01-01,2075-12-31
_103026,TALENTI CHOC PB CUP PT,1076497,1076497,,,,a,601 08 700,Case,8.00,,,u,_186852000945,Master,30.48,0.00,1900-01-01,2075-12-31
_103059,TALENTI BANANA CHOC SWIRL PT,1076498,1076498,,,,a,601 08 700,Case,8.00,,,u,_186852000143,Master,30.48,0.00,1900-01-01,2075-12-31
_103060,TALENTI CARIBBEAN COCONUT PT,1076500,1076500,,,,a,601 08 700,Case,8.00,,,u,_186852000327,Master,30.48,0.00,1900-01-01,2075-12-31
_103079,TALENTI SEA SALT CARAMEL PT,1076501,1076501,,,,a,601 08 700,Case,8.00,,,u,_186852000242,Master,30.48,0.00,1900-01-01,2075-12-31
_103080,TALENTI CARAMEL CAKE CRUNCH PT,1076503,1076503,,,,a,601 08 700,Case,8.00,,,u,_186852000334,Master,30.48,0.00,1900-01-01,2075-12-31
_103092,TALENTI ALPHONSO MANGO PT,1076502,1076502,,,,a,601 08 700,Case,8.00,,,u,_186852000846,Master,30.48,0.00,1900-01-01,2075-12-31
_4100005413,GH TOASTED ALMOND BAR,1066565,1066565,,,,a,601 08 700,Box,24.00,,,u,_041000054136,Master,26.16,0.00,1900-01-01,2075-12-31
_4100005415,GH CHOC ECLAIR BAR,182641,182641,,,,a,601 08 700,Case,24.00,,,u,_041000054150,Master,26.16,0.00,1900-01-01,2075-12-31
_4100027364,GH BIRTHDAY CAKE BAR,1066560,1066560,,,,a,601 08 700,Case,24.00,,,u,_041000273643,Master,26.16,0.00,1900-01-01,2075-12-31
_682430400102,VOSS WATER 500ml,1077249,1077249,,,,a,Default,Case,24.00,,,u,_682430200108,Master,23.50,0.00,2015-11-23,2075-12-31
_682430400102,,,,,,,,,,,,,u,_682430400102,,,,,
_7684020015,B&J CHERRY GARCIA CUP,1066562,1066562,,,,a,601 08 410,Case,12.00,,,u,_076840200153,Master,15.96,0.00,1900-01-01,2075-12-31
_7684020016,B&J CHOC FUDGE BROWNIE,1066563,1066563,,,,a,601 08 410,Case,12.00,,,u,_076840200160,Master,15.96,0.00,1900-01-01,2075-12-31
_7684020027,B&J CHOC CHIP COOKIE DOUGH,1066564,1066564,,,,a,601 08 410,Case,12.00,,,u,_076840200276,Master,15.96,0.00,1900-01-01,2075-12-31
_7684020032,B&J HALF BAKED BAR,1066561,1066561,,,,a,601 08 410,Case,12.00,,,u,_076840200320,Master,21.84,0.00,1900-01-01,2075-12-31
_7756700453,GH GIANT NEAPOLITAN SAND 6z,182905,182905,,,,a,601 08 700,Case,24.00,,,u,_077567004536,Master,18.00,0.00,1900-01-01,2075-12-31
_7756702080,POPSICLE LICK A COLOR,1066566,1066566,,,,a,601 08 700,Box,24.00,,,u,_077567020802,Master,10.56,0.00,1900-01-01,2075-12-31
