ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_018341751055,BAREFOOT CHARDONNAY 750ML,166165,166165,,,,a,401 03A 000,Case,12.00,,,u,_018341751055,Master,66.00,0.00,2016-03-01,2075-12-31
_018341751062,BAREFOOT WHT ZIN 750ML,166167,166167,,,,a,401 03A 000,Each,1.00,,,u,_018341751062,Master,5.50,0.00,2018-08-02,2075-12-31
_018341751109,BAREFOOT MERLOT 750ML,1056421,1056421,,,,a,401 03A 000,Case,12.00,,,u,_018341751109,Master,66.00,0.00,2018-08-02,2075-12-31
_082541000350,EASLEYS REGGAE BLUSH 750ML,1054713,1054713,,,,a,401 03A 000,Case,12.00,,,u,_082541000350,Master,63.25,0.00,1900-01-01,2075-12-31
_082541000459,EASLEYS REGGAE RED 750ML,1054712,1054712,,,,a,401 03A 000,Case,12.00,,,u,_082541000459,Master,63.25,0.00,1900-01-01,2075-12-31
_085000001264,BART&J MARGARITA 4PK 12z LN,24131,24131,,,,a,401 03B 000,Case,24.00,,,u,_085000001264,Master,22.80,0.00,1900-01-01,2075-12-31
_085000001264,,,,,,,,,,,,,u,_085000001271,,,,,
_085000001301,BART&J STRWBRY DAIQ 4PK 12z LN,23844,23844,,,,a,401 03B 000,Case,24.00,,,u,_085000001301,Master,22.80,0.00,1900-01-01,2075-12-31
_085000001301,,,,,,,,,,,,,u,_085000001318,,,,,
_085000002056,BART&J FUZZY NAVEL 4PK 12z LN,39303,39303,,,,a,401 03B 000,Case,24.00,,,u,_085000002056,Master,22.80,0.00,1900-01-01,2075-12-31
_085000002056,,,,,,,,,,,,,u,_085000002087,,,,,
_085000005125,BOONES FRM SANGRIA 750ML,16874,16874,,,,a,401 03A 000,Each,1.00,,,u,_085000005125,Master,2.63,0.00,2015-12-21,2075-12-31
_085000005613,BOONES FRM SNW CRK BERRY 750ML,17710,17710,,,,a,401 03A 000,Each,1.00,,,u,_085000005613,Master,2.63,0.00,2015-12-21,2075-12-31
_085000005644,THUNDERBIRD 18% 750ML,23074,23074,,,,a,401 03A 000,Case,12.00,,,u,_085000005644,Master,31.50,0.00,1900-01-01,2075-12-31
_085000005774,NIGHT TRAIN 750ML,1056801,1056801,,,,a,401 03A 000,Case,12.00,,,u,_085000005774,Master,31.56,0.00,1900-01-01,2075-12-31
_085000007303,BOONES FRM STRW HILL 750ML,16450,16450,,,,a,401 03A 000,Each,1.00,,,u,_085000007303,Master,2.63,0.00,2015-12-21,2075-12-31
_085000014448,BAREFOOT PINOT GRIGIO 750ml,168774,168774,,,,a,401 03A 000,Each,1.00,,,u,_085000014448,Master,5.50,0.00,2016-03-01,2075-12-31
